Villa,Season,Nightly Rate,Minimum Stay,Season Note,Photo
Villa Solane,Low Season,"$1,900",3 nights,"Quiet coast and low winter light. The house keeps its warmth indoors.",solane_02.jpg
Villa Solane,Shoulder Season,"$2,600",3 nights,"Mild days and the garden waking up. Good light on the terrace by noon.",solane_02.jpg
Villa Solane,High Season,"$3,400",Minimum 5 nights,"Long light and warm water. The terrace holds the afternoon until late.",solane_02.jpg
Villa Solane,Peak Season,"$3,900",7-night min.,"The full summer coast, booked well ahead. Whole-house stays only.",solane_02.jpg
Villa Cascina,Low Season,"$1,800",2 nights,"Still and cool by the vineyard. Fires lit and the courtyard to yourself.",cascina_02.jpg
Villa Cascina,Shoulder Season,"$2,400",3 nights,"The vines turning and softer light. Lunch outdoors on the warm days.",cascina_02.jpg
Villa Cascina,High Season,"$3,100",Minimum 5 nights,"Full summer on the hill. Cool mornings and long bright afternoons.",cascina_02.jpg
Villa Cascina,Peak Season,"$3,600",7-night min.,"Peak coast and warm nights. Booked early; whole-house only.",cascina_02.jpg
Maison Aubine,Low Season,"$2,100",3 nights,"The cove at its quietest. The house holds the winter sun on the roof terrace.",aubine_02.jpg
Maison Aubine,Shoulder Season,"$2,900",Minimum 4 nights,"The shoulder weeks are the ones our regulars keep coming back for: the cove path is open again, the water is warm enough by midday for the pool to earn its keep, and the roof terrace catches the last of the long evening light well past dinner. Book the full week if you can.",aubine_02.jpg
Maison Aubine,High Season,"$3,700",5-night min.,"High summer over the cove. The infinity pool and the roof terrace at their best.",aubine_02.jpg
Maison Aubine,Peak Season,"$4,200",7-night min.,"The whole coast in full season. Whole-house stays, booked far ahead.",aubine_02.jpg
