cask_no,expression_name,strength,outturn,volume,filling_date,bottling_date,distilled_at,photo
214,Cold Light Gin,43.0,320,700ml,2025-02-10,2026-01-14,Coble & Vane Still House,cask_photo_214.jpg
217,Salt & Iron Navy Gin,57.2,240,700ml,2025-03-02,2026-01-20,Coble & Vane Still House,cask_photo_198.jpg
221,Beached Coble,58.6,198,700ml,2016-06-11,2026-02-03,Coble & Vane Still House,cask_photo_221.jpg
225,North Sea Cask,60.3,176,700ml,2015-09-22,2026-02-09,Coble & Vane Still House,cask_photo_225.jpg
229,Coastal Botanical Gin,45.0,300,700ml,2025-04-18,2026-02-15,Coble & Vane Still House,cask_photo_229.jpg
233,Iron & Brine,59.1,182,700ml,2026-02-21,2017-03-30,Coble & Vane Still House,cask_photo_233.jpg
238,Winter Light,61.4,168,700ml,2026-02-27,2016-11-08,Coble & Vane Still House,cask_photo_238.jpg
241,Harbour Reserve,57.8,205,700ml,2017-01-14,2026-03-05,Coble & Vane Still House,cask_photo_241.jpg
246,Cold Slate Gin,44.0,312,700ml,2025-05-06,2026-03-11,Coble & Vane Still House,cask_photo_231.jpg
250,Storm Petrel,62.0,159,700ml,2014-08-19,2026-03-17,Coble & Vane Still House,cask_photo_250.jpg
254,Rope & Tar,58.9,190,700ml,2016-04-27,2026-03-23,Coble & Vane Still House,cask_photo_254.jpg
259,First Light Gin,46.0,298,700ml,2025-06-02,2026-03-29,Coble & Vane Still House,cask_photo_240.jpg
