Task code,Task name,Family,Brand,Tagline,Sector,Founded / place / size,About,Audience,Price positioning,Personality,Palette,Typography,Voice,Values,Brand assets status
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Aurelian Skin,"Clinical actives, no theatre.","Clinical skincare and personal care, actives-led, direct to consumer plus specialty retail","Founded 2024 in Boston, Massachusetts. A two person founder team, sold for a year to a waiting list and through two dermatology practices before the retail season.","Aurelian Skin is a small clinical skincare line built on eight actives-led products at thirty four to sixty eight dollars. In March we open our own online store and enter a specialty chain's twelve doors, so everything a customer sees changes at once. The line is meant to read like a laboratory with good taste: cool, quiet, evidence first, generous with white space and free of decoration. Not a spa, not a discount aisle. Our customer reads the ingredient list before the copy, and the brand is built to reward that: honest claims, clear INCI, restraint in place of ritual.","Women roughly twenty six to forty two, ingredient literate, who research formulations and trust plainness over promise. They shop web stores and specialty beauty floors and judge a product by its panel.","Prestige-mass at thirty four to sixty eight dollars per SKU. Above the mass aisle, below luxury conserve pricing. The middle is the position, and the look must not drift warm and cheap or dark and precious.","Clinical, Precise, Restrained, Evidence-led, Understated","Clinical White #F4F6F7
Graphite #232729
Cool Mineral Grey #9BA5AA
Signal Blue #3E6076","Wordmark and headings in Suisse Int'l Medium (grotesque, 500), set as small caps with 120 units of letterspacing, matching the recovered carton lockup and its hairline rule. Body copy and claims in Söhne Buch (grotesque, 400). Ingredient panels and INCI in Söhne Mono (400). On the 1440 px product modules set the product name 44 px, claim 24 px, price 28 px, body 15 px on 22 px leading, INCI 13 px. Never rebuild the wordmark in Söhne, and never set a claim in italics.","Measured, factual, unhurried. States what a product does and does not claim. Reads like a well-run lab that respects the reader, never breathless and never coy.","Ingredient honesty, precision in every detail from panel to package, and clinical restraint: at this band, quiet and exact is the brand, and overstatement or gloss would undercut the claim.","The original logo file was lost when the first designer's drive failed. All that survives is a handheld photograph of an outer carton showing the mark printed in one deep ink: a small-caps lockup set around a monogram, separated by a hairline rule. Recovering that mark as usable artwork is part of this engagement. No other source brand files remain."
SB3-002-PHO,Corner and Cure - Spring dish launch photography,Photo & Image,Corner and Cure,Food somebody cooked,"Independent all-day cafe and counter service, lunch sandwiches and bowls, small plates and wine after four, serving a neighbourhood in food and hospitality.","Brooklyn, New York; canonical context for the repeat-client series.","Corner and Cure is the repeat client for this benchmark series. The canonical client context is Brooklyn, New York, and this commission covers phase 1: food image system and seasonal launch assets.","Neighbourhood regulars aged 25 to 45 who come in twice a week, know the counter staff, and read the screens over the pass from across the room. Local, food-literate, loyal, and quick to distrust anything that reads as styled to death.","Mid-market all-day cafe. Mains 16 to 24 dollars, wine by the glass 11 to 15. Sits comfortably above fast-casual counters and well below the tasting-menu rooms downtown.","warm, generous, plain-spoken, unhurried, rustic, honest","Burnt Butter #B8823A
Scrubbed Oak #C9B79C
House Cream #F4ECDD
Deep Olive #4A5233
Pass Marble #E7E3DB
Bread Crust #7A4A24","Dish names in Freight Text Pro Bold (humanist serif, 700), the warm face with visible ink, set 30 pt so a name reads across the counter. Descriptions and allergen lines in National 2 Regular (sans, 400) at 10.5 pt on 14 pt leading, allergen line 9 pt. Prices in National 2 Medium (500) at 14 pt. The feel is chalkboard, not wine list. Never set the allergen line in the serif, and never set a price in italics.","Plain, warm, never fussy. We talk about burnt butter, the good bread and scrubbed oak, and we let the food carry the sentence. Example line: 'Small plates and a glass of something, most nights until late.'","Real portions, honest cooking, and copy that is never reworded or cut, because the allergen line matters.","No brand kit survives. The printed table dish cards exist only as the flat file our printer sent to press last spring, and she has since retired, so there is no working layout and no editable source. The photographed dishes and the till copy Danny writes are the only current materials, and both are considered final."
SB3-003-PHO,Cedarline and Vale - Ridgeway Lane listing image system,Photo & Image,Cedarline and Vale,Read the light,"Boutique residential real estate brokerage specialising in architect-designed listings, residential property in Marin County.","Founded 2012, Marin County, California. Six agents led by the principal, working a small book of high-value listings.","Cedarline and Vale is a six-agent brokerage in Marin that takes on architect-designed and materially serious homes. We present listings the way the architecture asks to be seen: quietly, accurately, and next to whatever three other agents are showing. Our credibility rests on buyers and vendors trusting that the pictures are the house.","Buyers aged 40 to 60 with household incomes above 400 thousand who read light and material as proxies for build quality, and vendors of design-led homes. They view our listings alongside three competing agents and notice anything that looks retouched.","High-value residential, flagship listings from the low millions up. Positioned above volume agencies and apart from developer marketing, on restraint and accuracy rather than gloss.","restrained, precise, cool, credible, understated, considered","Plaster White #F2F1ED
Marin Slate #3C444B
Deep Charcoal #1E2124
Bay Grey #7E8A8C
Quiet Sage #9AA391
Warm Stone #C7B9A4","Headings in Tiempos Text Regular (transitional serif, 400), quiet and built, never the display cut. Specification, captions and body in Neue Haas Grotesk Text 55 Roman (grotesque, 400). In the A4 brochure set the room heading 28 pt, standfirst 13 pt, body 9.5 pt on 14 pt leading, spec tables 8 pt. On the 1080 px room posts set the room name 56 px and the enquiry line 24 px. No italics on an address, and never set a price in the serif.","Cool, restrained and true. We describe what is there and let the room speak. No superlatives, no cosiness, nothing that sounds sold. Example line: 'Glass on three sides, the bay through the living room, the oaks off the kitchen.'","Accuracy over flattery: cool, restrained and honest, and nothing that reads as retouched.","There is no working design source for the office window cards. Only the flat file the printer sent to press last year survives, and she has retired, so any change means rebuilding from that file. The feature sheet and portal module are expected to be handed back as editable documents because prices move."
SB3-004-PHO,Verranza Coastal Retreats - Villa collection image system,Photo & Image,Verranza Coastal Retreats,"The cove, honestly","Luxury vacation rental collection of three villas above a cove, letting direct and to a small travel-agent trade channel, hospitality and travel.","Liguria, Italy; canonical context for the repeat-client series.","Verranza Coastal Retreats is the repeat client for this benchmark series. The canonical client context is Liguria, Italy, and this commission covers phase 1: villa image system and booking imagery.","Guests aged 35 to 60, American and Northern European families and groups of friends booking a whole house for a week, plus a small trade channel of travel agents working from printed rate cards. They pay for a real place and refuse anything that looks staged or cooked.","Upper-mid coastal rental, 520 to 780 euros a night in season. A restraint band, not a gloss band: honest light and true water rather than saturated marketplace glow, and firmly above budget literalism.","restrained, warm, authentic, unhurried, coastal, trustworthy","Verranza Blue #24425A
Lime Wash #EFE9DC
Ligurian Stone #C4B5A0
Olive Grove #6E7355
Cove Water #4C7A8C
Ink Charcoal #2A2925","House names and headers in Canela Text Light (low contrast serif, 300), set with air. Details, rates and captions in Untitled Sans Regular (humanist sans, 400). On the 1920 px booking heroes set the villa name 72 px, standfirst 26 px, booking line 20 px. In the A4 brochure set the villa name 34 pt, body 10 pt on 15 pt leading, rate tables 9 pt. No gold and no heavy display weights, and never reset the wrought iron gate monogram wording in the sans.","Warm, plain and place-first. We name the stone, the water and the afternoon light, and we never oversell. Example line: 'Three houses above the cove, let by the family who has kept them.'","Honest representation of a real place, true water and true stone, and a family mark used quietly.","The collection has never had a logo file. The monogram exists only as the wrought-iron plate the village smith cut when the first house was bought, and all we hold is a photograph of it on the gate. The travel-agent rate cards survive only as the file the printer sent to press last year, with no working source."
SB3-005-PHO,Halcyon Quarter - Mixed-use launch photography,Photo & Image,Halcyon Quarter,"The evening, on the water","Off-plan residential development launch on a former rope works site, sold through a boutique brokerage with a partner lender, real estate and property.","Beckett Wharf, Providence, Rhode Island. Halcyon Quarter is fifty two apartments by the developer Kestrel and Vane, phase one releasing in seven weeks, sold by Harbor Crest Realty with Kestrel Home Lending as finance partner.","Halcyon Quarter is a fifty two apartment scheme by Kestrel and Vane on the old rope works site at Beckett Wharf. Phase one sells to professional downsizers leaving a family home nearby. What the scheme sells is the evening: warm rooms against a cool blue hour on the water, quiet and expensive rather than shiny, carried across the developer, the brokerage and the lender as one look.","Professional downsizers aged 50 to 65 leaving a house they have owned for thirty years within twenty miles. Discerning, unhurried, distrustful of shiny marketing, and likely to count windows when they visit the site.","Premium off-plan residential, apartments from 780 thousand to 1.45 million dollars. Positioned as quiet and expensive, above bright price-led property marketing and apart from investor rental stock.","quiet, expensive, warm, considered, restrained, grounded","Blue Hour #22304A
Canal Steel #3E5266
Lamp Warm #C99A5B
Brass #A67C3D
Rope Works Brick #8A5A44
Bone Paper #EDE7DB","Headings and pricing in Lyon Text Regular (serif, 400), set plainly inside the copy with no heavy price treatment. Captions and specification in Graphik Regular (sans, 400). On the 1200 mm hoarding set the development name 380 pt and the enquiry line 72 pt. On the A2 poster set the headline 120 pt, price line 28 pt, body 12 pt on 17 pt leading. On the portal panel set the headline 68 px, body 20 px. Never set a price in Graphik Bold or inside a starburst.","Calm, assured and understated. Brass not gold, the water cold and the rooms warm, nothing shiny. We state the address, the light and the offer without overselling. Example line: 'Fifty two apartments on the water at Beckett Wharf, releasing this autumn.'","Honesty about an off-plan scheme (nothing shown that the building does not have) and one restrained look shared across developer, brokerage and lender.","The Kestrel and Vane monogram exists only as sign paint, brushed by the sign writer onto the site hoarding board, with a single photograph of it and no artwork file. The lender's payment cards survive only as the flat file their printer ran last spring, with no working source held by anyone, and every figure has since changed."
SB3-006-PHO,Hollis Family Archive - [archival subject] archival restoration,Photo & Image,The Hollis Family Archive,"Nan, as she was","A private family archive of one woman, [archival subject], restored and framed for a home wall and a keepsake folio, not sold to anyone.","Assembled in 2026 at the family house in Vermont, New England, by three siblings in their sixties acting on behalf of twenty two relatives.","The archive holds nine photographs of [archival subject], who died in April at ninety nine, spanning roughly 1912 to 1974. It exists so that twenty two people who come home at Thanksgiving can hang one wall of her and carry one folio each. The standard is a museum label, not a memory book: honest, quiet, and true to what is actually in the photograph.",Three siblings commissioning on behalf of twenty two family members aged 8 to 74. Not a commercial audience: the work hangs in a family house and is judged by people who knew Ada.,"A private heritage commission of 650 to 1,600 dollars. The money buys restraint rather than effect: a true archival neutral, deep honest blacks, one photograph per page, generous margins, and visible respect for the grain and the paper each print is made of.","quiet, reverent, archival, honest, restrained, plain","Paper White #F5F1E9
Archive Black #191613
Museum Grey #6F6B64
Linen #D9D0C1
Ink Charcoal #33302B","Freight Text Pro (transitional serif), Book weight, sets caption cards and folio text the way a museum sets a wall label: body 9.5 pt on 13 pt leading, dates and places in its small caps at 8 pt. Canela (serif), Light, sets the folio cover and the list of names, 34 pt title and 16 pt subtitle. Plate numbers run Untitled Sans Regular 7.5 pt. No script, no drop shadow, and never set Ada's name in italic.","Spare and factual, the voice of a caption card rather than a scrapbook. Example line the brand would write: ""[archival subject], Brattleboro, 1912. Studio card portrait.""","Identity is the whole point: whatever is really in the photograph stays in the photograph, and nothing is invented or tidied away.","There are no brand files. What survives is nine home flatbed scans, the daughter's catalogue and notes, and the Brattleboro framer's 2019 press PDF for the caption cards, of which six are already on the wall. The framer has retired, so the new cards must match his file rather than a live template."
SB3-007-PHO,Gable and Grove - Home services before-and-after library,Photo & Image,Gable & Grove Home Services,"Built to last, sold twice","Premium exterior renovation and garden build for old houses, sold job by job at the kitchen table.","A five person firm working the Litchfield Hills of Connecticut, owner led, running full exterior renovations and garden builds.","Gable & Grove takes on full exterior renovations and garden builds between roughly 45,000 and 120,000 dollars a project. Everything is sold twice, once on the website and once out of a quote pack on somebody's kitchen table, so the work has to look like exactly what the firm delivers and no more. The proof is the before and after, and the before has to stay honest.","Households aged 45 to 65 with old houses and long time horizons, choosing between two or three bids and buying on trust rather than on price.","45,000 to 120,000 dollars a project. At this band the finish reads cool, calm and material: real neutral stone, deep honest blacks, one photograph doing the work, generous white space, and a mark that behaves like a maker's stamp rather than a sales badge. Never a supermarket flyer, never developer marketing.","crafted, understated, honest, durable, calm, material","Grove Green #1E3A2F
Stone Neutral #C9C3B8
Honest Black #17140F
Slate #4A4E4C
Bone #EDE9E1","GT Sectra Display (serif), Medium weight, sets the maker's mark and headings: panel headline 64 px, project name 40 px, and 30 pt for the title on the A4 estimate cover. Whitney (humanist sans), Book, carries scope lines, locations and captions at 20 px on screen and 10.5 pt on 14 pt leading in print, with Whitney Semibold for the price. Never set the mark in Whitney, and never set a price in italic.","Plain and confident, the voice of a builder who does not oversell. Example line the brand would write: ""Full exterior renovation, Ridge Road. Limestone pergola, dry stone terrace, planting.""","Honest befores are non negotiable, and the finish should read as ordered restraint rather than as an improved photograph.","The mark is a problem the firm names openly: the sign writer who drew it is gone, and all that survives is a picture file he emailed once and a photograph of the mark hand painted on the firm's truck door. The project cards survive only as the retired printer's press PDF. Yard signs print in the deep Grove Green."
SB3-008-PHO,Meridian Motors - Showroom vehicle image system,Photo & Image,Meridian Motors,"Certified, and nothing to hide",Certified pre-owned car dealership taking roughly six vehicles a week onto the lot.,"An independent certified pre-owned dealership in Portland, Maine, photographing every car in house across three lot bays.","Meridian Motors sells certified pre-owned vehicles between 22,000 and 38,000 dollars to families replacing an ageing car. The listings are the whole business, and the visual argument is simple: this is an orderly operation with nothing to hide. Every car should look as if it were photographed in one clean, evenly lit showroom, with honest paint and legible plain information.","Buyers aged 30 to 55 replacing a ten year old family car, deciding on trust before they decide on the vehicle.","22,000 to 38,000 dollars certified pre-owned. The treatment is an even, neutral, well lit showroom white with the full vehicle in frame and honest colour. Never a dark dramatic studio look, which reads as evasive at this price, and never hot saturated pictures with starbursts and a price slash, which read as a buy here pay here lot.","organised, honest, plain, trustworthy, orderly","Meridian Navy #1F2A3A
Showroom White #F6F7F8
Graphite #2E3237
Compass Teal #3C6E71
Steel Grey #9AA1A8","Source Sans 3 (humanist sans) does almost all the work on the vehicle cards: price 68 px Semibold with tabular figures, year, make and model 44 px Semibold, mileage and certification line 26 px Regular, disclosure text 20 px Regular. The compass roundel wordmark alone uses the firmer Neue Haas Grotesk Display Bold at 22 px, tracked 40 thousandths open. Nothing is italic, nothing is condensed, and no price is ever set larger than 68 px.","Straightforward and unadorned, the voice of a desk that states the facts. Example line the brand would write: ""2017 Calder Kestrel, 68,400 miles. Certified. 24,900 dollars.""","Order and honesty above effect: the listing is the vehicle a buyer will walk around in person, so it must show the real car, plainly.","The only mark on file is the compass roundel as the sign shop supplied it years ago, a small flat raster on a white square at signage thumbnail size, which has never mattered until now. The window cards survive only as the retired printer's press PDF, and the room now hand writes them. The roundel belongs on the firm's own collateral and never on a marketplace primary."
SB3-009-PHO,OSTRA - Restaurant plate photography system,Photo & Image,OSTRA,"Quiet, dark, unhurried","A contemporary seasonal tasting counter, twenty two seats around the pass, one menu a night, four nights a week.","A twenty two seat tasting counter on the coast of New England, one seasonal menu at 135 dollars a head served four nights a week.","OSTRA is a counter, not a dining room: guests sit around the pass for one seasonal tasting menu at 135 dollars a head. The room is near black, spare and unhurried, and the photography is meant to feel like walking into it rather than like an advertisement. One plate at a time, on a dark ground, with light that still reads as light.","Guests aged 30 to 55 booking an occasion around six weeks ahead, who expect calm and consideration rather than volume.","A 135 dollar seasonal tasting counter. The grammar is a near black ground, one plate per frame, generous emptiness, restrained saturation, and speculars on sauce and glass that read as light rather than as blown white or flat grey. Never a bright, crowded bistro look, and never near monochrome art photography in which the food cannot be read.","quiet, dark, restrained, precise, unhurried, occasion","Near Black #0E0E0F
Slate Pass #1C1E20
Ash Grey #5A5A5C
Bone #E6DFD2
Subdued Brass #9C8459","Lyon Display (serif), Light weight, sets course titles and guest names: 52 px on the announcement, 40 px on each dish tile, and 15 pt on 21 pt leading on the per guest menu card. Suisse Int'l (grotesque), Light, carries detail lines, dates and the reservation line at 22 px, tracked 60 thousandths open, in Bone #E6DFD2 on the near black ground. Never set a course title in the sans, and never bold anything.","Spare and understated, the voice of a room that lets the plate speak. Example line the brand would write: ""Five courses. One seating. Please arrive as the light goes.""","Honesty of the room and one plate at a time: the photographs are this kitchen's real plates, and restraint is what the guest is paying for.","There are no editable brand files. The per guest menu card survives only as the old printer's press PDF, and the printer has been lost, so the room hand writes about forty cards a night. A dark mode site reference screengrab was supplied as mood only, and course titles come spelled as the kitchen spells them."
SB3-010-PHO,Northgrove - Apparel colorway image system,Photo & Image,Northgrove,Better than it looks in the price.,"Elevated basics apparel: a six style seasonal capsule sold direct online and through one marketplace feed, including a supporters' crew made with a local amateur football club.","Burlington, Vermont; canonical context for the repeat-client series.","Northgrove is the repeat client for this benchmark series. The canonical client context is Burlington, Vermont, and this commission covers phase 1: apparel colour and ecommerce proofing.","Women and men aged 22 to 38 choosing on a phone, cross shopping against a 9 dollar fast fashion tee and a 140 dollar heritage one, buying a 32 to 60 dollar piece they expect to keep.","Elevated basics at 32 to 60 dollars. We sit above fast fashion and below heritage. The whole proposition is that the cloth is better than the price suggests, so nothing may read as cheaper or as more luxury than the parcel actually is.","honest, quiet, considered, warm, unfussy, durable","Charcoal #2E2E2C
Warm Grey Paper #C9C4BA
Olive #6B7248
Oat #E4DCCB
Club Navy #1B2A44
Off White #F5F2EC","Founders Grotesk Condensed, Medium weight, in Charcoal #2E2E2C sets the wordmark and page headers: carousel headline 96 px, style name 56 px on the product page modules. Freight Sans Pro (humanist sans), Book, carries body copy, cloth notes and colourway names at 20 px on 32 px leading, with Freight Sans Pro Medium at 24 px for the price. Northgrove is condensed only in the mark: never set body copy condensed, never italicise a price.","Plain, specific, a little dry. We name the cloth and the cut and leave the adjectives out. Example line the brand would write: 'Loopback cotton, dyed in small lots, made to soften with wear.'","Honesty between the picture and the product, and small batch cloth that earns its price.","Our olive leaf glyph and charcoal wordmark only survive as a picture lifted off an old lookbook page. The studio that drew them has closed and no one has the source file, so the mark needs recovering as real artwork before it can go on cards or launch pieces."
