Task code,Task name,Client brief,Deliverables,Auto verifiers,Human verifiers,Assets,Review page,S3 folder
SB3-031-VEC,Cordwain Overland - Identity master graphics,"Recover three apparel graphics and prove they survive small reproduction

Cordwain has lost the working artwork for three overland graphics. We need a vector specialist who can recover what is actually in the references and make a useful garment-ready family, not deliver an unchecked automatic trace.

What we need back
- Recovered garment mark: 3 named exports. The geometry follows the authoritative source mark. The lettering is faithful to the source.
- Garment graphics application sheet: 1 named export. Placement scale matches the supplied garment constraints. The specified ink count is respected.
- Garment lookbook layout: 1 named export. The garment and graphic relationship is visible. The identity is consistent with the recovered masters.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Recovered garment mark: 3 registered outputs
Garment graphics application sheet: 2 registered outputs
Garment lookbook layout: 2 registered outputs",28,30,12,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-01,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-031-VEC__cordwain-overland-identity-master-graphics/
SB3-032-VEC,Redecker Machine Works - Restored mark system,"Restore a machineworks identity from a catalogue and an etched plate

Redecker's mark has a long history, but the source artwork has not survived. We have a 1974 catalogue and an etched plate to work from. We want the identity recovered carefully, not replaced with something that merely looks industrial.

The commission

 Engineering identity master: 1 named export. The mark preserves the surviving original identity. Letter counters remain open at the specified reproduction size.

 Machine identity plate: 1 named export. The plate information matches the supplied machine record. The production lettering is legible.

 Service document header: 1 named export. The company name is correct. The header leaves usable space for service content.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Engineering identity master: 1 registered output
Machine identity plate: 2 registered outputs
Service document header: 2 registered outputs",20,22,7,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-02,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-032-VEC__redecker-machine-works-restored-mark-system/
SB3-033-VEC,Apex Rally Club - Motorsport face and livery system,"Six club badges rebuilt for pin and coin supplier review

Apex Rally Club needs six badge faces recovered from photographs for a pin and coin project. The references contain the colours and details we want to retain, but they are not reliable production drawings.

Deliverables
1. Motorsport face artwork: 6 named exports. The face design matches the named design record. The crest remains recognisable at the supplied reduction size.
2. Applied livery presentation: 1 named export. The graphics follow the vehicle panel boundaries. The livery hierarchy is readable at viewing distance.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Motorsport face artwork: 6 registered outputs
Applied livery presentation: 2 registered outputs",32,33,10,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-03,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-033-VEC__apex-rally-club-motorsport-face-and-livery-system/
SB3-034-VEC,Meridian and Ash - Sticker artwork production masters,"Coffee sticker collection: recover four designs, add two, prepare the cutting sheet

Four recovered designs + two new designs = one six-sticker collection for Meridian & Ash.

Please prepare
- Recovered sticker artwork: 4 named exports. The design preserves its photographed original. Interior negative space remains open at 55 mm.
- Original companion sticker: 2 named exports. The drawing belongs stylistically beside the recovered collection. Interior negative space remains open at 55 mm.
- Separate sticker cut contour: 6 named exports. The contour is offset 2.5 mm from the artwork edge. The minimum corner radius is 3 mm. This file contains one cutting contour.
- Transparent sticker proof: 6 named exports. The proof corresponds to its named vector artwork.
- Sticker imposed production sheet: 1 named export. The cut contours leave at least 10 mm clear from the sheet edge. Adjacent cut contours have at least 6 mm gutter. The CutContour layer can be selected separately from the artwork.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Recovered sticker artwork: 4 registered outputs
Original companion sticker: 2 registered outputs
Separate sticker cut contour: 6 registered outputs
Transparent sticker proof: 6 registered outputs
Sticker imposed production sheet: 2 registered outputs",92,64,7,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-04,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-034-VEC__meridian-and-ash-sticker-artwork-production-masters/
SB3-035-VEC,Isla Verde - Monogram and wayfinding pictogram system,"Resort identity recovery and a bilingual door-plate system

Isla Verde needs a specialist who is comfortable with both identity craft and production data. This is one coordinated job: recover the foil monogram, build the pictograms and make the bilingual plates fit the existing installation.

Final handoff

 Recovered Isla Verde monogram: 1 named export. The letterforms match the authoritative source. The inter-letter relationships preserve the original identity.

 Facility pictogram: 8 named exports. The symbol communicates the named facility. The symbol remains legible at 12 mm.

 Bilingual door plate: 25 named exports. The language pairing matches the schedule. The room identifier is unambiguous. The approved monogram is used.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Recovered Isla Verde monogram: 1 registered output
Facility pictogram: 8 registered outputs
Bilingual door plate: 26 registered outputs",210,326,18,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-05,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-035-VEC__isla-verde-monogram-and-wayfinding-pictogram-system/
SB3-036-VEC,Ridgeway Rovers - Football crest master system,"Recover a football crest and its hand-drawn shirt lettering

Ridgeway Rovers wants its existing identity back in usable form. The crest needs to work at breast size and in one ink; the lettering comes from a set of 1990s drawings rather than a font we can buy.

Scope
1. Football club crest: 3 named exports. The club lettering matches the source. The crest details remain recognisable at shirt size.
2. Club number glyph: 10 named exports. The numeral is unambiguous at kit viewing distance. The glyph follows the founder's drawing.
3. Club letter glyph: 26 named exports. The letter follows the founder's drawing. The letter has no graph-paper artefacts.
4. Shirt and training-kit artwork sheet: 1 named export. The crest placement respects the supplied kit dimensions. The name-number hierarchy is usable on the shirt.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Football club crest: 3 registered outputs
Club number glyph: 10 registered outputs
Club letter glyph: 26 registered outputs
Shirt and training-kit artwork sheet: 2 registered outputs",200,165,8,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-06,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-036-VEC__ridgeway-rovers-football-crest-master-system/
SB3-037-VEC,Wharfside Folk Festival - Restored festival identity,"Bring our painted festival wordmark into a usable anniversary kit

Wharfside Folk Festival is twenty years old. The shed-painted wordmark is part of that history, and we want to retain its character across the handbill, cloth and supporting anniversary materials.

What we need back
- Recovered festival mark: 1 named export. The source lettering is preserved.
- Festival poster: 1 named export. The billing order follows the approved lineup. The event date is readable.
- Festival handbill: 1 named export. The venue details are readable at print size. The ticket action is visible.
- Festival shirt artwork: 1 named export. The ink limits follow the supplier note. The mark remains recognisable on the garment.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Recovered festival mark: 1 registered output
Festival poster: 2 registered outputs
Festival handbill: 2 registered outputs
Festival shirt artwork: 1 registered output",24,25,16,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-07,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-037-VEC__wharfside-folk-festival-restored-festival-identity/
SB3-038-VEC,Coble and Vane - One-color mark system,"Distillery mark recovery and a matching founder portrait set

This is a focused identity-production commission for Coble & Vane. We need the existing mark recovered in colour and true one-ink form, alongside three founder photographs that currently disagree because of their lighting.

The commission

 One-colour packaging identity: 1 named export. The mark uses the approved one-ink treatment. The counter spaces remain open on the stated stock.

 Cask-release label artwork: 13 named exports. The release details match this record. The label respects the supplied packaging area.

 Packaging supplier application sheet: 1 named export. The ink treatment is unambiguous. The application scale is stated.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","One-colour packaging identity: 1 registered output
Cask-release label artwork: 14 registered outputs
Packaging supplier application sheet: 2 registered outputs",102,171,20,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-08,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-038-VEC__coble-and-vane-one-color-mark-system/
SB3-039-VEC,Halcyon Grid - Production logo family,"Turn rough raster brand concepts into a credible SaaS identity system

Halcyon Grid is a small logistics software team. We have three AI-generated raster marks, but we do not yet have a usable identity. We need a designer to resolve the geometry, not preserve every artefact in those images.

Deliverables
1. Halcyon Grid logo variant: 3 named exports. The geometry preserves the master identity. The lettering is optically balanced.
2. Identity usage guide: 1 named export. The guide shows usable clear-space examples. The variant naming is unambiguous.
3. Team website identity application: 1 named export. The correct team names accompany their portraits. The parent and product identities have a clear hierarchy.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Halcyon Grid logo variant: 3 registered outputs
Identity usage guide: 2 registered outputs
Team website identity application: 2 registered outputs",27,30,18,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-09,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-039-VEC__halcyon-grid-production-logo-family/
SB3-040-VEC,Evergreen Provisions - Restored crest system,"Six painted crest lockups prepared for an apparel capsule

Evergreen Provisions needs the six painted crest lockups prepared for its small garment capsule. The brush character matters, but the artwork must hold at the actual garment width rather than only in a large presentation.

Please prepare
- Apparel crest production artwork: 6 named exports. The crest matches the authoritative painted reference. The brush character survives the reduction.
- Garment capsule application presentation: 1 named export. The graphic placement follows the garment schedule. The presentation distinguishes print artwork from illustrative mockup.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Apparel crest production artwork: 6 registered outputs
Garment capsule application presentation: 2 registered outputs",32,33,14,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#VECTOR-10,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-040-VEC__evergreen-provisions-restored-crest-system/
