Spend Line,Programme,Amount (USD)
Tutoring staff & stipends,Core tutoring,"179,000"
Learning materials & books,Core tutoring,24500
Meals & snacks,Wraparound,"$32,000"
Facilities - rent & utilities (5 centres),Facilities,79500
Scholarship awards,Scholarships,"58,000"
Transportation,Wraparound,"12,500"
Technology & devices,STEM,19500
Administration & overhead,Admin,"18,000"
Restricted: Ferra Family STEM Grant,STEM (Technology & devices),"15,000"
Restricted: Ferra Family STEM Grant,Scholarships,15000
AUDITED TOTAL SPEND,,"438,000"
