room_name,floor,bed_type,view_line,nightly_rate,image
Quay,Ground,Queen,Harbour view,$600,property_shoot_01.jpg
Anchor,Ground,King,Quayside view,600,property_shoot_02.jpg
Mast,First,Queen,Courtyard view,$620 / night,property_shoot_03.jpg
Hull,First,Twin,Canal view,USD 640,property_shoot_04.jpg
Reef,First,Double,Harbour view,$580,property_shoot_05.jpg
Slate,Second,Queen,Rooftop view,$600.00,property_shoot_06.jpg
Beam,Second,King,Harbour view,$660,property_shoot_07.jpg
Cove,Second,Double,Courtyard view,600,property_shoot_08.jpg
Tide,Third,Queen,Harbour view,$600 per night,property_shoot_09.jpg
Wharf,Third,King,Quayside view,$680,property_shoot_10.jpg
Keel,Ground,Twin,Yard view,$560,property_shoot_11.jpg
Harbour Watch,Third,King,Full harbour view over the working quay and the breakwater,$720,property_shoot_12.jpg
North Lantern,Second,Queen,Double-aspect corner over the canal and the old timber yard,$700,property_shoot_13.jpg
Warehouse Loft,Third,King,Wide view across the harbour mouth to the north pier,$740,property_shoot_14.jpg
