part_number,description,rated_load,duty_cycle,voltage,current_a,bore_dia_mm,overall_length_mm,width_mm,height_mm,weight_kg,material,finish,mounting,temp_range_c,cert_standard,list_price,dealer_price,discontinued_date,image
'GM-4120,"Governor sheave assembly, machined and balanced, supplied with certified overspeed test report and traceable heat number; conforms to the lift safety code in force at date of despatch and must be installed by a competent person against the original equipment manufacturer's rated tripping speed and re-tested on commissioning.",1200 kg,S3 40%,N/A,N/A,40,320,320,95,14.2,Cast aluminium,Clear anodised,"Shaft, keyed",-10 to 60,EN 81-20/50,9000,7200,,C:\Users\counter\Pictures\bench\gm-4120.jpg
'GM-3312,"Door operator arm, linkage",35 kg,S1,N/A,N/A,N/A,640,45,60,2.1,Steel,Clear anodised,Bolt-on,-10 to 60,EN 81-20,2800,2240,,C:\Users\counter\Pictures\bench\gm-3312.jpg
'GM-2075,"Traveling cable clamp",120 kg,S1,N/A,N/A,N/A,180,60,40,0.8,Steel,Zinc plated,Bolt-on,-10 to 60,EN 81-20,520,416,,C:\Users\counter\Pictures\bench\gm-2075.jpg
'GM-1180,"Guide rail section, T-profile, 1.5 m",N/A,N/A,N/A,N/A,N/A,1500,90,90,11.4,Steel,Galvanised,Bracket,-10 to 60,ISO 7465,980,784,,C:\Users\counter\Pictures\bench\gm-1180.jpg
'GM-5540,"Contactor block, 3-pole",N/A,AC-3,400 V,25 A,N/A,55,45,80,0.4,Thermoplastic,Powder coat,DIN rail,-5 to 55,IEC 60947,430,344,,C:\Users\counter\Pictures\bench\gm-5540.jpg
'GM-5560,"Relay socket, 8-pin",N/A,N/A,250 V,10 A,N/A,45,40,60,0.2,Aluminium,Clear anodised,DIN rail,-5 to 55,IEC 61810,410,328,,C:\Users\counter\Pictures\bench\gm-5560.jpg
'GM-6210,"Restrictor bracket",300 kg,S1,N/A,N/A,N/A,140,70,55,0.9,Steel,Zinc plated,Bolt-on,-10 to 60,EN 81-20,400,320,,C:\Users\counter\Pictures\bench\gm-6210.jpg
'GM-7010,"Door roller wheel, 70 mm",90 kg,S3 60%,N/A,N/A,17,80,80,25,0.3,Polyurethane,Powder coat,Axle,-10 to 60,EN 81-20,460,368,,C:\Users\counter\Pictures\bench\gm-7010.jpg
'GM-7400,"Brake coil assembly, dual-circuit electromagnetic brake coil rated for continuous duty; coil resistance and pick-up voltage stated on the attached test certificate and the brake must be commissioned against the machine's rated static and dynamic holding torque with the release monitored, in accordance with the lift safety code in force at date of despatch.",N/A,S1,110 V,1.8 A,N/A,160,120,120,3.6,Galvanised steel,Galvanised,Bolt-on,-10 to 60,EN 81-20/50,1900,1520,,C:\Users\counter\Pictures\bench\gm-7400.jpg
'GM-8130,"Selector cam",N/A,N/A,N/A,N/A,20,110,70,30,0.6,Steel,Zinc plated,"Shaft, keyed",-10 to 60,EN 81-20,640,512,,C:\Users\counter\Pictures\bench\gm-8130.jpg
'GM-8850,"Hoistway limit switch, roller-lever, positively driven safety switch with direct opening action; the switch must be positioned and adjusted so that it operates before the car reaches the terminal limit and its safety contacts are proven on test, in accordance with the lift safety code in force at date of despatch and the original equipment manufacturer's setting instructions.",N/A,N/A,250 V,6 A,N/A,90,55,70,0.5,Cast metal,Powder coat,Bolt-on,-10 to 60,EN 81-20,720,576,,C:\Users\counter\Pictures\bench\gm-8850.jpg
'GM-9200,"Governor tension sheave",600 kg,S3 40%,N/A,N/A,30,260,260,90,8.9,Cast aluminium,Clear anodised,"Frame, floor",-10 to 60,EN 81-20/50,3200,2560,,C:\Users\counter\Pictures\bench\gm-9200.jpg
'GM-3310,"Door operator arm, linkage (Rev A, superseded by GM-3312)",35 kg,S1,N/A,N/A,N/A,640,45,60,2.1,Steel,Clear anodised,Bolt-on,-10 to 60,EN 81-20,2800,2240,2025-11-30,C:\Users\counter\Pictures\bench\gm-3310.jpg
