Store,Street Address,Hours,On Now
Portsmouth,"44 Ceres Street, Portsmouth, NH",Mon-Sun 7-7,"On the bar now: the last of the Winter Porter, then the Amber comes on"
Burlington,"210 College Street, Burlington, VT",7am to 7pm daily,On now: Maple Pork Belly is back for spring
Old Port,"8 Wharf Street, Portland, ME","Mon-Fri 7-7, Sat-Sun 8-5",This week: Smoked Trout Plate
Munjoy Hill,"155 Congress Street, Portland, ME",Daily 7-6,On the bar: Cold Brew season is here
Concord,"19 North Main Street, Concord, NH",7-7,On now: Spiced Pear Tart
Brattleboro,"88 Elliot Street, Brattleboro, VT","Mon-Sat 7-6, Sun 8-4",This week: Kettle Roast Chicken
Camden,"21 Bay View Street, Camden, ME",8 to 6 daily,On the bar: Emberwell Stout
Northampton,"1180 Pleasant Street, Suite 2, corner of Strong Avenue, Northampton, MA","Mon-Fri 7am-7pm / Sat-Sun 8am-5pm",On now: the spring plates
Nashua,"7 Main Street, Nashua, NH",Open 6:30-4,On now: Maple Oat Latte
Keene,"33 Central Square, Keene, NH",6:30am-4pm,On now: Maple Pork Belly is back
Montpelier,"5 State Street, Montpelier, VT",7-3 daily,On now: Spiced Chai
Mystic,"12 Water Street, Mystic, CT",Daily 7-4,On now: Cold Brew on tap
Salem,"90 Derby Street, Salem, MA",Mon-Sun 7-7,On now: Braised Short Rib
Providence,"140 Wickenden Street, Providence, RI",7-7 daily,This week: Ember Skillet Hash
