Task code,Task name,Client brief,Deliverables,Auto verifiers,Human verifiers,Assets,Review page,S3 folder
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,"Make eight skincare products look like one launch, not eight shoots

Our launch range needs to look as considered online as it does on the shelf. At the moment the eight bottles look as though they belong to different brands.

What we need back
- Skincare product-page module: 8 named exports. The photograph shows the product named on this module. The bottle label remains legible at the delivered size. The product benefit is visually subordinate to the product name.
- Skincare range launch key visual: 1 named export. The composition identifies Aurelian Skin. The cleared launch claim is reproduced without a stronger efficacy claim. The product range is the primary visual focus.
- Retailer launch carousel: 5 named exports. The opening page identifies the range. The closing page presents the approved shopping action. The product sequence has a clear narrative.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Skincare product-page module: 9 registered outputs
Skincare range launch key visual: 2 registered outputs
Retailer launch carousel: 6 registered outputs",65,134,21,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/
SB3-002-PHO,Corner and Cure - Spring dish launch photography,"Spring dish photography and a reusable printed card set for Corner & Cure

The spring dishes are ready. The photographs and printed cards are not. We run Corner & Cure, a neighbourhood cafe, and need someone comfortable moving between food retouching and small-format print production.

The commission

 Spring dish counter card: 11 named exports. The hero photograph shows the named dish. The dish description is readable at printed size. The plate retains natural food texture. The restaurant identity is visible.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",Spring dish counter card: 12 registered outputs,76,142,14,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-02,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-002-PHO__corner-and-cure-spring-dish-launch-photography/
SB3-003-PHO,Cedarline and Vale - Ridgeway Lane listing image system,"Bring a mixed-light property shoot together for Ridgeway Lane

Property: Ridgeway Lane
Source: twelve room photographs
Use: listing gallery, portal crops and tall lead-room placements

Deliverables
1. Ridgeway Lane listing brochure: 1 named export. The cover identifies the actual property. The room sequence explains the property layout. Every property claim agrees with the supplied listing facts. The contact page includes the approved agent details.
2. Property portal hero: 1 named export. The hero depicts Ridgeway Lane rather than a stock property. The architectural verticals look plausible.
3. Room announcement: 3 named exports. The featured room matches the named property. The enquiry action is visible.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Ridgeway Lane listing brochure: 2 registered outputs
Property portal hero: 2 registered outputs
Room announcement: 4 registered outputs",30,43,16,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-03,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-003-PHO__cedarline-and-vale-ridgeway-lane-listing-image-system/
SB3-004-PHO,Verranza Coastal Retreats - Villa collection image system,"Three villas, one collection: imagery, crops and the gate monogram

For Verranza Coastal Retreats, the challenge is consistency without making three different villas interchangeable. We need the stone, limewash and coastal light to sit comfortably together across direct bookings and agent materials. The supplied do-not-want references are important.

Please prepare
- Villa booking hero: 3 named exports. The named villa matches the photograph. The offer price agrees with the approved rate record. The booking action is readable.
- Villa comparison brochure: 1 named export. Villa identities are unambiguous. The comparison makes differences between the properties easy to scan. Rates preserve their stated season.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Villa booking hero: 4 registered outputs
Villa comparison brochure: 2 registered outputs",23,36,16,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-04,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-004-PHO__verranza-coastal-retreats-villa-collection-image-system/
SB3-005-PHO,Halcyon Quarter - Mixed-use launch photography,"Evening-led property campaign from an overcast shoot

Halcyon Quarter is a former ropeworks development. The audience is downsizers looking carefully at the place, not people buying a dramatic sky. Our capture day was overcast; the campaign needs a credible evening direction across very different placements.

Final handoff

 Halcyon Quarter launch hoarding: 1 named export. The development name is legible at the specified scale. The pictured building remains faithful to the supplied development image. The enquiry action is visible.

 Mixed-use launch poster: 1 named export. The residential and commercial offer is distinguishable. The developer identity is visible.

 Property portal campaign panel: 1 named export. The approved location appears correctly. The composition does not imply completed construction where the source is a proposal.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Halcyon Quarter launch hoarding: 2 registered outputs
Mixed-use launch poster: 2 registered outputs
Property portal campaign panel: 2 registered outputs",23,28,10,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-05,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-005-PHO__halcyon-quarter-mixed-use-launch-photography/
SB3-006-PHO,Hollis Family Archive - Ada Hollis archival restoration,"Help us prepare Ada's family photographs for the reunion

Hello,

Scope
1. Archival restoration master: 9 named exports. The sitter remains faithful to the source photograph. Documentary details are not invented. Damage removal does not erase facial texture.
2. Family archive share image: 9 named exports. The full intended picture area is retained. The tone remains appropriate to the photographic era.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Archival restoration master: 9 registered outputs
Family archive share image: 9 registered outputs",63,65,12,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-06,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-006-PHO__hollis-family-archive-ada-hollis-archival-restoration/
SB3-007-PHO,Gable and Grove - Home services before-and-after library,"Before-and-after renovation photographs that clients can trust

Gable & Grove needs five before-and-after pairs prepared for the website and sales materials. These are evidence of our work. The after pictures should look good, but not because the before pictures have been made deliberately worse.

What we need back
- Completed project case-study panel: 4 named exports. The before and after photographs show the same site. The comparison preserves meaningful structural differences. The project caption identifies the work actually shown.
- Estimate-pack cover: 1 named export. The cover identifies Gable and Grove. The selected project demonstrates the service without claiming an invented result.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Completed project case-study panel: 5 registered outputs
Estimate-pack cover: 2 registered outputs",27,55,19,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-07,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-007-PHO__gable-and-grove-home-services-before-and-after-library/
SB3-008-PHO,Meridian Motors - Showroom vehicle image system,"Standardise a used-car photo set without changing the cars

We photograph stock in three different bays at Meridian Motors. That is showing up in our listings: the same forecourt can look like three dealerships, and paint colours move around with the light.

The commission

 Vehicle sales card: 6 named exports. The vehicle photograph matches this stock record. The vehicle condition is not misrepresented by retouching. The enquiry action is readable.

 Forecourt inventory campaign: 1 named export. The dealership name is clear. The campaign uses vehicles present in the intake register.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Vehicle sales card: 7 registered outputs
Forecourt inventory campaign: 2 registered outputs",34,95,26,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-08,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-008-PHO__meridian-motors-showroom-vehicle-image-system/
SB3-009-PHO,OSTRA - Restaurant plate photography system,"OSTRA tasting-menu images: dark, precise and still appetising

OSTRA is a 22-seat tasting counter. We have thirteen plate photographs from two services, and we need them to feel like the same room and the same menu. Dark should not mean muddy; glaze and food texture still need to read.

Deliverables
1. Seasonal menu announcement: 1 named export. OSTRA is identified. The featured dish agrees with the seasonal menu. The reservation action is visible.
2. Booking-page dish tile: 13 named exports. The caption correctly identifies the pictured dish. The food is recognisable at mobile listing size.
3. Reservation story: 1 named export. The booking action sits within the defined safe area. The restaurant name is readable at mobile size.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Seasonal menu announcement: 2 registered outputs
Booking-page dish tile: 14 registered outputs
Reservation story: 2 registered outputs",69,112,18,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-09,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-009-PHO__ostra-restaurant-plate-photography-system/
SB3-010-PHO,Northgrove - Apparel colorway image system,"Colour-consistent apparel images and clean retailer cutouts

Our Northgrove range is affordable premium basics. Customers choose between colours and fabrics, so a polished set that changes either of those is not useful to us.

Please prepare
- Apparel style product-page module: 6 named exports. The garment geometry matches its source style. The colourway is identified accurately. Fabric texture survives the treatment.
- Capsule launch carousel: 6 named exports. The capsule has a coherent visual direction. The opening page identifies Northgrove. The closing page contains the approved shopping action.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Apparel style product-page module: 7 registered outputs
Capsule launch carousel: 7 registered outputs",54,90,15,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-10,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-010-PHO__northgrove-apparel-colorway-image-system/
