Task code,Task ID,Question ID,Check ID,Deliverable,Output file,Review criterion,Approved reference,Assessment basis,Reference status,Applicability,Status,Answer (Yes/No)
SB3-001-PHO,PHOTO-01,K1_Q5,PHOTO-01/pdp-r002/K1_Q5/blocking_defect,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,No defect blocks the commissioned use of this file.,"""Output contract for pdp-r002. A No needs the exact failed requirement and why it prevents use.""",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q1,PHOTO-01/pdp-r002/K2_Q1/source_selection,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Placed client artwork comes from the supplied source pack.,"""aurelian_launch_shoot_01.jpg""",human_judgement,,Applies to client artwork that the brief requires reusing. Authorised new drawings or stock imagery are not falsely treated as supplied artwork.,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q2,PHOTO-01/pdp-r002/K2_Q2/source_permission,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Source changes stay within the permissions in the client brief.,"{""source_files"":""aurelian_launch_shoot_01.jpg"",""permissions"":[""Do not invent names, prices, claims, product features, locations, credentials, records, or documentary events that are absent from the approved inputs."",""Do not silently replace a weak supplied asset. Use it honestly, reject it with a reason, or take only the brief's declared Stock or concept exception."",""Record every omission, substitution, reconciliation, and material quality compromise in the delivery manifest."",""Preserve identity, product geometry, material behavior, and documentary truth; retouching may improve presentation but may not change what the subject is.""],""brief"":""BRIEF.md""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q4,PHOTO-01/pdp-r002/K2_Q4/identity,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The depicted subject retains its identifying features from the source.,"""aurelian_launch_shoot_01.jpg""",human_judgement,,"Applies to an identifiable product, person, logo or distinctive object. Otherwise record not applicable with a reason; do not mark Yes.",not_assessed,
SB3-001-PHO,PHOTO-01,K2_Q5,PHOTO-01/pdp-r002/K2_Q5/role,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,The selected source artwork serves the commissioned purpose.,"{""source_files"":""aurelian_launch_shoot_01.jpg"",""commission"":[""The photograph shows the product named on this module."",""The bottle label remains legible at the delivered size."",""The product benefit is visually subordinate to the product name.""],""brief"":""BRIEF.md""}",human_judgement,,,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r002/K3_Q1/K3_PHOTO_01,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Balanced; highlights and shadows hold detail.,"{""criterion"":""Exposure & tone"",""minor"":""slightly off but recoverable"",""major"":""clipped — detail lost"",""output_kind"":""pdp""}",subjective_expert_review,,Review Exposure & tone only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r002/K3_Q1/K3_PHOTO_02,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Neutral or on-brand; skin tones natural.,"{""criterion"":""Colour & white balance"",""minor"":""slight cast"",""major"":""clear cast / wrong colour"",""output_kind"":""pdp""}",subjective_expert_review,,Review Colour & white balance only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r002/K3_Q1/K3_PHOTO_03,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Clean edges; fine detail (hair) kept.,"{""criterion"":""Mask & edge quality"",""minor"":""small halo or jaggies"",""major"":""visible halo / clipped subject"",""output_kind"":""pdp""}",subjective_expert_review,,Review Mask & edge quality only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r002/K3_Q1/K3_PHOTO_04,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Clean and natural.,"{""criterion"":""Blemish & artefact removal"",""minor"":""a few left, or faint over-smoothing"",""major"":""artefacts remain / skin looks plastic"",""output_kind"":""pdp""}",subjective_expert_review,,Review Blemish & artefact removal only where present in this output; record a specific reason when not applicable.,not_assessed,
SB3-001-PHO,PHOTO-01,K3_Q1,PHOTO-01/pdp-r002/K3_Q1/K3_PHOTO_05,Skincare product-page image - Clarity Vitamin C Serum,pdp-r002.png,Realistic micro-detail.,"{""criterion"":""Texture & detail preserved"",""minor"":""slightly soft"",""major"":""detail smeared or lost"",""output_kind"":""pdp""}",subjective_expert_review,,Review Texture & detail preserved only where present in this output; record a specific reason when not applicable.,not_assessed,
