part_number,description,load_rating,mount_type,bore_diameter,material,duty_rating,finish_code,ordering_code,list_price,dealer_price,attributes,image
GSV-800,Governor Sheave Assembly,4500 lb,Shaft keyed,1.500 in,Cast Iron,Continuous,MF,GM-GSV-800,8950.00,7160.00,CERT=A17.1-2019;SEIS=Zone 4;SUPBY=,/mnt/stock/components/gsv_800_final.jpg
DOA-450,Door Operator Arm Assembly,1200 lb,Bracket 4-bolt,0.750 in,Steel welded,Heavy,PC,GM-DOA-450,6200.00,4960.00,CERT=A17.1-2019;SEIS=Zone 4;SUPBY=,/mnt/stock/components/doa_450.jpg
RBK-120,Overspeed Governor Restrictor Bracket,800 lb,Rail clamp,0.500 in,Steel,Standard,GV,GM-RBK-120,1480.00,1184.00,CERT=A17.1-2019;SEIS=Zone 2;SUPBY=,/mnt/stock/components/rbk_120.jpg
CCL-210,Traction Cable Clamp,2200 lb,Wedge,0.625 in,Ductile Iron,Standard,ZP,GM-CCL-210,520.00,416.00,CERT=A17.1-2019;SEIS=Zone 2;SUPBY=,/mnt/stock/components/ccl_210.jpg
RSK-008,Relay Socket 8-Pin,10 A,DIN rail,—,Polyamide,Control,MF,GM-RSK-008,410.00,328.00,CERT=UL508A;SEIS=N/A;SUPBY=,/mnt/stock/components/rsk_008.jpg
CTB-303,Contactor Block 3-Pole,25 A,DIN rail,—,Thermoplastic,AC-3,MF,GM-CTB-303,865.00,692.00,CERT=UL60947;SEIS=N/A;SUPBY=,/mnt/stock/components/ctb_303.jpg
DIL-330,Door Interlock Switch,6 A,Surface 2-bolt,—,Zinc die-cast,Control,ZP,GM-DIL-330,1120.00,896.00,CERT=A17.1-2019;SEIS=Zone 2;SUPBY=,/mnt/stock/components/dil_330.jpg
HLS-140,Hoistway Limit Switch,10 A,Rail mount,—,Steel,Control,ZP,GM-HLS-140,640.00,512.00,CERT=A17.1-2019;SEIS=Zone 2;SUPBY=,/mnt/stock/components/hls_140.jpg
BRC-560,Brake Coil Assembly (Rev A),1.8 A,Flange 4-bolt,—,Copper/Steel,Continuous,PC,GM-BRC-560A,3750.00,3000.00,CERT=A17.1-2019;SEIS=Zone 4;SUPBY=BRC-560B,/mnt/stock/components/brc_560a.jpg
BRC-560,Brake Coil Assembly (Rev B),1.8 A,Flange 4-bolt,—,Copper/Steel,Continuous,PC,GM-BRC-560B,3900.00,3120.00,CERT=A17.1-2019;SEIS=Zone 4;SUPBY=,/mnt/stock/components/brc_560b.jpg
GTW-090,Governor Tension Weight,90 lb,Sheave hang,0.875 in,Cast Iron,Standard,MF,GM-GTW-090,980.00,784.00,CERT=A17.1-2019;SEIS=Zone 4;SUPBY=,/mnt/stock/components/gtw_090.jpg
SLC-070,Selector Cam,40 lb,Rail clamp,0.375 in,Steel,Standard,BO,GM-SLC-070,445.00,356.00,CERT=A17.1-2019;SEIS=Zone 2;SUPBY=,/mnt/stock/components/slc_070.jpg
LPB-115,Landing Pushbutton Fixture,5 A,Flush wall,—,Stainless Steel,Control,SS,GM-LPB-115,720.00,576.00,CERT=UL508A;SEIS=N/A;SUPBY=,/mnt/stock/components/lpb_115.jpg
CTI-380,Car Top Inspection Station,10 A,Surface,—,Steel enclosure,Control,PC,GM-CTI-380,2340.00,1872.00,CERT=A17.1-2019;SEIS=Zone 2;SUPBY=,/mnt/stock/components/cti_380.jpg
PMR-045,Phase Monitor Relay,5 A,DIN rail,—,Polycarbonate,Control,MF,GM-PMR-045,430.00,344.00,CERT=UL60947;SEIS=N/A;SUPBY=,/mnt/stock/components/pmr_045.jpg
MCM-720,Motor Contactor Main,65 A,Panel 4-bolt,—,Thermoplastic,AC-3,MF,GM-MCM-720,2980.00,2384.00,CERT=UL60947;SEIS=N/A;SUPBY=,/mnt/stock/components/mcm_720.jpg
ENC-160,Encoder Coupling,30 lb,Shaft clamp,0.625 in,Aluminum,Standard,AN,GM-ENC-160,560.00,448.00,CERT=A17.1-2019;SEIS=Zone 2;SUPBY=,/mnt/stock/components/enc_160.jpg
