Item Name,Size,Price,Dietary Tags,Picture
The Corner Reuben,Half,$12,"Contains gluten, dairy",counter_shot_04.jpg
The Corner Reuben,Whole,16.00,"Contains gluten, dairy",counter_shot_04.jpg
Pastrami on Rye,Whole,15,"Contains gluten",counter_shot_01.jpg
Turkey Club,Whole,14.50,"Contains gluten, dairy",counter_shot_02.jpg
Italian Hero,Whole,14,"Contains gluten, dairy",counter_shot_03.jpg
Chopped Cheese,Whole,12,"Contains gluten, dairy",counter_shot_05.jpg
Roast Beef Sandwich,Whole,15,"Contains gluten",counter_shot_07.jpg
Caprese Sandwich,Whole,13,"Contains gluten, dairy. Vegetarian",counter_shot_08.jpg
Meatball Sub,Whole,13.50,"Contains gluten, dairy",counter_shot_09.jpg
Egg & Cheese Roll,Whole,7,"Contains gluten, dairy, egg",counter_shot_12.jpg
Tuna Melt,Whole,13,"Contains gluten, dairy, fish",counter_shot_13.jpg
BLT,Whole,11,"Contains gluten",counter_shot_15.jpg
Buffalo Chicken Wrap,Whole,12.50,"Contains gluten, dairy",counter_shot_17.jpg
Chicken Grain Bowl,Regular,14,"Gluten-free option",counter_shot_06.jpg
Cobb Salad Bowl,Regular,14,"Contains dairy, egg. Gluten-free",counter_shot_10.jpg
Falafel Bowl,Regular,13,"Vegan. Contains sesame",counter_shot_14.jpg
Cold Cut Platter,Small,16,"Contains dairy",counter_shot_18.jpg
Cold Cut Platter,Large,28.00,"Contains dairy",counter_shot_18.jpg
House Chicken Salad,8 oz,$8.50,"Contains egg",cc_chicken_salad.jpg
House Tuna Salad,8 oz,8.50,"Contains fish, egg",cc_tuna_salad.jpg
Egg Salad,8 oz,7,"Contains egg",cc_egg_salad.jpg
Macaroni Salad,8 oz,5.5,"Contains gluten, egg",
Potato Salad,8 oz,5.50,"Contains egg",cc_potato_salad.jpg
Coleslaw,8 oz,4,Vegetarian,cc_coleslaw.jpg
Half-Sour Pickles,Each,1,Vegan,
Marinated Olives,6 oz,6.00,Vegan,cc_olives.jpg
Roasted Vegetables,8 oz,6.5,Vegan,cc_roast_veg.jpg
Mozzarella & Tomato,8 oz,9,"Contains dairy. Vegetarian",cc_mozz_tomato.jpg
Prosciutto,4 oz,$9,,cc_prosciutto.jpg
Sharp Provolone,6 oz,7.5,"Contains dairy",cc_provolone.jpg
Smoked Turkey Breast,6 oz,8,,cc_turkey.jpg
Genoa Salami,6 oz,7,,cc_salami.jpg
Minestrone,Cup,5,"Vegan. Contains gluten",cc_minestrone.jpg
Minestrone,Bowl,8,"Vegan. Contains gluten",cc_minestrone.jpg
Chicken Noodle Soup,Cup,5,"Contains gluten",cc_chicken_soup.jpg
Rice Pudding,Cup,4.5,"Contains dairy",
Black & White Cookie,Each,3.5,"Contains gluten, egg",cc_bw_cookie.jpg
Brooklyn Egg Cream,Each,4,"Contains dairy",cc_egg_cream.jpg
