Address,Headline,Description,Beds,Baths,SqFt,Price,Agent,RefCode,Status,Photo
"18 Lighthouse Point Road, Rockport, Maine 04856","A Point Estate at the End of the Reach","Set at the very end of the reach on nearly four private acres, this shingle-and-stone point estate takes in open water on three sides, with two hundred and forty feet of owned shorefront, a deep-water dock rated for a forty-foot boat, and a protected mooring in the cove. Inside, five bedrooms and four and a half baths open to water from nearly every room, a chef's kitchen with two islands gives onto a glassed morning room, and the primary suite holds its own wing with a stone fireplace and a private balcony over the water. A carriage house, a heated gunite pool, mature gardens laid out by a noted landscape architect, and a gated drive complete a property that comes to this stretch of the mid coast perhaps once in a generation.",5,4.5,6200,"$4,500,000",Theo Vane,HL-25-0201,Active,hero_select_01.jpg
"9 Shore Rd, Camden","Shingled Shorefront with a Deep-Water Dock","Weathered-shingle Colonial on the water with a private dock, a stone terrace and open bay views from the main rooms. A short walk to the village.",4,3,3200,1850000,Dana Marlow,HL-25-0182,Active,hero_select_02.jpg
"24 Bayview Ter, Rockport","Bay-Facing Contemporary on the Ledge","Glass-and-cedar contemporary set on a granite ledge above the bay, with walls of glass, an open plan and long afternoon light throughout.",4,3,2900,1250000,Cara Alden,HL-25-0176,Active,hero_select_03.jpg
"3 Beacon Ln, Lincolnville","Restored Sea Captain's House","An 1840s captain's house restored to the studs, with wide-board floors, four fireplaces and a wraparound porch, minutes from the beach.",5,3,3600,1450000,Miles Trott,HL-25-0169,Active,hero_select_04.jpg
"42 Birch Ln, Rockland","Corner-Lot Starter, Steps to the Harbor","Tidy three-bed on a sunny corner lot, a short walk to the working harbour. New furnace, level yard, room to grow. Open Sunday, one to three.",3,1,1100,320000,Nora Beck,HL-25-0148,Active,12_birch_front.jpg
"7 Mechanic St, Rockland","Village Cape with a New Roof","Updated village Cape with a new roof, refinished floors and an eat-in kitchen. Fenced yard, off-street parking, walk to town.",3,2,1450,389000,Sam Ives,HL-25-0151,Active,hero_select_06.jpg
"115 Cedar St, Thomaston","Updated Ranch on a Quiet Street","Single-level ranch with an open kitchen, a two-car garage and a private back yard on a quiet dead-end street.",3,2,1600,415000,Nora Beck,HL-25-0155,Active,hero_select_07.jpg
"28 Pleasant St, Rockland","Two-Family Near the Waterfront","Well-kept two-family a few blocks from the waterfront: live in one and rent the other, separate utilities and off-street parking.",4,2,2000,465000,Cara Alden,HL-25-0158,Active,hero_select_08.jpg
"6 Elm St, Camden","In-Town Cottage with a Deep Yard","Storybook in-town cottage with a deep, private yard and a detached studio, a short walk to Camden's shops and harbour.",2,1,980,349000,Miles Trott,HL-25-0161,Active,hero_select_09.jpg
"51 High St, Camden","Classic Camden Colonial","Center-entrance Colonial on High Street with generous rooms, a formal dining room and a screened porch over the garden.",4,2,2400,675000,Dana Marlow,HL-25-0164,Active,hero_select_10.jpg
"19 Sea St, Rockland","Harborside Bungalow","Cozy harborside bungalow with water peeks, a farmer's porch and a new kitchen, minutes to the ferry and the galleries.",2,1,1050,359000,Sam Ives,HL-25-0167,Active,hero_select_11.jpg
"5 Beauchamp Ave, Camden","Sea Meadow Cottage with Meadow Views","Shingled cottage above a tidal meadow with long views, an open kitchen and a screened porch, a short walk to the harbour.",3,2,1500,529000,Theo Vane,HL-25-0143,Under Contract,hero_select_12.jpg
