Reference,Piece Name,Metal,Assay,Stone,Carat,Band Width,Price,Photo
MV-101,Solenne,18K white gold,18K 750,Old-cut diamond,1.05 ct,2.0 mm,"$4,200",valcere_bench_01.jpg
MV-102,Vesper,18K white gold,18K 750,Old-cut diamond,0.70 ct,,2400.00,valcere_bench_11.jpg
MV-103,Aubade,18K yellow gold,18K 750,Blue sapphire,1.80 ct total,,1750,valcere_bench_02.jpg
MV-104,Colette,Platinum,PLAT 950,Diamonds,1.10 ct total,2.5 mm,"$3,900",valcere_bench_03.jpg
MV-105,Margaux,18K yellow gold,18K 750,,,9.0 mm,"$1,250",valcere_bench_04.jpg
MV-106,Perrine,18K white gold,18K 750,Diamonds,3.20 ct total,,"5,600.00",valcere_bench_05.jpg
MV-107,Lucienne,18K yellow gold,18K 750,Emerald,2.10 ct,,2950,valcere_bench_06.jpg
MV-108,Odette,Platinum,PLAT 950,Old-cut diamond,0.90 ct,,"$3,100",valcere_bench_07.jpg
MV-109,Celine,18K white gold,18K 750,Diamonds,0.50 ct total,,1200,valcere_bench_08.jpg
MV-110,Amandine,18K yellow gold,18K 750,,,,"1,450.00",valcere_bench_09.jpg
MV-111,Berenice,Platinum,PLAT 950,"Central old-European-cut diamond of approximately 1.20 carats, near-colourless and eye-clean, flanked by a matched pair of old-mine-cut diamonds of approximately 0.45 carats each, hand-selected over two seasons to sit level in tone and cut, set in a hand-pierced open gallery with fine millegrain edging along every claw and a knife-edge shoulder tapering into the band",2.10 ct total,2.4 mm,"$6,500",valcere_bench_10.jpg
MV-112,Delphine,18K yellow gold,18K 750,Ruby,1.40 ct,,"2,200",valcere_bench_13.jpg
MV-113,Gaspard,18K white gold,18K 750,,,,980,valcere_bench_14.jpg
MV-114,Thibault,Platinum,PLAT 950,,,3.0 mm,"$1,900",valcere_bench_15.jpg
MV-115,Odile,18K white gold,18K 750,Aquamarine,2.60 ct,,1650.00,valcere_bench_16.jpg
MV-116,Isabeau,18K yellow gold,18K 750,Diamonds,1.90 ct total,,"3,400",valcere_bench_17.jpg
MV-117,Rosalind,18K white gold,18K 750,Diamonds,0.85 ct total,2.2 mm,"$2,750",valcere_bench_18.jpg
MV-118,Genevieve,18K yellow gold,18K 750,,,,1100,valcere_bench_19.jpg
MV-119,Mathilde,Platinum,PLAT 950,Old-cut diamond,1.25 ct,,"3,850.00",valcere_bench_20.jpg
MV-120,Camille,18K white gold,18K 750,,,2.6 mm,$900,valcere_bench_21.jpg
MV-121,Florian,Platinum,PLAT 950,,,3.4 mm,"1,050",valcere_bench_05.jpg
MV-122,Beatrice,18K white gold,18K 750,Sapphire,0.95 ct,,"2,600.00",
