SKU,Tier,ShadeName,ProductType,NetWeight,ShadeRef,IngredientLine,BatchFormat,PackshotImage,SwatchImage,Status
ATL-101,Atelier,Alabaster Veil,Tinted Radiance Serum,30 ml,S01,"Aqua, Glycerin, Niacinamide, Titanium Dioxide (CI 77891), Sodium Hyaluronate, Pentylene Glycol, Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_01.jpg,Launch
ATL-102,Atelier,Bone Silk,Tinted Radiance Serum,30ml,S02,"Aqua, Glycerin, Niacinamide, Titanium Dioxide (CI 77891), Panthenol, Sodium Hyaluronate, Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_02.jpg,Launch
ATL-103,Atelier,Sable Rose,Cheek & Lip Tint Oil,15 ml,S03,"Caprylic/Capric Triglyceride, Squalane, Mica, Iron Oxides (CI 77491), Tocopherol, Bisabolol. May contain: Mica, CI 77491, CI 77492, CI 77891.",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_03.jpg,Launch
ATL-104,Atelier,Umber Clay,Complexion Balm,1.0 fl oz,S04,"Aqua, Kaolin, Glycerin, Iron Oxides (CI 77492), Squalane, Panthenol, Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_04.jpg,Launch
ATL-105,Atelier,Ochre Fig,Tinted Treatment,30 ml,S05,"Aqua, Glycerin, Niacinamide, Iron Oxides (CI 77491), Sodium Hyaluronate, Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_05.jpg,Launch
ATL-106,Atelier,Deep Terracotta,Cheek Tint,15 ml,S06,"Caprylic/Capric Triglyceride, Squalane, Mica, Iron Oxides (CI 77491), Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_06.jpg,Launch
ATL-107,Atelier,Espresso Root,Brow & Lash Tint,8 ml,S07,"Aqua, Glycerin, Iron Oxides (CI 77499), Cera Alba, Panthenol, Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_07.jpg,Launch
EVR-208,Everyday,Sable Rose,Everyday Lip Tint,4.5 g,S08,"Ricinus Communis Seed Oil, Cera Alba, Mica, Iron Oxides (CI 77491), Tocopherol. May contain: Mica, CI 77491, CI 15850, CI 77891.",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_08.jpg,Launch
EVR-209,Everyday,Peony Wash,Everyday Lip Tint,4.5 g,S09,"Ricinus Communis Seed Oil, Cera Alba, Mica, Red 7 Lake (CI 15850), Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_09.jpg,Launch
EVR-210,Everyday,Guava Fizz,Everyday Lip Tint,4.5 g,S10,"Ricinus Communis Seed Oil, Cera Alba, Mica, Red 7 Lake (CI 15850), CI 15985",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_10.jpg,Launch
EVR-211,Everyday,Brick Soda,Everyday Lip Tint,4.5 g,S11,"Ricinus Communis Seed Oil, Cera Alba, Mica, Iron Oxides (CI 77491), Red 7 Lake (CI 15850), Tocopherol. May contain: Mica, CI 77491, CI 77891, CI 42090.",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_11.jpg,Launch
EVR-212,Everyday,Clay Rose,Everyday Lip Tint,4.5g,S12,"Ricinus Communis Seed Oil, Cera Alba, Mica, Iron Oxides (CI 77491), Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_12.jpg,Launch
EVR-213,Everyday,Mauve Static,Everyday Lip Tint,4.5 g,S13,"Ricinus Communis Seed Oil, Cera Alba, Mica, Red 27 Lake (CI 45410), Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_13.jpg,Launch
EVR-214,Everyday,Cocoa Milk,Everyday Lip Tint,4.5 g,S14,"Ricinus Communis Seed Oil, Cera Alba, Mica, Iron Oxides (CI 77492), Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_14.jpg,Launch
EVR-215,Everyday,Plum Transit,Everyday Lip Tint,4.5 g,S15,"Ricinus Communis Seed Oil, Cera Alba, Mica, Red 27 Lake (CI 45410), CI 77491",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_15.jpg,Launch
EVR-216,Everyday,Nude Transit,Everyday Lip Tint,4.5 g,S16,"Ricinus Communis Seed Oil, Cera Alba, Mica, Iron Oxides (CI 77491), Titanium Dioxide (CI 77891)",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_16.jpg,Launch
EVR-217,Everyday,Berry Fold,Everyday Lip Tint,4.5 g,S17,"Ricinus Communis Seed Oil, Cera Alba, Mica, Red 27 Lake (CI 45410), Blue 1 Lake (CI 42090)",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_17.jpg,Launch
EVR-218,Everyday,Coral Static,Everyday Lip Tint,4.5 g,S18,"Ricinus Communis Seed Oil, Cera Alba, Mica, Red 7 Lake (CI 15850), CI 15985",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_18.jpg,Launch
EVR-219,Everyday,Rust Bloom,Everyday Lip Tint,4.5 g,S19,"Ricinus Communis Seed Oil, Cera Alba, Mica, Iron Oxides (CI 77499), Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_19.jpg,Launch
EVR-220,Everyday,Coral Ember,Everyday Lip Tint,4.5 g,S20,"Ricinus Communis Seed Oil, Cera Alba, Mica, Red 7 Lake (CI 15850), Tocopherol",SEVE-{YYMM}-{NNN},sample_packshot_06.jpg,drawdown_20.jpg,Discontinued
