job_name,location,scope,season,photo_file
Ridge Road,"Litchfield, CT","Limestone pergola, dry-stone terrace, planting",Spring 2025,ridgeroad_after.jpg
Marble Dale,"Marbledale, CT","Full exterior renovation, cedar siding, rebuilt entry, stone steps",Summer 2025,marbledale_after.jpg
Cornwall Bridge,"Cornwall, CT","Bluestone terrace and garden build, fieldstone wall",Summer 2025,cornwallbridge_after.jpg
Ellsworth Hill,"Sharon, CT","Rubble-stone foundation repair, repaint, regrade",Autumn 2024,ellsworth_after.jpg
Chapin Road,"Washington, CT","Dry-stone wall and native planting",Spring 2025,chapin_after.jpg
The Ridge,"Litchfield, CT","Pergola and terrace, Ridge Rd",Autumn 2024,ridge_pergola_after.jpg
Sabin Road,"Cornwall, CT","Front walk and steps in granite, planting",Autumn 2024,sabin_after.jpg
Painter Hill,"Roxbury, CT","Garage rebuild and apron",Summer 2024,painterhill_after.jpg
Calhoun Street,"Washington Depot, CT","Porch rebuild and railings",Autumn 2024,calhoun_after.jpg
Baldwin Hill,"Kent, CT","Terrace and outdoor kitchen",Summer 2024,baldwinhill_after.jpg
Wykeham Road,"Washington, CT","Courtyard garden and gravel drive",Spring 2024,wykeham_after.jpg
