Suite,Floor,Firm,Lease Status
101,1,Callendar & Roe LLP,Occupied
102,1,Presswick Architecture Studio,Occupied
103,1,Osgood Tax & Advisory,Occupied
2A,2,Marlin Hewitt Litigation Attorneys LLP,Occupied
201,2,Marlin Hewitt Litigation Attorneys LLP,Occupied
202,2,Deming Fenwick Accountants,Occupied
203,2,,Vacant
204,2,Thackeray Land Surveyors,Occupied
301,3,Braemar Wilkins Attorneys at Law,Occupied
3C,3,Corliss & Vane Solicitors,Occupied
302,3,Corliss & Vane Solicitors,Occupied
303,3,Ashcroft Rowe Consulting,Occupied
304,3,Pennington Estate Chambers,Occupied
401,4,Halloway Trust Counsel,Occupied
402,4,Sedgwick Maritime Law Group,Occupied
403,4,Whitmore Fenn Wealth Advisors,Occupied
