number,name_en,name_es,floor,panel_type,mount_height_mm
1,Reception,Recepción,Ground,Facility,1500
2,Concierge,Conserjería,Ground,Facility,1500
3,Restaurant,Restaurante,Ground,Facility,1500
4,Bar and Lounge,Bar y Salón,Ground,Facility,1500
5,Spa Reception,Recepción del Spa,Ground,Facility,1500
6,Fitness Room,Gimnasio,Ground,Facility,1500
7,Business Centre and Library,Centro de Negocios y Biblioteca,Ground,Facility,1500
8,Conference Suite,Salón de Conferencias y Eventos,First,Facility,1500
9,Tennis and Archery Pavilion,Pabellón de Tenis y Tiro con Arco,Ground,Facility,1500
10,Swimming Pool,Piscina,Ground,Facility,1500
11,Pool Bar,Bar de la Piscina,Ground,Facility,1500
12,Coastal Terrace and Sun Deck,Terraza Costera y Solárium,Ground,Facility,1500
13,Garden Path,Sendero del Jardín,Ground,Directional,1500
14,Housekeeping,Servicio de Limpieza,First,Facility,1400
15,Housekeeping,Servicio de Limpieza,Second,Facility,1400
16,Laundry,Lavandería,First,Facility,1400
17,Ice and Vending,Hielo y Máquinas,First,Facility,1400
18,Elevator,Ascensor,First,Directional,1600
19,Stairs,Escaleras,First,Directional,1600
20,Children's Activity Room,Sala de Actividades Infantiles,Ground,Facility,1400
21,Restrooms,Aseos,Ground,Directional,1500
22,Manager's Office,Oficina del Gerente,Ground,Facility,1500
23,Kitchen,Cocina,Ground,Facility,1500
24,Coastal Terrace Sun Deck and Outdoor Yoga Lawn,Terraza Costera Solárium y Césped de Yoga al Aire Libre,Ground,Facility,1500
