name,glaze,form,height_mm,diameter_mm,capacity_ml,firing_note,care_line,consignment_price
Tide Mug,Celadon Drift,mug,95,82,330,"Oxidation, cone 6","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",42
Basin Bowl,Celadon Drift,low bowl,70,150,500,"Oxidation, cone 6","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",48
Reed Bud Vase,Celadon Drift,bud vase,180,60,0,"Reduction, cone 6","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",44
Column Tumbler,Bone,tumbler,120,75,280,"Oxidation, cone 6, matte","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",38
Pour-Over Cone,Bone,pour-over cone,105,110,0,"Oxidation, cone 6, matte","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",56
Harvest Serving Bowl,Oatmeal,serving bowl,90,240,1400,"Oxidation, cone 6, speckle","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",68
Side Plate,Oatmeal,side plate,25,210,0,"Oxidation, cone 6, speckle","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",40
Ironwork Mug,Iron Slip,mug,98,84,340,"Reduction, cone 6","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",46
Ironwork Bowl,Iron Slip,bowl,75,165,620,"Reduction, cone 6","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",58
Ember Bud Vase,Kiln Rust,bud vase,190,65,0,"Reduction, cone 6","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",52
Ember Tumbler,Kiln Rust,tumbler,118,76,290,"Reduction, cone 6","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",44
Ash Dinner Plate,Ash Grey,dinner plate,30,270,0,"Oxidation, cone 6","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",72
Salt Vase,Salt Blush,small vase,150,90,0,"Salt fire, cone 6","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",62
Pewter Tumbler,Pewter,tumbler,122,78,300,"Reduction, cone 6, satin","Wheel-thrown stoneware. Food, microwave and dishwasher safe. Not for stovetop or open flame.",46
