item_name,colourway,size,wholesale_price,retail_price,edition,stockist_code
Eagle & Bolt Patch,Bone twill / Union Black,2.5 in,9.00,18.00,150,SU-P01
Arc Badge Patch,Union Black twill / Rail Gold,2.5 in,9.00,18.00,150,SU-P02
Union Stripe Patch,Slate twill / Bone,2.5 in,9.00,18.00,120,SU-P03
Bolt Icon Patch,Bone twill / Bolt Red,2.5 in,9.00,18.00,120,SU-P04
Eagle & Bolt Enamel Pin,Oxidised antique brass with Bolt Red and Bone hard enamel fill,1 in,7.00,14.00,200,SU-N01
Arc Badge Enamel Pin,Polished rail gold with Union Black and Bone soft enamel inlay,1 in,7.00,14.00,200,SU-N02
Bolt Icon Enamel Pin,Black nickel / Bolt Red,1 in,7.00,14.00,250,SU-N03
Union Stripe Enamel Pin,Brushed slate with Bone and Rail Gold enamel raised metal,1 in,7.00,14.00,200,SU-N04
Eagle & Bolt Sticker,Full colour on white vinyl,3 in,2.00,4.00,open,SU-S01
Arc Badge Sticker,White vinyl / one colour,3 in,2.00,4.00,open,SU-S02
Union Stripe Sticker,White vinyl,3 in,2.00,4.00,open,SU-S03
Bolt Icon Sticker,Bolt Red on white vinyl,3 in,2.00,4.00,open,SU-S04
