sku,product_family,sub_brand,fitment_line,roll_width,warranty_term,image
V-PPF-101,Paint Protection Film,Vantage,Model-specific precut kit for full front-end protection covering the full hood both front fenders the front bumper mirror caps headlights and a door-cup set cut to the 2024-2026 pattern library,1520 mm,10 years,apexguard_installed_02.jpg
V-PPF-102,Paint Protection Film,Vantage,Matte finish precut full-hood and fender kit for most sedans and coupes,1520 mm,10 years,apexguard_installed_03.jpg
V-PPF-103,Paint Protection Film,Vantage,Full-front kit hood fenders and bumper model-specific,1520 mm,10 years,apexguard_installed_01.jpg
V-PPF-104,Paint Protection Film,Vantage,Track pack full-body precut kit including rockers roof and A-pillars for coupes and hatchbacks with a supplied install starter kit,1520 mm,7 years,apexguard_bench_05.jpg
V-PPF-105,Paint Protection Film,Vantage,Door-cup set universal,1520 mm,10 years,apexguard_bench_09.jpg
V-PPF-106,Paint Protection Film,Vantage,Hood shield partial-front bra-line kit fits most trucks and SUVs,1520 mm,10 years,apexguard_installed_02.jpg
V-PPF-107,Paint Protection Film,Vantage,Mirror caps pair,1520 mm,10 years,apexguard_bench_01.jpg
V-PPF-108,Paint Protection Film,Vantage,Rocker panel and lower-door precut kit model-specific for lowered vehicles,1520 mm,7 years,apexguard_installed_04.jpg
U-TNT-201,Window Tint,Umbra,Ceramic 35 percent front-door pair,760 mm,Lifetime,apexguard_installed_04.jpg
U-TNT-202,Window Tint,Umbra,Ceramic 20 percent front-door pair,760 mm,Lifetime,apexguard_installed_05.jpg
U-TNT-203,Window Tint,Umbra,Ceramic 05 percent limo rear-glass and quarter-window kit for sedans,760 mm,Lifetime,apexguard_installed_06.jpg
U-TNT-204,Window Tint,Umbra,Windshield strip,910 mm,5 years,apexguard_bench_10.jpg
U-TNT-205,Window Tint,Umbra,Full-vehicle ceramic kit covering all side glass the rear glass and a windshield strip precut for the listed model with edge-sealed borders and a heat-shrink rear pattern,910 mm,Lifetime,apexguard_installed_04.jpg
U-TNT-206,Window Tint,Umbra,Nano ceramic 50 percent all four doors,760 mm,Lifetime,apexguard_installed_05.jpg
U-TNT-207,Window Tint,Umbra,Privacy rear kit rear glass and both rear quarter windows for SUVs and wagons,760 mm,Lifetime,apexguard_installed_06.jpg
U-TNT-208,Window Tint,Umbra,Sunroof panel,760 mm,5 years,apexguard_bench_11.jpg
F-HW-301,Hardware,Forge,Pro squeegee soft blade,n/a,2 years,apexguard_bench_02.jpg
F-HW-302,Hardware,Forge,Tension roller,n/a,2 years,apexguard_bench_06.jpg
