task_id,title,vertical,category,deliverable,workflow,tool_calls,distinct_tools,difficulty,freelancer_price_usd,price_display,price_source,platform,upwork_budget_raw,source_job_title
AO-01,"Premium Clinical Skincare Brand — Product-Shot Finishing, Logo Vectorization, Per-SKU Label Merge & Print-Ready Packaging Export","Beauty, Cosmetics & Personal Care",product_ecom_whitebg,"Take our raw skincare hero shot, flat logo mark, texture plate and SKU copy sheet and produce a clinically clean white-b",,18,17,T3_intermediate,60,~$60 est.,estimate_market_rate,Upwork,,
AO-02,"Performance-ready Meta ad product creatives: white-bg clean-up, brand color grade, multi-ratio reframe set, and vectorized logo for paid-social testing","E-commerce, Retail & Product",product_ecom_whitebg,Turn the client's raw product shot and logo into a performance-ready Meta ad creative kit: a retouched pure-white-bg her,,20,16,T3_intermediate,60,~$60 est.,estimate_market_rate,Upwork,,
AO-03,E-commerce white-background product retouch suite + vectorized brand mark,"E-commerce, Retail & Product",product_ecom_whitebg,"Turn a client's raw, messy-background product photo into a pure-white-background marketplace catalog image and convert t",,17,15,T3_intermediate,55,~$55 est.,estimate_market_rate,Freelancer.com,,
AO-04,Silver Jewelry iPhone Shots to White-Background E-commerce Set (JPEG + transparent PNG),Fashion & Apparel,product_ecom_whitebg,"Turn a handheld iPhone shot of a silver jewellery piece into a clean, colour-accurate, uniform-white e-commerce set: a 3",,16,16,T3_intermediate,50,~$50 est.,estimate_market_rate,Freelancer.com,,
AO-06,White-Background Catalog Cleanup for a Firearms/Optics/Outdoor Shopify Store,"Nonprofit, Religious & Community",product_ecom_whitebg,Take a batch of inconsistent distributor-supplied product photos for a firearms/optics/outdoor Shopify store and turn th,,16,15,T3_intermediate,60,~$60 est.,estimate_market_rate,Upwork,,
AO-07,Men's pendant line: vectorize the 2D spec sketch + retouch and catalog-prep the sample studio shots,"Jewelry, Watches & Accessories",jewelry_photo,From the industrial designer's raster pendant sketch and two mixed-lighting workbench photos of a stainless-steel sample,,24,15,T3_intermediate,65,~$65 est.,estimate_market_rate,Upwork,,
AO-08,"Signature Bracelet Launch: Studio Retouch, White-Background E-Comm Set, Graded Hero, Expanded Social Banner & Vectorized Mark","Jewelry, Watches & Accessories",jewelry_photo,"Turn the brand's raw studio prototype shots, wordmark, and lifestyle frame into a launch image kit: a clean white-backgr",,21,17,T3_intermediate,60,~$60 est.,estimate_market_rate,Upwork,,
AO-10,Modern Silver Rosary Necklace — Commercial Product Package (Hero Retouch + Vector Spec + Screen-Print Tech Graphic + Data-Merge Spec Sheet),Fashion & Apparel,jewelry_photo,Turn the client's raw studio shot of a modern silver rosary necklace into a full commercial product package: a retouched,,17,16,T3_intermediate,55,~$55 est.,estimate_market_rate,Freelancer.com,,
AO-11,"Sterling-Silver Ruby Pendant — Retouched Hero Shots, Color-Matched Set, Vectorized Calligraphy Mark, Moodboard & Spec-Sheet Export","Nonprofit, Religious &amp; Community",jewelry_photo,"Turn the client's raw photos of a finished Sterling-Silver 925 ruby pendant into a retouched, color-consistent hero prod",,22,19,T3_intermediate,65,~$65 est.,estimate_market_rate,Upwork,,
AO-12,"Bright-and-Airy Lightroom Grade for a 38-Shot Food Photography Set (Flat-Lay, 45°, Side)","Food, Restaurant & Beverage",food_bev_photo,Take a client's 38-frame food shoot (flat-lay / 45° / side of one dish) that is close to the mark and grade it to a cohe,,20,15,T3_intermediate,60,~$60 est.,estimate_market_rate,Upwork,,
AO-13,"Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep — Retouch, Grade, Cutout, Multi-Ratio reframe-crop & Delivery Pack for a West Palm Beach Mexican Restaurant","Food, Restaurant & Beverage",food_bev_photo,"Prep and deliver the campaign-ready photo + brand asset pack (retouched, warm/bold-graded hero food shots, color-splash ",,20,17,T3_intermediate,60,~$60 est.,estimate_market_rate,Upwork,,
AO-14,Brickyard retro one-page menu: food-photo grade + logo vectorize + InDesign data-merge to print PDF/JPEG,"Food, Restaurant & Beverage",food_bev_photo,"Grade four raw burger photos, vectorize the Brickyard wordmark, source a chalkboard texture, and run the client's author",,25,16,T3_intermediate,70,~$70 est.,estimate_market_rate,Freelancer.com,,
AO-15,"Umaya Tri-Fold Menu Refresh — Food Photography Prep, Brand-Cohesive Color Grade, Logo Vectorization & Source Export","Food, Restaurant & Beverage",food_bev_photo,"Prep, color-grade, cut out, crop, and print-export the new dish photography, the vectorized logo, the textured backgroun",,21,20,T3_intermediate,60,~$60 est.,estimate_market_rate,Upwork,,
AO-17,Dark-Mode Restaurant Website Hero Food Photography Pack,"Food, Restaurant & Beverage",food_bev_photo,Retouch a restaurant's raw plated-dish photos into a cohesive dark-mode hero-image pack (hero + menu tiles + mobile crop,,22,15,T3_intermediate,65,~$65 est.,estimate_market_rate,Upwork,,
AO-18,"Premium Dark-Mode Restaurant Food-Photography Asset Suite (Hero, Menu Tiles, Logo Vector)","Food, Restaurant & Beverage",food_bev_photo,"From the client's raw food photos and logo, produce a dark-mode-ready food-photography asset suite — a color-graded wide",,26,14,T4_advanced,70,~$70 est.,estimate_market_rate,Upwork,,
AO-20,"Premium corporate-website photo retouch: grade, declutter, and export a consistent responsive image set","Automotive, Industrial & Agriculture",headshot_portrait,"Take two client-shot raw corporate images (a plant-floor engineer-by-equipment hero and an executive portrait), professi",,20,14,T3_intermediate,65,~$65 est.,estimate_market_rate,Freelancer.com,,
AO-21,"Creative Business Headshot — Studio Retouch, Color Grade & Brand-Profile Asset Pipeline",General / Cross-Industry Branding & Graphics,headshot_portrait,"Take the client's raw studio headshot frame and brand monogram and produce a retouched, color-graded, creatively recompo",,20,16,T3_intermediate,60,~$60 est.,estimate_market_rate,Freelancer.com,,
AO-22,"Production-finish a modern vibrant abstract logo: clean, color-tune, vectorize, and ship full-colour + single-colour + print variants with a style note","Party, Events &amp; Promotion",vectorize_logo,Take my approved raster abstract logo concept and produce the full hand-off package — cleaned and brightened full-colour,,15,15,T2_basic,50,~$50 est.,estimate_market_rate,Freelancer.com,,
AO-23,"Teaser, Thumbnail and End-Card Content Package for a Luxury Manhattan Real-Estate YouTube Channel","Real Estate, Construction & Property",realestate_photo,Produce the full per-video content package for one luxury Manhattan real-estate YouTube video — a retouched high-contras,,18,17,T3_intermediate,55,~$55 est.,estimate_market_rate,Upwork,,
AO-24,"Open House Finance Flyer: property-photo retouch, brass/gold brand look, logo vectorize, and InDesign price-scenario data-merge for a Solano County mortgage lender","Real Estate, Construction & Property",realestate_photo,"Prep and grade the hero property photo and lender headshot into a black + brass/gold luxury look, vectorize the lender w",,24,14,T3_intermediate,65,~$65 est.,estimate_market_rate,Upwork,,
AO-25,"Premium, consistent HDR grade for a Caribbean vacation-rental villa listing set (interior + pool + sea/sky), delivered as web-ready JPEGs plus a client review board","Real Estate, Construction & Property",realestate_photo,"Take a property's three raw Nodalview-HDR exports (luxury interior, pool deck, sea/sky terrace) and finish them into a c",,23,13,T3_intermediate,65,~$65 est.,estimate_market_rate,Upwork,,
AO-26,"High-Volume Real Estate Listing Retouch — HDR Tone-Map, Window Pull, Lawn Boost & Consistent-Style Delivery","Real Estate, Construction & Property",realestate_photo,"Edit one real-estate listing's frames into MLS-ready, consistently styled images: tone-map the wide-DR exterior (window ",,21,13,T3_intermediate,60,~$60 est.,estimate_market_rate,Upwork,,
