Timecode,Caption,Term
00:32,"Two systems, one truth - and they never agree on the first pass.",Reconciliation
02:15,"The gap isn't error. It's timing, mapping and manual edits stacked up.",The month-end gap
05:40,"Source A is the ledger. Source B is the ops feed. Neither one is wrong.",The two sources
08:10,"A roll-forward is the running bridge from last month's closed balance to this month's, adding every posted movement in order so the ending figure you show your manager can be traced line by line back to a number they already signed off, and nothing appears on it that you cannot point at and name.",Roll-forward
12:05,"Start the reconciliation from the balance you already agreed. Never from zero.",Reconciliation
14:20,"Post each movement once, in date order. One line, one cause.",The roll-forward
17:45,"A reconciling item is any single difference between the two sources that you can name, date and assign a cause to; if you cannot yet say what it is and why it is there it is not a reconciling item, it is an unexplained variance, and an unexplained variance is the one thing you never carry forward into next month.",Reconciling item
19:30,"If the bridge doesn't tie to the penny, you're not done - you're guessing.",Tie-out
22:00,"Set the line where a difference stops being worth your evening.",Materiality
23:15,"A materiality threshold is the dollar figure below which a reconciling difference is logged but not investigated, chosen so the hours you spend chasing a variance never cost more than the variance itself; most working managers set it far too low and lose their evenings to rounding that never mattered.",Materiality threshold
27:50,"Walk one real exception all the way to its cause before you generalise.",Worked example
31:10,"This is the customer call that explains the whole variance. Listen to it.",The worked example
31:10,"One late credit note moved forty thousand dollars across two months.",Reconcilation
38:25,"Hand your manager the bridge, not the spreadsheet - one page, every line explained.",Presenting the reconcilation
