piece_code,name,description,height,diameter,capacity,weight,glaze,clay_body,dishwasher,microwave,foodsafe,care_note,retail,wholesale,image,retired
KM-01,Oatmeal Mug,"A quiet everyday mug thrown for the hand, matte oatmeal glaze.",3.5,3.25,12 oz,14 oz,Oatmeal,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",34,17,C:\Kilnmore\linesheet\img\km-01.jpg,
KM-02,Ash Mug,"The oatmeal mug in our soft ash glaze.",3.5,3.25,12 oz,14 oz,Ash,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",34,17,C:\Kilnmore\linesheet\img\km-02.jpg,
KM-03,Cobalt Slip Mug,"Deep cobalt slip under a matte clear, thrown for the hand.",3.5,3.25,12 oz,14 oz,Cobalt Slip,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",34,17,C:\Kilnmore\linesheet\img\km-03.jpg,
KM-04,Bare Clay Mug,"Unglazed on the outside, sealed within; the clay itself.",3.5,3.25,12 oz,14 oz,Bare clay,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the surface at its best.",34,17,C:\Kilnmore\linesheet\img\km-04.jpg,
KM-05,Oatmeal Bowl,"An everyday bowl in matte oatmeal, deep enough for a full breakfast.",2.75,6,20 oz,16 oz,Oatmeal,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",42,21,C:\Kilnmore\linesheet\img\km-05.jpg,
KM-06,Ash Bowl,"The everyday bowl in our soft ash glaze.",2.75,6,20 oz,16 oz,Ash,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",42,21,C:\Kilnmore\linesheet\img\km-06.jpg,
KM-07,Cobalt Slip Bowl,"Deep cobalt slip, a bowl with weight to it.",2.75,6,20 oz,16 oz,Cobalt Slip,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",42,21,C:\Kilnmore\linesheet\img\km-07.jpg,
KM-08,Serving Platter,"A wide serving platter for the middle of the table, ash glaze.",4,32,,54 oz,Ash,Stoneware,No,No,Yes,"Fired to cone 6; hand wash only.",96,48,C:\Kilnmore\linesheet\img\km-08.jpg,
KM-09,Dinner Plate,"The dinner plate from our four-piece set, matte oatmeal.",1.25,10.5,,22 oz,Oatmeal,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",48,24,C:\Kilnmore\linesheet\img\km-09.jpg,
KM-10,Side Plate,"The side plate from the set, bare clay edge.",1,8,,14 oz,Bare clay,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the surface at its best.",36,18,C:\Kilnmore\linesheet\img\km-10.jpg,
KM-11,Cobalt Slip Dish,"A small dish for salt, oil or a single fig; deep cobalt.",1.5,4,4 oz,7 oz,Cobalt Slip,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",26,13,C:\Kilnmore\linesheet\img\km-11.jpg,
KM-12,Bare Clay Bowl,"An unglazed bowl, the raw clay sealed for use.",2.75,6,20 oz,16 oz,Bare clay,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the surface at its best.",42,21,C:\Kilnmore\linesheet\img\km-12.jpg,
KM-13,Ash Pitcher,"A pitcher for water or a handful of stems, soft ash glaze.",22,14,40 oz,34 oz,Ash,Stoneware,No,No,Yes,"Fired to cone 6; hand wash only.",78,39,C:\Kilnmore\linesheet\img\km-13.jpg,
KM-14,Celadon Mug,"Discontinued celadon glaze mug, sold through.",3.5,3.25,12 oz,14 oz,Celadon,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",34,17,C:\Kilnmore\linesheet\img\km-14.jpg,2025-08-01
KM-15,Rust Bowl,"Discontinued rust glaze bowl, sold through.",2.75,6,20 oz,16 oz,Rust,Stoneware,"Yes, low cycle",No,Yes,"Fired to cone 6; hand wash to keep the matte glaze at its best.",42,21,C:\Kilnmore\linesheet\img\km-15.jpg,2025-08-01
