task_id,task,family,difficulty,expected_tool_calls,distinct_tools,num_inputs,num_outputs,output_types,output_breakdown,price
AO-01,Premium Clinical Skincare Brand,Photo & Image,T3_intermediate,18,17,6,9,5,"image×4, PDF×2, vector(SVG)×1, link/board×1, data/file×1",~$60 est.
AO-02,Performance-ready Meta ad product creatives,Photo & Image,T3_intermediate,20,16,3,8,3,"image×5, data/file×2, vector(SVG)×1",~$60 est.
AO-03,E-commerce white-background product retouch suite + vec,Photo & Image,T3_intermediate,17,15,2,4,2,"image×2, vector(SVG)×2",~$55 est.
AO-04,Silver Jewelry iPhone Shots to White-Background E-comme,Photo & Image,T3_intermediate,16,16,1,4,2,"image×2, data/file×2",~$50 est.
AO-06,White-Background Catalog Cleanup for a Firearms/Optics/,Photo & Image,T3_intermediate,16,15,2,8,3,"image×4, data/file×3, vector(SVG)×1",~$60 est.
AO-07,Men's pendant line,Photo & Image,T3_intermediate,24,15,3,5,3,"image×3, vector(SVG)×1, link/board×1",~$65 est.
AO-08,Signature Bracelet Launch,Photo & Image,T3_intermediate,21,17,3,6,3,"image×4, vector(SVG)×1, data/file×1",~$60 est.
AO-10,Modern Silver Rosary Necklace,Photo & Image,T3_intermediate,17,16,5,7,4,"image×4, vector(SVG)×1, PDF×1, data/file×1",~$55 est.
AO-11,Sterling-Silver Ruby Pendant,Photo & Image,T3_intermediate,22,19,5,8,4,"image×5, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
AO-12,Bright-and-Airy Lightroom Grade for a 38-Shot Food Phot,Photo & Image,T3_intermediate,20,15,3,6,2,"image×5, data/file×1",~$60 est.
AO-13,Taco Tuesday & Lunch-Special Meta Ad Photo-Asset Prep,Photo & Image,T3_intermediate,20,17,4,10,3,"image×8, vector(SVG)×1, data/file×1",~$60 est.
AO-14,Brickyard retro one-page menu,Photo & Image,T3_intermediate,25,16,7,5,4,"image×2, vector(SVG)×1, PDF×1, data/file×1",~$70 est.
AO-15,Umaya Tri-Fold Menu Refresh,Photo & Image,T3_intermediate,21,20,5,9,3,"image×7, vector(SVG)×1, data/file×1",~$60 est.
AO-17,Dark-Mode Restaurant Website Hero Food Photography Pack,Photo & Image,T3_intermediate,22,15,4,6,3,"image×4, vector(SVG)×1, data/file×1",~$65 est.
AO-18,Premium Dark-Mode Restaurant Food-Photography Asset Sui,Photo & Image,T4_advanced,26,14,3,6,3,"image×4, vector(SVG)×1, data/file×1",~$70 est.
AO-20,Premium corporate-website photo retouch,Photo & Image,T3_intermediate,20,14,2,7,3,"image×5, link/board×1, ZIP×1",~$65 est.
AO-21,Creative Business Headshot,Photo & Image,T3_intermediate,20,16,2,6,3,"image×4, vector(SVG)×1, data/file×1",~$60 est.
AO-22,Production-finish a modern vibrant abstract logo,Vector & Print,T2_basic,15,15,2,8,3,"image×6, vector(SVG)×1, data/file×1",~$50 est.
AO-23,"Teaser, Thumbnail and End-Card Content Package for a Lu",Photo & Image,T3_intermediate,18,17,5,6,3,"video×3, image×2, vector(SVG)×1",~$55 est.
AO-24,Open House Finance Flyer,Photo & Image,T3_intermediate,24,14,5,8,4,"image×4, PDF×2, vector(SVG)×1, data/file×1",~$65 est.
AO-25,"Premium, consistent HDR grade for a Caribbean vacation-",Photo & Image,T3_intermediate,23,13,3,5,2,"image×4, link/board×1",~$65 est.
AO-26,High-Volume Real Estate Listing Retouch,Photo & Image,T3_intermediate,21,13,3,4,2,"image×3, data/file×1",~$60 est.
