Piece Name,Fabric,Colourway,Make Note,Wholesale,Retail,Size Run,Cut-out
Fell Overshirt,12 oz cotton canvas,Charcoal,"Triple-needle felled shoulder and side seams, corozo buttons, single-layer yoke, cut and sewn in Burlington from Cone Mills canvas; garment-washed once for a broken-in hand.",64,128,XS-XXL,cutouts/fell_overshirt.png
Yard Chore Coat,Waxed 10 oz cotton,Workshop Olive,"Dry-waxed 10 oz cotton, three patch pockets with bartacked corners, blanket-stitch buttonholes, cotton-twill pocket bags, seams taped inside; will darken and patina with wear.",62,124,XS-XXL,cutouts/yard_chore_coat.png
Range Shirt Jacket,8 oz cotton twill,Oat Cotton,"Snap front, two flap chest pockets, split back yoke, felled seams throughout; unlined and meant to layer over the henley or the tee.",59,118,XS-XXL,cutouts/range_shirt_jacket.png
Forge Flannel Shirt,Brushed cotton flannel,Forge Rust,"Double-brushed cotton flannel in a muted rust and charcoal plaid, plackets pattern-matched at the button line, two flap chest pockets, single-needle collar.",49,98,XS-XXL,cutouts/forge_flannel_shirt.png
Bench Henley,Waffle-knit cotton,Dark Olive,"Heavyweight waffle-knit cotton, three-button neck placket with cast-pewter buttons, ribbed cuffs, flatlock seams to sit soft under a shirt.",37,74,XS-XXL,cutouts/bench_henley.png
Mill Pocket Tee,7 oz heavyweight jersey,Oat Cotton,"Natural undyed 7 oz jersey, single chest patch pocket, ribbed crew with a taped back neck, tubular body so the side seams stay clean.",38,76,XS-XXL,cutouts/mill_pocket_tee.png
Kestrel Club Jersey,Cotton jersey,Oat / Workshop Olive,"Athletic-cut cotton jersey with olive ribbed collar and cuffs; chest panel left blank for the recovered Kestrel Lane crest, a neighbourhood collaboration not a licence.",44,88,XS-XXL,cutouts/kestrel_club_jersey.png
Drover Knit,Lambswool,Workshop Olive,"Chunky lambswool crewneck knit in a cable and rib, fully fashioned shoulders, ribbed hem and cuffs; spun and knitted for the workshop.",59,118,XS-XXL,cutouts/drover_knit.png
Cutter Waistcoat,Wool-cotton melton,Cast Pewter,"Grey-green wool-cotton melton, four cast metal buttons, welt pockets, adjustable back strap and buckle; cut to wear as an outer layer in the shoulder seasons.",46,92,XS-XXL,cutouts/cutter_waistcoat.png
Anvil Work Trouser,10 oz cotton duck,Charcoal,"10 oz cotton duck, triple-stitched inseam, hammer-loop and rule pocket, cast shank waist button, cut straight with a slight taper; sanforized so it holds its size.",56,112,28-40,cutouts/anvil_work_trouser.png
