kind,source,external_id,title,company,vertical,adobe_tools,budget,salary,location,posted_at,url,description
task,freelancer,40488210,Modernized InDesign Catalogue Creation,,"Automotive, Industrial & Agriculture",InDesign,£250–£750 GBP,,Remote,2026-06-03,https://www.freelancer.com/projects/print-design/Modernized-InDesign-Catalogue-Creation,"1. Project Overview
•	Project: Design of product catalogue and template pages.
•	Format: InDesign files, with final version as multi-page printed A4 booklet and downloadable PDF.
•	Core Objective: To create a clean, professional, and easy-to-navigate trade catalogue, maintaining brand continuity with previous years while modernising and simplifying the layout. The catalogue will be built out in Adobe InDesign with multiple reusable and interchangeable page designs.
2. Brand & Style Guidelines
•	Reference Style: We would like to modernise and simplify the current Massey Harpers Game and Country catalogue.
•	Visual Language: It’s a catalogue for farmers and gamekeepers. The design needs to be in keeping for that audience, easy to read, simple, clean and professional. We would like to avoid giving an impression of expensive or corporate.
•	Consistency: Every page must include:
o	Header: Dedicated space for the section title and page numbers.
o	Footer: Clear contact information in the footer of each page, with space for disclaimer and/or pricing information, e.g. “prices exclude VAT”.
3. Page Structure & Layout
Front Cover
•	Imagery: Full-page ""hero"" image with Massey Harpers company logo.
•	Text: Catalogue name prominently at the top; the Year positioned at the bottom with secondary headline.
Back Cover
•	Imagery: Full-page image with Massey Harpers company logo.
•	Contact Information: Company contact information:
o	Phone number
o	Email address
o	Website URL
o	Physical address 
Informational/Introduction Page
•	Contents: Clear list of contents with page numbers
•	About: Company bio/introduction
•	Contact: Detailed contact information
•	Legal: Space for terms and conditions
Feed Page Design
To closely follow the existing feed guide design (page 3):
•	Space for two/three/four logos at the top
•	Feed guide in current table format
•	Include “feed experts” contact information with the following:
o	Image of expert
o	Contact information: name, phone number email address and job title
•	Notes or disclaimer information
Product/Inside Page Designs
We would like at least five different page designs that we can use to build out the catalogue. These pages will be used throughout the catalogue and include multiple products in a simple grid layout, but may differ by including the following:
•	Banner advertisements/images/callouts (see HF seeds banner on page 20 of current catalogue)
•	Notice or disclaimer spaces (see safety notice on page 21 of current catalogue)
•	Highlighted/special offer products
•	Product range sections (see automatic drinker spaces on page 16)
•	Full-page and half-page advertisements
Product Information
•	Required Elements per Product:
o	Product image (either white background or lifestyle)
o	Product name
o	Product description
o	Price (with option for quantity, e.g. per 100 and price on application)
o	Product code/SKU
o	QR code (for linking the product on the website)
4. Technical Requirements
•	Software: Final files to be delivered in Adobe InDesign format (.indd) with a print-ready PDF export.
•	Assets: 
o	Reference 1: Massey Harpers Game and Country 2026 PDF
o	Reference 2: Collins Nets Game & Poultry Catalogue 2026 PDF
5. Timeline & Delivery
•	Draft 1 (Concept/Master Pages): [Insert Date]
•	Draft 2 (Full Layout): [Insert Date]
•	Final Amendments: [Insert Date]
•	Complete Version: [Insert Date]
________________________________________
Notes
1.	Typography: Since the Massey Harpers site uses a mix of traditional and clean sans-serif fonts, please pick a font that remains legible even in small product descriptions."
task,freelancer,40479085,Assistant Talent Manager & Operations Assistant Needed,,"Automotive, Industrial & Agriculture",Photoshop,₹12500–₹37500 INR,,Remote,2026-05-30,https://www.freelancer.com/projects/project-management/Assistant-Talent-Manager-Operations,"Executive/Assistant Talent Manager & Operations Assistant

Location: Mumbai (Western Suburbs / Andheri preferred)

Job Type: Full-time (With initial 3-month probation tracking)

Hiring: Executive Talent Manager & Operations Assistant (Mumbai)

Looking for a fierce, highly disciplined, and sharp Executive Manager to handle operations, strategic brand growth, and backend infrastructure for an established personal acting brand.

If you are a polished media graduate or a hungry fresher looking to break into the entertainment industry, master the business from the inside out, and operate at an elite level, this is your sandbox.

 Role Overview & Logistics

Location: Mumbai (Strict

 Preference: Candidates residing in the Western Suburbs / close to Andheri or Goregaon due to daily travel).

Structure: 3-Month Probation Period (with a structured, clear path to long-term operational growth based entirely on performance execution).

Compensation:
Competitive Stipend + Performance-based Incentives (To be discussed during the interview phase).

Shift Timings: Standard hours start from 9:00 AM onwards (approx. 10-12 hours daily).

 Note: On shoot, audition, or project production days, shifts can extend up to 12-14+ hours. This is a core entertainment industry role; high stamina, fluid adaptability, and complete scheduling flexibility are mandatory.

 Core Responsibilities (What You Will Handle)
Casting & Pipeline

 Management: Actively building and updating a comprehensive database of casting directors, production houses, and agencies. Handling heavy cold outreach, professional emails, and strict database tracking.

Social Media & Digital Strategy: Managing content calendars, analyzing growth metrics, and optimizing distribution channels.

Creative Content Support: Basic graphic design, asset formatting, aesthetic layout production, and coordinating with design vendors for premium branding materials.

Calendar & Schedule Coordination: Handling administrative incoming requests, managing daily audition pipelines, schedule tracking, and professional communication management.

 Who We Are Looking For

An Executive, Not a Fan: We need an operations machine, not a star-gazer. You must be focused entirely on business infrastructure, talent management mechanics, and execution—not the glamour of the camera.

Communication & Mindset: Impeccable English communication skills (both written and spoken), highly punctual, exceptionally consistent, and comfortable working under pressure without requiring constant hand-holding.

Qualifications & Skill Requirements
Educational Background:

 Graduate degree in Marketing, BMM, Advertising, Communication, or Management/PR. (Polished, sharp freshers are highly encouraged).
Technical Skillset: High proficiency in building clean presentations, curating professional visual moodboards, and handling basic graphic design layouts (Canva/Photoshop).

 Added Advantage: Basic proficiency with WordPress dashboards (making simple text/image data uploads, portfolio updates, and page layout formatting) will be considered a major benefit and will fast-track your application.

Essential Assets: Must own and operate a high-functioning personal laptop.

 The Growth Clause
If you show absolute consistency, master the entire backend operation, and prove your irreplaceable value during the initial trial phase, your compensation will scale directly with the value you bring to the business, unlocking a structured, uncapped growth raise from the 3rd month onwards."
task,freelancer,40493125,Lead Digital Marketing for Daksh Sathi Tech,,"Automotive, Industrial & Agriculture",Photoshop; After Effects; Premiere Pro,₹1500–₹12500 INR,,Remote,2026-06-05,https://www.freelancer.com/projects/digital-marketing/Lead-Digital-Marketing-for-Daksh,"Job Title: Digital Marketing & Brand Identity Specialist (Daksh Sathi Technologies)
Company: Daksh Sathi Technologies Pvt. Ltd.
Founder: Kishan Salam
About Us:
Daksh Sathi is a high-growth hyperlocal service platform based in Madhya Pradesh. We are transforming the service sector with 70+ categories integrated across three core applications (Partner App, Merchant App, and Delivery App). We operate on a mission to empower partners through a transparent 0% Lifetime Commission Model.
Role Overview:
We are looking for a permanent Digital Marketing Expert to lead our brand growth, manage ad campaigns, and produce high-quality promotional content.
Key Responsibilities:
Ad Campaign Management: Execute performance-driven ads across Facebook, Instagram, and Google to scale 70+ service categories.
Video Production & Voiceover: Produce high-quality, energetic promotional videos (30-45 seconds) with professional Hindi/Hinglish voiceovers. The style must be professional, trustworthy, and cinematic (similar to top Indian service aggregators like Porter/Urban Company).
App Store/Play Store Visuals: Design clean, high-converting screenshots and feature videos for our app listings to ensure a professional first impression.
Brand Identity: Design premium banners, posters, and social media assets for three distinct segments: Individual Partners, Infrastructure Merchants, and Logistics Pilots.
Policy Communication: Clearly explain our business logic—including the 0% commission model, AES-256 data security, and onboarding recovery rules (₹500 dummy hold)—through visual and video content.
Operations & Data Privacy: Manage leads while strictly adhering to our internal data privacy protocols (Masked Data for operations).
Required Skills:
Proven experience in scaling service-based startups.
Expertise in Video Editing & Production (Adobe Premiere Pro/After Effects/Advanced Canva).
Ability to record/produce professional Hindi/Hinglish voiceovers.
Proficiency in graphic design tools (Photoshop/Canva).
Strong understanding of the Indian hyperlocal market and multi-layered business ecosystems.
Screening Questions (Must Answer to Apply):
Please share a link to a promotional service video you have created that includes a professional voiceover and energetic visual style.
How would you design a 45-second video to explain our ""0% Commission Model"" to a potential partner while maintaining brand trust?
What is your experience in designing App Store/Play Store assets that drive downloads for service platforms?
How to Apply:
Please submit your portfolio along with your answers to the screening questions. Serious applicants only. We are looking for a long-term dedicated partner to join our growth journey.
Kishan Salam
Founder & Director
Daksh Sathi Technologies Pvt. Ltd."
task,freelancer,40480683,Brand Logo Design,,"Automotive, Industrial & Agriculture",Photoshop; Illustrator,₹600–₹1500 INR,,Remote,2026-05-31,https://www.freelancer.com/projects/graphic-design/Brand-Logo-Design-40480683,"**Logo & Brand Identity Design for Stelvane**

**About us**
Stelvane is a new brand being built for the long term. We currently manufacture industrial doors, bunk beds, and airflow structures, and we're expanding into a broader range of products. We're building Stelvane as a brand, with the ambition and identity to grow across categories and stand on its own name over time.

**Project**
Design a primary logo and core brand identity for Stelvane. The name is coined and ownable, with subtle roots in *steel* — but the identity should not be tied to any single product or industry. It should feel like a serious, confident brand from day one.

**What the brand should feel like**
- Strong, premium, and credible — built to last, not trendy
- Confident and ownable — the kind of mark you'd see on a product, a building, a delivery truck, and a website and it all feels coherent
- Category-flexible — should not lock us into doors, beds, or metal alone. Think how brands like Bosch, Honeywell, 3M, Tata, or Siemens read as *brands*, not as a description of what they make
- Modern but not trendy; clean, geometric, and timeless preferred over decorative or illustrative
- Works in a single color and at any size, from a product stamp to a building signboard

**Direction to avoid**
- Literal product icons (doors, beds, gears, hammers, airflow lines)
- Overly ""industrial"" clichés (rivets, sparks, grunge textures)
- Decorative or lifestyle aesthetics that would limit us if we expand into harder/more technical categories

**Deliverables**
1. Primary logo — wordmark, or wordmark + mark/monogram (designer's choice, both directions welcome)
2. Secondary/compact mark — symbol or monogram for favicons, social profile images, product tags, and signage where the full wordmark won't fit
3. Black, white, and full-color versions
4. Horizontal and stacked layouts where applicable
5. Color palette — primary and secondary, with hex/CMYK/Pantone values
6. Typography system — primary and secondary fonts with usage notes
7. Mini brand guideline (one-page PDF): logo usage, clear space, minimum sizes, color, typography, do's and don'ts
8. Source files in AI/editable vector, plus exports in SVG, PDF, PNG, and JPG (print and web resolutions)
9. Full copyright and ownership transferred to us on final payment

**Process expectations**
- 2-3 initial concept directions to choose from
- 2 rounds of revisions on the selected direction
- Designer to share rationale alongside concepts, not just visuals"
task,freelancer,40478711,Brand Logo Design,,"Automotive, Industrial & Agriculture",Photoshop; Illustrator,₹600–₹1500 INR,,Remote,2026-05-30,https://www.freelancer.com/projects/branding/Brand-Logo-Design-40478711,"**Logo & Brand Identity Design for Stelvane**

**About us**
Stelvane is a new brand being built for the long term. We currently manufacture industrial doors, bunk beds, and airflow structures, and we're expanding into a broader range of products. We're building Stelvane as a brand, with the ambition and identity to grow across categories and stand on its own name over time.

**Project**
Design a primary logo and core brand identity for Stelvane. The name is coined and ownable, with subtle roots in *steel* — but the identity should not be tied to any single product or industry. It should feel like a serious, confident brand from day one.

**What the brand should feel like**
- Strong, premium, and credible — built to last, not trendy
- Confident and ownable — the kind of mark you'd see on a product, a building, a delivery truck, and a website and it all feels coherent
- Category-flexible — should not lock us into doors, beds, or metal alone. Think how brands like Bosch, Honeywell, 3M, Tata, or Siemens read as *brands*, not as a description of what they make
- Modern but not trendy; clean, geometric, and timeless preferred over decorative or illustrative
- Works in a single color and at any size, from a product stamp to a building signboard

**Direction to avoid**
- Literal product icons (doors, beds, gears, hammers, airflow lines)
- Overly ""industrial"" clichés (rivets, sparks, grunge textures)
- Decorative or lifestyle aesthetics that would limit us if we expand into harder/more technical categories

**Deliverables**
1. Primary logo — wordmark, or wordmark + mark/monogram (designer's choice, both directions welcome)
2. Secondary/compact mark — symbol or monogram for favicons, social profile images, product tags, and signage where the full wordmark won't fit
3. Black, white, and full-color versions
4. Horizontal and stacked layouts where applicable
5. Color palette — primary and secondary, with hex/CMYK/Pantone values
6. Typography system — primary and secondary fonts with usage notes
7. Mini brand guideline (one-page PDF): logo usage, clear space, minimum sizes, color, typography, do's and don'ts
8. Source files in AI/editable vector, plus exports in SVG, PDF, PNG, and JPG (print and web resolutions)
9. Full copyright and ownership transferred to us on final payment

**Process expectations**
- 2-3 initial concept directions to choose from
- 2 rounds of revisions on the selected direction
- Designer to share rationale alongside concepts, not just visuals"
task,freelancer,40488521,SCUBE Solar Lighting Brochure Design -- 2,,"Automotive, Industrial & Agriculture",Photoshop; Illustrator; InDesign,₹1500–₹12500 INR,,Remote,2026-06-03,https://www.freelancer.com/projects/product-design/SCUBE-Solar-Lighting-Brochure-Design-40488521,"Project Title:
Design Professional Product Brochure for Solar Lighting Brand (SCUBE)

Project Description:
We are a fast-growing solar lighting brand based in India, focused on high-quality outdoor solar products such as solar street lights, wall lights, and garden lights.

We are looking for an experienced graphic designer to create a **premium, modern, and professional product brochure** for our brand ""SCUBE"".

This brochure will be used for:

* Dealer distribution
* B2B marketing
* Government / institutional proposals
* Online sharing (PDF format)

---

Scope of Work:
Design a clean and visually appealing brochure (8–12 pages) that includes:

1. Cover Page

   Brand logo (SCUBE)
   Tagline: ""Powering the Future with Solar""
   Premium and modern design look

2. About Us Page

   Brand story
   Vision and mission (content will be provided)

3. Product Categories

   Solar Street Lights
   Solar Wall Lights
   Solar Flood Lights
   Solar Garden / Decorative Lights

4. Product Pages (Core Focus)

   High-quality product images (we will provide)
   Specifications in clean table format
   Key features (icons preferred)
   Applications (e.g., villa, street, compound wall)

5. Why Choose SCUBE

   Quality (LiFePO4 battery, IP65, high lumen output)
   Warranty
   Value for money

6. Contact Page

   * Website, phone, email, QR code

---

Design Expectations:

Premium, export-quality look (NOT cheap catalogue style)
Clean typography and strong
Use of icons, infographics, and structured layouts

Suitable for both print and digital PDF

Consistent brand colors (we will share logo & references)

Deliverables:

Editable source file (AI / PSD / InDesign)

Print-ready PDF (high resolution)

Web-optimized PDF

Important Requirements:

Experience in product brochure or catalogue design (please share samples)

Experience in electrical / lighting / solar industry is a PLUS

Must understand how to present technical specs clearly

Reference Style:
We are targeting a design quality similar to top brands like Havells / Syska / Philips (clean, premium, structured).


Please refer to website https://www.scubesolarlights.com and https://www.scubepro.com for the reference contents, images and specification"
task,freelancer,40483889,AI Car Listing Automation,,"Automotive, Industrial & Agriculture",Photoshop; Illustrator,£250–£750 GBP,,Remote,2026-06-01,https://www.freelancer.com/projects/ai-content-creation/Car-Listing-Automation,"I run a Japan-to-UK vehicle import business and need a single programme that turns raw auction data and photos into polished, English-language listings that appear both on my own site and on major car-trading portals.  

Here is the workflow I have in mind:  
1. I drop the Japanese spec sheet and original images into the system.  
2. The programme instantly translates every specification line and feature into clear English, then drafts engaging advert copy that highlights selling points and compliance details.  
3. Photographs are batch-processed—cropped, colour-corrected, background cleaned, branded watermark added—so the cars look showroom-ready.  
4. With one click the finished listing is pushed via API or secure form fill to my website and to the leading car-trading platforms I use.  

Essential requirements  
• AI-powered translation limited to English only (accuracy is critical—no awkward phrasing).  
• Marketing text generation that sounds natural to UK buyers.  
• Adjustable photo enhancement pipeline (brightness, contrast, noise removal, logo overlay).  
• Automated posting module that handles login/auth and returns success/fail logs.  
• Simple dashboard where I can review, edit, approve and resend listings.  

Acceptance criteria  
• A working prototype listing at least one vehicle end-to-end on my site and on a live trading portal.  
• Source code and documentation so I can host it on my own server.  
• Clear hand-off session showing me how to add new platforms or tweak the AI prompts.  

Feel free to suggest the best stack—Python, Node, or another—so long as it is maintainable and leverages modern AI services (OpenAI, Google Cloud Vision, etc.) without excessive ongoing fees. I am happy to answer technical questions quickly so we can get moving."
task,freelancer,40492673,Photoshop Expert - For new corporate website - MUST READ BEFORE BID,,"Automotive, Industrial & Agriculture",Photoshop,$250–$750 AUD,,Remote,2026-06-05,https://www.freelancer.com/projects/adobe-photoshop/Photoshop-Expert-For-new-corporate,"We are looking for a highly skilled photo retoucher and image editor to professionally enhance a complete set of images for our corporate website.

Project Scope

All website images must be professionally edited, optimized, and prepared for a premium corporate online presence. The goal is to create a clean, high-quality, and visually impressive look that reflects the professionalism of our brand.

Required Editing Work
Professional-grade photo retouching
Correct lighting imbalances and exposure issues
Enhance color, contrast, and sharpness
Remove distractions, unwanted objects, and background clutter
Improve composition where required
Ensure images maintain a natural and realistic appearance
Create a consistent visual style across all website images
Resize and optimize images for web performance without compromising quality
Prepare images for desktop, tablet, and mobile responsiveness
Enhance key images to create a strong visual impact on the website
Desired Outcome

The final images should:

Look premium, modern, and professional
Be suitable for a high-end corporate website
Showcase our facilities, operations, equipment, and people in the best possible light
Stand out visually while maintaining authenticity
Be optimized for fast website loading and excellent user experience
Ideal Freelancer
Proven experience in high-end corporate photo retouching
Strong portfolio demonstrating before-and-after image enhancements
Experience preparing images for modern websites
Excellent attention to detail
Ability to deliver consistent, high-quality results within tight deadlines


We will allocate Job to the person who will give us the demo by working on any picture from our website www.atlasfuel.com.au and show the capability."
task,freelancer,40479889,Urban Artistic Personal Photoshoot,,"Automotive, Industrial & Agriculture",Photoshop; Lightroom,£250–£750 GBP,,Remote,2026-05-30,https://www.freelancer.com/projects/photography/Urban-Artistic-Personal-Photoshoot,"I want a series of creative, highly-styled images for my own personal collection, shot against an urban backdrop. Think striking lines, textures, graffiti walls, neon signs, reflections in glass—anything that turns the city into an artistic canvas.

Here’s what I have in mind  
• Purpose: strictly personal use, no commercial licensing needed.  
• Style: experimental and artistic rather than standard portraits; I’m happy to play with angles, motion blur, long exposure or bold colour grading.  
• Theme: unmistakably urban—streets, alleys, rooftops, subway stations, industrial zones, night lights, whatever environment best sparks inspiration.

What I need from you  
• Pre-shoot call (video or voice) to bounce around concepts, pick specific locations and agree on wardrobe/props.  
• On-location session of roughly 2–3 hours within the city (flexible on date and time of day to catch the right light).  
• A minimum of 15 finished, high-resolution JPEGs (300 dpi, 3000 px on the long edge or larger) delivered via a shared drive or download link.  
• Basic retouching plus creative colour work in Lightroom/Photoshop—skin tones natural, overall mood cinematic.  
• RAW files optional but appreciated.

Acceptance criteria  
1. Images are sharp, correctly exposed and free of dust spots.  
2. Colour grade matches the agreed urban mood board.  
3. Final files delivered within seven days of the shoot.  

If you thrive on street photography, love experimenting with light, and can guide someone who isn’t a professional model into relaxed, authentic poses, I’d love to hear how you’d approach this shoot. Include a link to similar work or an Instagram feed that shows your urban style."
task,freelancer,40490213,3D Animator for Solar Structure Installation,,"Automotive, Industrial & Agriculture",After Effects,₹10000–₹15000 INR,,Remote,2026-06-04,https://www.freelancer.com/projects/rendering/Animator-for-Solar-Structure,"Job Title: 3D Animator for PV solar Mounting structure Installation Process Animation

About the Project:
We are seeking an experienced 3D Animator to develop a professional animation that illustrates the step-by-step installation process of our Solar Mounting Structures. The objective is to simplify technical instructions into a visually clear and engaging format for technicians, clients, and end-users.

Key Responsibilities:
Create a detailed and high-quality 3D animation demonstrating the installation process.
Incorporate annotations, highlights, and callouts to emphasize critical steps.
Ensure smooth transitions and realistic motion of components.
Integrate background narration/voice-over (if feasible) to enhance clarity.
Deliver both final rendered output and editable source files.

Required Skills & Qualifications:
Strong artistic and technical skills in 3D animation.
Proficiency in industry-standard tools such as Autodesk Maya, Blender, or 3ds Max.
Thorough understanding of animation principles, modeling, and rendering.
Prior experience in creating installation, product, or engineering animations is highly desirable.
Ability to adhere to deadlines and maintain professional communication.
Deliverables:

Final animation video (MP4/AVI format).
Project source files for internal use.
Engagement Type: Freelance / Contract (with potential for future collaborations).
Budget: Competitive – based on expertise and portfolio.

Application Process:
Interested freelancers are requested to submit:
Portfolio showcasing relevant animation work (preferably product/installation-related).
Proposed timeline for completion.
Commercial quotation or hourly rate.

Thank you"
