lot_number,title,grader,grade,certification_number,consignor_code,reserve,condition_note,photo
LOT-001,1998 Northwind Hockey Dale Corriveau RC,GRADEX,9.5,GX-3391045,CN-11,850,"Sharp corners, clean surface.",IMG_2231.JPG
LOT-002,1987 Nova Comics Ironclad No.1,APEX,9.0,AX-2210773,CN-04,1200,"Bright cover, tight spine.",IMG_0098.JPG
LOT-003,2001 Gridiron Kings Marcus Vane,GRADEX,9.0,GX-3390512,CN-22,600,"Faint print line at the left border visible under raking light, otherwise strong corners and a clean centred image; a small area of surface gloss break near the lower right that does not carry through to the card stock; consignor notes the holder was resealed once by the grader after an inner-well adjustment.",DSC00312.JPG
LOT-004,1996 Diamond League Sal Ferretti,GRADEX,8.5,GX-3388001,CN-07,300,"Light corner wear, well centred.",IMG_4471.JPG
LOT-005,1999 Court Legends Andre Bishop RC,APEX,9.5,AX-4471902,CN-14,2400,"Gem corners, flawless surface.",IMG_1180.JPG
LOT-006,1983 Star Cluster Warp Rider No.4,GRADEX,9.0,GX-3387744,CN-19,900,"Clean cover, minor spine stress.",IMG_5540.JPG
LOT-007,2004 Pitch Perfect Hideo Tanaka,APEX,9.0,AX-2219980,CN-02,450,"A shallow diagonal surface scratch crosses the upper third and catches the light at an angle but does not break the print layer; corners are sharp with only microscopic touch at the top left; centring is slightly left to right by roughly sixty forty and the back shows a faint roller mark from manufacture that the grader has noted on the label.",DSC00355.JPG
LOT-008,1992 Hardwood Heroes Terrence Loomis,GRADEX,9.5,GX-3391900,CN-14,1100,"Gem corners, clean surface.",IMG_2290.JPG
LOT-009,1990 Cosmic Vanguard Solaris No.1,APEX,9.0,AX-2211540,CN-08,700,"Tight spine, bright colours.",IMG_6001.JPG
LOT-010,2000 Slapshot Series Petr Novak,GRADEX,9.0,GX-3390088,CN-11,500,"Sharp corners, clean edges.",IMG_2318.JPG
LOT-011,1985 Titan Comics Nightglass No.7,APEX,8.5,AX-2205511,CN-19,650,"Cover shows two light bends at the lower right corner that do not break colour, with faint foxing along the top edge that is stable and confined to the margin; the spine is square with no roll and the staples are original and rust free; consignor states the book was pressed before submission which the grader could not confirm or deny.",IMG_0742.JPG
LOT-012,2003 Home Run Heroes Curtis Iwan,GRADEX,9.0,GX-3389610,CN-03,400,"Well centred, clean surface.",DSC00390.JPG
LOT-013,1990 Cosmic Vanguard Solaris No.1 variant,GRADEX,9.0,GX-3388420,CN-05,750,"Bright cover, tight spine.",IMG_6033.JPG
LOT-014,1999 Court Legends Andre Bishop RC,APEX,9.5,AX-4471902,RP-03,2400,"Gem corners, flawless surface.",IMG_8802.JPG
