id,domain,deliverable_type,workflow_tag,operation,operation_family,output_modality,horizon_tier,est_calls,planning_complexity,brand_strictness,tool_diversity,visual_density,creative_freedom,feasibility,execution_mode,tool_coverage_count,brand_persona,mixed_modality,capability_footprint
AO-00,automotive,product-shot,Edit,O2,Photo & Image,image,H4,17,5,4,5,2,2,partial,[C],17,generic,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-01,beauty-cosmetics,product-shot,Create+Edit,O2,Photo & Image,image,H4,18,5,4,5,3,2,partial,[C]+[T],18,DERMAVERA,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process; Honesty
AO-02,ecommerce-retail,product-shot,Edit+Create,O2,Photo & Image,image,H4,21,5,4,5,2,2,full,[C],17,generic,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-03,ecommerce-retail,product-shot,Edit,O2,Photo & Image,image,H4,17,4,4,5,2,2,full,[C],15,Aurelia Botanicals,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process
AO-04,jewelry,product-shot,Edit,O2,Photo & Image,image,H4,16,4,2,5,2,1,full,[C],16,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Honesty
AO-05,ecommerce-retail,social-ad,Edit,O2,Photo & Image,image,H4,23,4,3,4,2,2,partial,[C]+[A]+[L],13,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Brand Alignment
AO-06,ecommerce-retail,product-shot,Edit,O2,Photo & Image,image,H4,16,4,2,5,2,2,full,[C],16,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process
AO-07,jewelry,product-shot,Edit,O4,Photo & Image,image,H4,24,5,2,4,2,2,full,[C],15,generic,False,Instruction Following; Asset Utilization; Technical Quality; Process; Creative Quality; Honesty
AO-08,jewelry,product-shot,Edit,O4,Photo & Image,image,H4,21,5,3,5,2,2,full,[C],18,Gather & Co.,False,Instruction Following; Asset Utilization; Technical Quality; Brand Alignment; Process
AO-10,jewelry,product-shot,Edit,O4,Photo & Image,image,H4,17,5,3,5,4,2,partial,[C]+[T],17,Argent & Faith,False,Instruction Following; Asset Utilization; Technical Quality; Brand Alignment; Process; Creative Quality; Honesty
AO-11,jewelry,product-shot,Edit,O4,Photo & Image,image,H4,22,5,2,5,3,2,partial,[C]+[T],20,Shady (custom pendant maker),False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process; Honesty
AO-12,food-bev,product-shot,Edit,O1,Photo & Image,image,H4,21,4,2,5,2,2,partial,[C]+[L],16,generic,False,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process
AO-13,food-bev,photo-asset-pack,Edit,O1,Photo & Image,image,H4,20,4,3,5,2,3,full,[C]+[A],17,El Vecino Cocina,False,Instruction Following; Asset Utilization; Technical Quality; Brand Alignment; Creative Quality; Process; Honesty
AO-14,food-bev,menu,Edit,O1,Photo & Image,document,H4,25,5,3,5,4,2,template,[C]+[T],16,Brickyard,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Creative Quality; Process; Honesty
AO-15,food-bev,food-photo-prep,Edit,O1,Photo & Image,image,H4,21,5,4,5,2,2,full,[C],20,Umaya,False,Instruction Following; Asset Utilization; Brand Alignment; Technical Quality; Process; Honesty
AO-16,food-bev,menu,Create+Edit,O1,Photo & Image,image,H4,21,5,2,4,2,2,partial,[C]+[A],15,generic,True,Instruction Following; Asset Utilization; Technical Quality; Creative Quality; Process
