Store Name,Town,Featured Flavour,Shelf Price,Picture
Hollow Root Market,Rhinebeck,Elderflower & Lime,$3.50,fennhollow_elderflower_cutout.png
Hollow Root Market,New Paltz,Rhubarb & Bitters,3.5,fennhollow_rhubarb_cutout.png
Fielding & Co Grocers,Kingston,Spruce Tip,3.50,
The Ramble Natural Foods,Beacon,Elderflower & Lime,$2.99,fennhollow_elderflower_cutout.png
Stone Ridge Provisions,Cold Spring,Rhubarb & Bitters,3.50,fennhollow_rhubarb_cutout.png
Larchwood Co-op,Hudson,Spruce Tip,3,
Overlook Pantry,Woodstock,Elderflower & Lime,3.50,fennhollow_elderflower_cutout.png
Saugerties Green Grocer,Saugerties,Rhubarb & Bitters,$3.50,fennhollow_rhubarb_cutout.png
Mill & Meadow Foods,Catskill,Elderflower & Lime,3.5,fennhollow_elderflower_cutout.png
Red Hook Harvest,Red Hook,Spruce Tip,$2.99,
Millerton Natural,Millerton,Rhubarb & Bitters,3.50,fennhollow_rhubarb_cutout.png
Rosendale Provisions,Rosendale,Elderflower & Lime,3.50 ,fennhollow_elderflower_cutout.png
Phoenicia Pantry,Phoenicia,Spruce Tip,3.50,
Tivoli Table,Tivoli,Elderflower & Lime,3,fennhollow_elderflower_cutout.png
Germantown Grocer,Germantown,Rhubarb and Bitters,3.50,fennhollow_rhubarb_cutout.png
Accord Farm Store,Accord,Elderflower & Lime,$3.50,fennhollow_elderflower_cutout.png
