Look Number,Look Name,Fabric Composition,Colourway,Wholesale,Retail,Image
1,Harbour Coat,"100% undyed Gotland wool, milled in West Yorkshire",Undyed,1150,2400,nordheim_shoot_01.jpg
2,Ash Shearling,"100% Merino shearling, vegetable-tanned in Tuscany",Slate,1100,2200,nordheim_shoot_02.jpg
3,Straight Trouser Suit,"100% wool gabardine",Char,700,1450,nordheim_shoot_03.jpg
4,Chart Room Coat,"60% undyed Gotland wool, 30% reclaimed Donegal lambswool, 10% kid mohair; interlining 100% organic cotton canvas; body lining 100% cupro; sleeve lining 100% viscose twill; horn buttons; woven and fulled at a single mill in West Yorkshire, cut on the straight grain and finished by hand in Copenhagen over two fittings",Ink,1200,2400,nordheim_shoot_04.jpg
5,Ribbed Knit Dress,"100% undyed merino lambswool",Bone,480,980,nordheim_shoot_05.jpg
6,Wool Cape,"100% Melton wool",Ink,620,1250,nordheim_shoot_06.jpg
7,Gabardine Trench,"100% cotton gabardine",Stone,560,1150,nordheim_shoot_07.jpg
8,Long Shearling Coat,"100% Merino shearling, vegetable-tanned in Tuscany",Grey,1350,2400,nordheim_shoot_08.jpg
9,Tailored Trouser & Knit,"70% wool, 30% merino lambswool",Char,520,1050,nordheim_shoot_10.jpg
10,Wrap Dress,"100% wool crepe",Ink,440,900,nordheim_shoot_11.jpg
11,City Overcoat,"100% wool melton",Charcoal,980,1950,nordheim_shoot_13.jpg
12,Shearling Parka,"100% Merino shearling",Fog,1050,2100,nordheim_shoot_14.jpg
