i,verified_grade,title,vertical,platform,url,groups,est_calls,orig_v2_grade,audit
1,express,14-Page Franchise Prospectus Design,"Automotive, Industrial & Agriculture",Freelancer.com,https://www.freelancer.com/projects/content-writing/Page-Franchise-Prospectus-Design,layout|express|datamerge|stock,14,express,confirm
19,express,Automotive Wiring Diagram Creation,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Automotive%20Wiring%20Diagram%20Creation,,0,no,over_claim
32,express,Brochure,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Brochure,layout|express|stock,8,express,confirm
33,express,Brochure Design for VIP Chauffeur Service,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Brochure%20Design%20for%20VIP%20Chauffeur%20Service,express|layout|photo|stock,9,express,confirm
39,express,Catalog Creation for Fire and Rescue Equipment,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Catalog%20Creation%20for%20Fire%20and%20Rescue%20Equipment,layout|express|datamerge,13,express,confirm
40,express,Catalog Preparation for Business,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Catalog%20Preparation%20for%20Business,layout|express|datamerge,8,express,confirm
52,express,Custom 10x10 & 10x15 Canopy Design,"Automotive, Industrial & Agriculture",Freelancer.com,https://www.freelancer.com/projects/vector-design/Custom-Canopy-Design,layout|photo|express,6,express,confirm
63,express,Format 20-Page Illustrated Kindle,"Automotive, Industrial & Agriculture",Freelancer.com,https://www.freelancer.com/projects/adobe-creative-cloud/Format-Page-Illustrated-Kindle,layout|datamerge|photo,12,express,confirm
65,express,Freelance InDesign Designer for Automotive Catalogs,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Freelance%20InDesign%20Designer%20for%20Automotive%20Catalogs,layout|datamerge|photo,10,express,confirm
72,express,Graphic Designer Needed – UK Competition / Raffle Company,"Automotive, Industrial & Agriculture",PeoplePerHour,https://www.peopleperhour.com/freelance-jobs/graphic-designer-needed-uk-competition-raffle-company-4493930,express|photo|stock,8,express,confirm
73,express,Graphic Designer for Minimalist Trifold Brochure (Print-Ready),"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20for%20Minimalist%20Trifold%20Brochure%20(Print-Re,layout|express|photo,7,express,confirm
75,express,Graphic Designer for Template Application,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20for%20Template%20Application,express|layout|photo,4,express,confirm
84,express,InDesign Editor – Automotive Product Catalog,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=InDesign%20Editor%20–%20Automotive%20Product%20Catalog,layout|datamerge,8,express,confirm
115,express,Modernized InDesign Catalogue Creation,"Automotive, Industrial & Agriculture",Freelancer.com,https://www.freelancer.com/projects/print-design/Modernized-InDesign-Catalogue-Creation,layout|datamerge|photo,12,express,confirm
117,express,Need data reviewed and graph created,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Need%20data%20reviewed%20and%20graph%20created,layout|express,3,express,confirm
118,express,Oil & Gas Brochure Design,"Automotive, Industrial & Agriculture",Freelancer.com,https://www.freelancer.com/projects/print-design/Oil-Gas-Brochure-Design,layout|express|photo,10,express,confirm
129,express,PowerPoint Presentation Redesign & Visual Learning Experience,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=PowerPoint%20Presentation%20Redesign%20&%20Visual%20Learning%20Experie,express|layout|photo,12,express,confirm
138,express,Professional Infographic Design for Website,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Professional%20Infographic%20Design%20for%20Website,express|photo|layout,9,express,confirm
143,express,Redesign of Product Brochures,"Automotive, Industrial & Agriculture",PeoplePerHour,https://www.peopleperhour.com/freelance-jobs/redesign-of-product-brochures-4493970,layout|datamerge|photo,12,express,confirm
146,express,SCUBE Solar Lighting Brochure Design -- 2,"Automotive, Industrial & Agriculture",Freelancer.com,https://www.freelancer.com/projects/product-design/SCUBE-Solar-Lighting-Brochure-Design-40488521,layout|express|photo|stock,11,express,confirm
147,express,Seat packaging design,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Seat%20packaging%20design,layout|express,5,express,confirm
153,express,Social Media Designer for Lubricant Brand,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Social%20Media%20Designer%20for%20Lubricant%20Brand,express|photo|stock,9,express,confirm
159,express,Thumbnail Designer for Youtube,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Thumbnail%20Designer%20for%20Youtube,express|photo|stock,7,express,confirm
162,express,Tri Fold Brochure for Job shop Machine Shop,"Automotive, Industrial & Agriculture",Upwork,https://www.upwork.com/nx/search/jobs/?q=Tri%20Fold%20Brochure%20for%20Job%20shop%20Machine%20Shop,layout|express|photo,7,express,confirm
185,express,(EASY JOB) Packaging design,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=(EASY%20JOB)%20Packaging%20design,layout|express|photo,6,express,confirm
192,express,Amazon Product Image Designer Needed (Lip Balm Line – 3 Variants),"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Amazon%20Product%20Image%20Designer%20Needed%20(Lip%20Balm%20Line%20–%,express|photo|layout,9,express,confirm
202,express,Brochure/Flyer Insert for Premium/Luxury Supplement brand,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Brochure/Flyer%20Insert%20for%20Premium/Luxury%20Supplement%20brand,express|layout,6,express,confirm
210,express,Cosmetic Packaging Label Design,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Cosmetic%20Packaging%20Label%20Design,express,4,express,confirm
212,express,Cosmetics Label Sticker Design,"Beauty, Cosmetics & Personal Care",Freelancer.com,https://www.freelancer.com/projects/label-design/Cosmetics-Label-Sticker-Design,express|layout,6,express,confirm
217,express,EatBeauty Brand Strategy & Marketing,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=EatBeauty%20Brand%20Strategy%20&%20Marketing,express|layout,8,express,confirm
220,express,Graphic Designer (Packaging & Wellness Products),"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20(Packaging%20&%20Wellness%20Products),express|photo|layout,8,express,confirm
221,express,Graphic Designer Needed for Marketing Materials and Social Media,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20Needed%20for%20Marketing%20Materials%20and%20Soci,express|photo,7,express,confirm
223,express,Graphic Designer for Luxury Cosmetics,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Graphic%20Designer%20for%20Luxury%20Cosmetics,express|photo|stock|board,12,express,confirm
228,express,Haircare Line Packaging Design,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Haircare%20Line%20Packaging%20Design,express|layout,7,express,confirm
231,express,Label & Packaging Designer Needed for Premium Modern Skincare Brand,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Label%20&%20Packaging%20Designer%20Needed%20for%20Premium%20Modern%20S,express|layout,7,express,confirm
232,express,Label & Packaging Designer Needed for Premium Omega 3 Supplement,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Label%20&%20Packaging%20Designer%20Needed%20for%20Premium%20Omega%203%,express|layout,6,express,confirm
233,express,Label Redesign for Cosmetic Item,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Label%20Redesign%20for%20Cosmetic%20Item,express|layout,5,express,confirm
239,express,Luxurious FMCG Packaging Design,"Beauty, Cosmetics & Personal Care",Freelancer.com,https://www.freelancer.com/projects/packaging-design/Luxurious-FMCG-Packaging-Design,express|layout|photo,9,express,confirm
243,express,Luxury Brochure Design for Medical Spa,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Luxury%20Brochure%20Design%20for%20Medical%20Spa,express|layout,10,express,confirm
255,express,Minimalist Storefront Window Design (Frosted Glass) for a Hair Salon,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Minimalist%20Storefront%20Window%20Design%20(Frosted%20Glass)%20for%20,express,5,express,confirm
256,express,Modern Food & Cosmetic Brochure,"Beauty, Cosmetics & Personal Care",Freelancer.com,https://www.freelancer.com/projects/packaging-design/Modern-Food-Cosmetic-Brochure,express|layout,8,express,confirm
263,express,Package Design for Baby Products,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Package%20Design%20for%20Baby%20Products,express|layout,7,express,confirm
264,express,Package Design for Children's Shampoo/Soap Product,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Package%20Design%20for%20Children's%20Shampoo/Soap%20Product,express|layout,6,express,confirm
265,express,Packaging & Product Designer for Acne Patch Brand (Gen Z + Clinical Positioning),"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Packaging%20&%20Product%20Designer%20for%20Acne%20Patch%20Brand%20(Gen,express|layout,7,express,confirm
267,express,Packaging Designer Needed - Supplement Box + Bottle Label,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Packaging%20Designer%20Needed%20-%20Supplement%20Box%20+%20Bottle%20La,express|layout,7,express,confirm
269,express,Packaging Designer Needed for Supplement Brand,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Packaging%20Designer%20Needed%20for%20Supplement%20Brand,express|layout|photo,8,express,confirm
270,express,Packaging Designer Needed — Premium K-Beauty Serum Kit,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Packaging%20Designer%20Needed%20—%20Premium%20K-Beauty%20Serum%20Kit,express|layout,9,express,confirm
271,express,Packaging Designer for Beauty Products,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Packaging%20Designer%20for%20Beauty%20Products,express|layout,6,express,confirm
275,express,Premium Cosmetic Packaging & Label Designer Needed,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Premium%20Cosmetic%20Packaging%20&%20Label%20Designer%20Needed,express|layout,6,express,confirm
279,express,Presentation,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Presentation,express|layout|photo,11,express,confirm
280,express,Price List Design for Nail Salon,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Price%20List%20Design%20for%20Nail%20Salon,express|layout,5,express,confirm
291,express,Supplement Label / Packaging Designer Needed for Premium DTC Brand,"Beauty, Cosmetics & Personal Care",Upwork,https://www.upwork.com/nx/search/jobs/?q=Supplement%20Label%20/%20Packaging%20Designer%20Needed%20for%20Premium,express|layout,7,express,confirm
