Wine,Grower,Region,Vintage,Style,Buyer Note,Score,Score Source,Bottle Price,Case Price,Status,Image
Clos des Galets Muscadet Sevre et Maine sur Lie,Clos des Galets,"Loire, France",'2023,"Melon de Bourgogne, sur lie","Loire white, sur lie, bone dry and saline with a lees-y roundness. The house everyday white and a natural with oysters or a Friday takeaway.",,,14.00,150.00,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_01.jpg
Domaine Vionne Alsace Riesling,Domaine Vionne,"Alsace, France",'2022,"Riesling, dry","Dry Alsace riesling, taut and citrus-driven with a stony finish. Not sweet. Good with charcuterie, roast pork or a ripe washed-rind cheese.",17.5,Vinograph Weekly,22.00,,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_02.jpg
Les Perrieres Sancerre,Les Perrieres,"Loire, France",'2023,Sauvignon Blanc,"Classic Loire sauvignon: cut grass, gooseberry and wet flint, high and bright acidity. The safe, smart glass of white for almost any table.",,,28.00,,Available,
Bricault Chablis,Maison Bricault,"Burgundy, France",'2022,"Chardonnay, unoaked","Unoaked chardonnay from Kimmeridgian marl, lean and oyster-shell mineral. Chill it well and drink it with anything from the sea.",90,Vinifera Review,34.00,,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_03.jpg
Domaine Rosaline Provence Rose,Domaine Rosaline,"Provence, France",'2023,"Grenache, Cinsault rose","Pale dry Provence rose, red berry and citrus pith over a saline finish. Aperitif rose for the last of the warm evenings.",,,19.00,205.00,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_04.jpg
Clos Vaucelle Blanc de Blancs,Clos Vaucelle,"Champagne, France",NV,"Chardonnay, traditional method","Grower champagne, tiny allocation, spoken for by the restaurant list.",,,48.00,,Allocation only,
Poderi Solano Vermentino,Poderi Solano,"Sardinia, Italy",'2023,Vermentino,"Coastal Italian white, green almond, lemon and a faintly bitter herbal edge that loves salt and olive oil. Easy, savoury, under the radar.",,,16.00,170.00,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_05.jpg
Weingut Halden Mosel Riesling Kabinett,Weingut Halden,"Mosel, Germany",'2022,Riesling Kabinett,"Featherweight Mosel kabinett with a touch of sweetness held up by racing acidity. Low in alcohol, high in charm, brilliant with spice.",,,24.00,,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_06.jpg
Hofgut Steinweg Gruner Veltliner,Hofgut Steinweg,"Kamptal, Austria",'2023,Gruner Veltliner,"Austrian gruner, white pepper and green apple with a crisp savoury bite. The wine for tricky vegetables and anything from the garden.",,,18.00,,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_07.jpg
Cave de Trevigne Coteaux Rouge,Cave de Trevigne,"Languedoc, France",'2022,"Carignan, Grenache, unoaked","The co-op red, and the wine I put in more hands than any other on the shelf. Carignan and grenache off old bush vines, unoaked, bottled young and honest. Bramble, black pepper and a little garrigue, soft enough to drink on a Tuesday but with real grip underneath. Fourteen pounds, and it drinks well above that so long as you open it a good hour before dinner.",,,14.00,150.00,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_08.jpg
Domaine des Escaliers Cote Brune Syrah,Domaine des Escaliers,"Northern Rhone, France",'2019,"Syrah, co-fermented","A single-vineyard northern Rhone syrah off the steep brown schist above the river, co-fermented with a little viognier the way the hill has always done it. Black olive, cracked pepper, cured meat and violets, over a tannin still coiled tight. This wants five years in the cellar, or a decanter and a long lunch if you cannot wait that long.",96,Vinifera Review,220.00,,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_09.jpg
Cascina Voltone Nebbiolo,Cascina Voltone,"Piedmont, Italy",'2016,Nebbiolo,"A mature Piedmontese nebbiolo from a great vintage, ten years on and only now unwinding. Tar, dried rose, sour cherry and a dusting of woodsmoke over that famous grip of tannin and acid. Do not chill it and do not rush it: open it an hour ahead, pour it beside something with fat and salt, and let the middle of the bottle show you why we bought the allocation.",95,The Wine Ledger,220.00,,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_10.jpg
Cascina Voltone Nebbiolo Riserva,Cascina Voltone,"Piedmont, Italy",'2013,"Nebbiolo, riserva","Library release, back vintage held for the November trade tasting, not for the shelf.",,,180.00,,Allocation only,
Clos du Verger Bourgogne Rouge,Clos du Verger,"Burgundy, France",'2021,Pinot Noir,"Light-framed village Burgundy, red cherry and forest floor over silky tannin. Serve it cool. The gateway to proper Pinot.",91,Cellar Notes,58.00,,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_11.jpg
Mas de la Pierre Vacqueyras,Mas de la Pierre,"Southern Rhone, France",'2021,"Grenache, Syrah","Southern Rhone grenache and syrah, warm and generous: kirsch, thyme and cocoa with a peppery lift. A fireside red at a fair price.",,,42.00,,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_12.jpg
Domaine Ravel Morgon,Domaine Ravel,"Beaujolais, France",'2022,"Gamay, whole-bunch","The wine that changes how people think about Beaujolais. Cru gamay off granite, whole-bunch and unfiltered, so there is a savoury reduction on first pour that blows off into black cherry, iron and crushed violets. Serve it with a light chill against charcuterie or a roast chicken. If you still think gamay is thin and sweet, this is the bottle I would hand you to argue with.",,,26.00,,Available,/Users/rob/Cellar & Cru/autumn 2025/bottle_shots/bottle_shot_13.jpg
