Act Name,Stage,Day,Set Time,Biography,@Image
Cole Harrow Band,The Barn Stage,Saturday,6:00pm,"A four-piece out of Bristol trading in swampy, foot-stomping Americana. Slide guitar, a Hammond organ that has seen things, and a rhythm section that does not stop. They played the late slot last year and we asked them straight back.",lanternwood_press_photo_03.jpg
Rue & the Ravens,The Orchard Stage,Sunday,1:00pm,"Dark, gothic folk from the edge of the moor. A cello, a harmonium, close harmonies and songs about the sea taking people. Beautiful and a little haunting, and exactly right for a Sunday afternoon.",lanternwood_press_photo_12.jpg
The Hollow Pines,The Barn Stage,Saturday,9:00pm,"The Hollow Pines have spent the better part of a decade turning small rooms into something close to church. What began as two brothers harmonising over a single guitar at a kitchen table in the Mendips has grown, slowly and stubbornly, into a five-piece that can fill a field without ever raising its voice too far. Their songs are built from the ordinary business of staying somewhere: the drive home in the dark, the field you grew up beside, the people who leave and the people who do not. Three albums in, they have earned a following that treats every show like a reunion, singing the choruses back word for word before the band has finished them. We have wanted them at Lanternwood since the very first year, and we are proud beyond all measure to have them close the Saturday night. Bring a voice. You are going to be using it.",lanternwood_press_photo_04.jpg
Delia Marsh,The Barn Stage,Sunday,2:00pm,"Delia plays the harp and sings like the room has gone quiet even when it has not. Her debut record came out this spring.",lanternwood_press_photo_08.jpg
Fenwick & Doon,The Orchard Stage,Saturday,1:00pm,"A duo, a fiddle and a battered parlour guitar, and two voices that have been finishing each other's lines for twenty years. Traditional tunes, mostly, played the way they were meant to be. You will be dancing whether you meant to or not.",lanternwood_press_photo_05.jpg
The Copper Kettles,The Barn Stage,Sunday,4:00pm,"A skiffle revival band who take it all extremely seriously and not seriously at all, in equal measure. Washboard, tea-chest bass, and a kazoo when the mood takes them. Deeply silly, genuinely brilliant, and a great deal of fun.",lanternwood_press_photo_09.jpg
Odessa Frame,The Barn Stage,Saturday,4:00pm,"Odessa writes quiet songs and sings them louder than you expect. She has toured the folk clubs for six years with just a guitar and a suitcase, and this is her first festival main stage. Come early; she opens gently.",lanternwood_press_photo_02.jpg
Ambrose Fell,The Orchard Stage,Sunday,5:00pm,"Ambrose is a one-man band in the proper sense: kick drum, guitar, harmonica and a stomp box, running the whole thing himself. Ragged, joyful, and much bigger than it has any right to be. A brilliant way to close the Orchard Stage.",lanternwood_press_photo_14.jpg
Marla Vance & the Tallgrass,The Barn Stage,Sunday,8:30pm,"There are voices you hear and voices you feel in your chest, and Marla Vance has spent thirty years proving she has the second kind. She came up singing in touring roadhouse bands long before anyone was writing her name at the top of a poster, and she has never once forgotten what a live room is actually for. The Tallgrass, her band of many years, read her like weather, swelling and dropping back so that the songs breathe around her. Together they make music that manages to sound brand new and like something you have always somehow known, all dust and warmth with a low ache running underneath it. To have her closing our Sunday, out in a field, as the last of the light goes, is the exact thing this committee dreamed about when we started the festival on nothing but nerve and a borrowed marquee. Do not miss a second of it. Stay for the very last note.",lanternwood_press_photo_11.jpg
The Salt Marsh Ramblers,The Barn Stage,Saturday,2:00pm,"Five friends from the Levels who have been playing pub back rooms and barn dances since school. Fiddle, banjo, guitar, double bass and a great deal of shouting. Expect reels, murder ballads and at least one song about flooding.",lanternwood_press_photo_01.jpg
Junction Road Revival,The Orchard Stage,Saturday,5:00pm,"Six of them, three horns, and absolutely no interest in you standing still. Junction Road Revival play gospel soul and old rhythm and blues like the roof is already coming off. If your feet hurt on Sunday morning, this is why.",lanternwood_press_photo_07.jpg
The Threshing Floor,The Orchard Stage,Sunday,3:00pm,"A young band making very old music sound urgent again. Bouzouki, fiddle, bodhran and a frontman whose stories between songs are almost as good as the songs. Ones to watch, and you saw them here.",lanternwood_press_photo_13.jpg
The Bramble Sisters,The Orchard Stage,Saturday,3:00pm,"The Bramble Sisters are not sisters, and only one of them is called Bramble, but the name stuck the way the good ones do. The three of them met singing in a chapel choir and discovered, somewhere between the hymns, that their voices did something strange and lovely when they leaned into a minor chord together. For eight years now they have carried that sound around the country, unaccompanied for whole songs at a time, letting three voices do the work of a full band. Their set moves from old shape-note hymns to their own writing and back again without ever quite telling you where the seam was. It is the kind of thing that can stop a noisy field halfway through a sentence. We have put them on the Orchard Stage in the afternoon light entirely on purpose. Find a bale of hay, sit yourself down, and let them get to work on you.",lanternwood_press_photo_06.jpg
Waylon Pike Trio,The Barn Stage,Sunday,6:00pm,"Waylon Pike has been playing guitar longer than most of the committee has been alive, and it shows in every unhurried note. With brush drums and an upright bass behind him, the trio plays a warm, late-afternoon kind of blues. Perfect for the graveyard slot between lunch and the headliner.",lanternwood_press_photo_10.jpg
