Name ,Role Line, Affiliation ,Session,photo
Marguerite Halloran,Founder & CEO,Aldermoor Robotics,Opening Keynote,speaker_portrait_01.jpg
Peter Vance,General Partner,Northwater Capital,Funding Track,speaker_portrait_02.jpg
Peter Vance,General Partner,Northwater Ventures,Funding Track,speaker_portrait_02.jpg
Ines Moreau,Co-founder & CTO,Verdance Labs,Building Track,speaker_portrait_03.jpg
Anders Lindqvist,Founder,Kastellet Systems,Scaling Track,speaker_portrait_04.jpg
Colm Byrne,Operating Partner,Rockfield Growth,Funding Track,speaker_portrait_05.jpg
Dana Whitfield,Founder & CEO,Meridian Health,Building Track,speaker_portrait_06.jpg
Estelle Rioux,Managing Director,Rioux Advisory,Scaling Track,speaker_portrait_07.jpg
Grant Mackey,Founder,Loomwork,Building Track,speaker_portrait_08.jpg
Sofia Bellini,Partner,Colonnade Partners,Funding Track,speaker_portrait_09.jpg
Sofia Bellini,Partner,Colonnade Capital Partners,Funding Track,speaker_portrait_09.jpg
Nils Haugen,Co-founder & CEO,Fjordline AI,Scaling Track,speaker_portrait_10.jpg
Robin Tate,Founder,Tate & Co,Building Track,speaker_portrait_11.jpg
Bernadette Cruz,Chief Executive,Solvent Bio,Opening Keynote,speaker_portrait_12.jpg
Hugo Almeida,Founder,Cortica Studio,Building Track,speaker_portrait_13.jpg
Karin Voss,"Co-founder, Managing Partner and Head of Platform Investments, Europe",Vossberg Capital,Funding Track,speaker_portrait_14.jpg
Laurel Beckett,Programme Director,Cascadia Founders Summit,Host,staff_portrait_01.jpg
Owen Faraday,Operations Lead,Cascadia Founders Summit,Host,staff_portrait_02.jpg
Mireille Dufort,Partnerships Manager,Cascadia Founders Summit,Host,staff_portrait_03.jpg
Jonah Pryce,Production Coordinator,Cascadia Founders Summit,Host,staff_portrait_04.jpg
