Task code,Task ID,Capability,Capability name,Question ID,Source question,Source classification,Supporting acceptance checks,Human review cases,Trajectory criteria,Status,Review page,Complete mapping
SB3-001-PHO,PHOTO-01,K1,Instruction adherence,K1_Q1,"Are all required text, objects, data, scenes, etc. present?",Orange in source,39,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K1,Instruction adherence,K1_Q2,"Are dimensions, formats, quantities, durations, colors, etc. correct?",Orange in source,48,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K1,Instruction adherence,K1_Q3,"Did it obey “must,” “must not,” preservation, or production constraints?",Orange in source,102,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K1,Instruction adherence,K1_Q4,Were all requested output files/variants delivered?,Orange in source,17,0,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K1,Instruction adherence,K1_Q5,Did it violate any requirement that independently makes the commission unusable?,Orange in source,0,17,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K2,Asset utilization and fidelity,K2_Q1,Did it use the correct supplied assets?,Orange in source,0,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K2,Asset utilization and fidelity,K2_Q2,Were locked assets preserved rather than regenerated/distorted?,Orange in source,0,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K2,Asset utilization and fidelity,K2_Q3,"Are fonts, colors, logo use, imagery rules, etc. correct?",Orange in source,0,42,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K2,Asset utilization and fidelity,K2_Q4,"Are products, people, logos, or distinctive objects still recognizably the same?",Orange in source,8,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K2,Asset utilization and fidelity,K2_Q5,Were assets used in the correct role/context rather than merely included?,Expert judgement,0,14,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
SB3-001-PHO,PHOTO-01,K3,Compositional craft,K3_Q1,Operation Craft: assess the applicable family checklist below.,Expert judgement,12,84,0,not_assessed,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/#PHOTO-01,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v4/tasks/PHOTO-01/CAPABILITY_MAPPING.json
