Room Name,Sleeps,Shoulder Rate,Winter Rate,Minimum Stay,Includes
Bluff Suite,2,$620,$560,2 nights,"Breakfast for two; cove-path access; welcome carafe on arrival."
Cypress Suite,3,$585,$520,2 nights,"Breakfast for two each morning in the dining room; private cove-path access; a welcome carafe and a plate of local cheese on arrival; the corner reading chair by the window; late checkout whenever the room allows it; and firewood laid for the wood stove on the colder evenings so the suite is warm before you come up."
Cove View King,2,$520,$470,1 night,"Breakfast for two; cove view; welcome carafe."
Cove View Queen,2,$460,$410,1 night,"Breakfast for two; cove view."
Terrace Room,2,$430,$390,1 night,"Breakfast for two; shared terrace; welcome carafe."
Boathouse Loft,2,$560,$500,2 nights,"Breakfast for two; loft with a cove outlook; welcome carafe."
Headland Room,2,$410,$375,1 night,"Breakfast for two; headland view."
Garden Room,2,$385,$350,1 night,"Breakfast for two; garden aspect."
Path Room,2,$360,$340,1 night,"Breakfast for two; steps from the cove path."
The Boathouse,2,$560,$500,2 nights,"Breakfast for two; loft with a cove outlook; welcome carafe."
