Task code,Task name,Family,Asset #,Filename,Role,Type,Bytes,SHA-256,State,S3 URI,HTTPS object,S3 console,Upload status
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,1,aurelian_actives_macro_01.jpg,photoreal,jpg,1247549,4b55ff4578572b6275ee6b54a66ccbf1b276f09d1bffb0d3dde3f63f8b3b91d1,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_01.jpg,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_01.jpg,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_actives_macro_01.jpg,verified
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,2,aurelian_actives_macro_02.jpg,photoreal,jpg,1127206,a306357e2fbfee2ac4ae22bdd27e920709aa96b1bdd21fb7b82252cac26f5638,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_02.jpg,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_02.jpg,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_actives_macro_02.jpg,verified
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,3,aurelian_actives_macro_03.jpg,photoreal,jpg,1286568,9ffd70a8c6cd17d6d275632ebe2c14ce5fd19621f316a2be4c805dc6405a1a2e,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_03.jpg,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_03.jpg,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_actives_macro_03.jpg,verified
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,4,aurelian_actives_macro_04.jpg,photoreal,jpg,1231909,70d4e5844e9b9a1892f67fbf5043336c86e17629d75e91f25411903fdb66a93d,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_04.jpg,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_04.jpg,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_actives_macro_04.jpg,verified
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,5,aurelian_actives_macro_05.jpg,photoreal,jpg,1219638,baa3bcbee1e40c22b4ecd1edffe6af1fa267109a7e589b07cf715614e6c1ab97,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_05.jpg,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_05.jpg,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_actives_macro_05.jpg,verified
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,6,aurelian_actives_macro_06.jpg,photoreal,jpg,1187628,105ea69b9b18ce0e868df8bb1d176c3470d622f50be29c0247b6237e2eb7a903,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_06.jpg,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_06.jpg,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_actives_macro_06.jpg,verified
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,7,aurelian_actives_macro_07.jpg,photoreal,jpg,1394672,1709eb1efd9694a7e61e02ab0ec37a312d1356d5c1812f9d9a3d8fa8392e0695,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_07.jpg,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_07.jpg,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_actives_macro_07.jpg,verified
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,8,aurelian_actives_macro_08.jpg,photoreal,jpg,1572867,1a1b90744e792eacaffb80f1fb489a13d53fe59b1636ca47a3781d30f9165195,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_08.jpg,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_actives_macro_08.jpg,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_actives_macro_08.jpg,verified
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,9,aurelian_carton_front.jpg,logo_text,jpg,1593424,7532520825c52b9faf6c830157776fbcd1d673e80ff8270db4e8526a79ddbb06,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_carton_front.jpg,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_carton_front.jpg,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_carton_front.jpg,verified
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,10,aurelian_copy.txt,data,txt,1479,503f7874e030113a10946d01a2fb14f10234431b719e8fa47c02938a21f73e9b,retained_pending_visual_review,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_copy.txt,https://annotationprod.s3.ap-south-1.amazonaws.com/creative-ai-benchmark/v3.1/tasks/SB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system/assets/aurelian_copy.txt,https://ap-south-1.console.aws.amazon.com/s3/object/annotationprod?region=ap-south-1&prefix=creative-ai-benchmark%2Fv3.1%2Ftasks%2FSB3-001-PHO__aurelian-skin-ecommerce-skincare-image-system%2Fassets%2Faurelian_copy.txt,verified
