piece_name,metal_finish,dimensions,provenance_line,piece_number,retail_price,photo_file
Quarry Band,"Sterling silver, brushed","4.5 mm wide, size 7","Hand forged and stone-set flush, sterling silver, brushed at the bench.",AF-SP26-001,220,web2025/quarry-band_900.jpg
Vesper Medallion,"Sterling silver, oxidised","28 mm dia, 1.4 mm","Cast in sterling silver, hand chased lattice, oxidised and finished at the bench.",AF-SP26-002,420,web2025/vesper-medallion_900.jpg
Crescent Studs,"Sterling silver, high polish","9 mm crescent","Hand pierced and polished to a mirror, sterling silver, finished at the bench.",AF-SP26-003,180,web2025/crescent-studs_900.jpg
Lattice Pendant,"Sterling silver, oxidised","32 x 20 mm, 460 mm chain","Hand sawn and pierced, sterling silver, oxidised recesses left dark.",AF-SP26-004,260,web2025/lattice-pendant_900.jpg
Reliquary Locket,"Sterling silver, high polish","34 x 24 mm, 600 mm chain","Hand raised and hinged, sterling silver, engraved lid, mirror finished.",AF-SP26-005,900,web2025/reliquary-locket_900.jpg
Signet Ring,"Sterling silver, high polish","11 mm face, size 8","Hand cut and set, sterling silver, engraved and oxidised initial, mirror finished.",AF-SP26-006,560,web2025/signet-ring_900.jpg
Cloister Band,"Sterling silver, brushed","3 mm wide, size 6","Hand forged, sterling silver, brushed and hand finished at the bench.",AF-SP26-007,190,web2025/cloister-band_900.jpg
Vigil Band,"Sterling silver, oxidised","4 mm wide, size 7","Hand forged, sterling silver, single channel oxidised and left dark.",AF-SP26-008,210,web2025/vigil-band_900.jpg
Meridian Band,"Sterling silver, high polish","7 mm wide, size 9","Hand forged wide band, sterling silver, mirror polished at the bench.",AF-SP26-009,260,web2025/meridian-band_900.jpg
Ember Drop Earrings,"Sterling silver, garnet","24 mm drop","Hand set garnet drops, sterling silver, brushed and hand finished.",AF-SP26-010,340,web2025/ember-drop_900.jpg
