Player,Squad Number,Position,Club Line,Set Year,Photo
Kofi Adjei,17,RW,Accra Metro FC,2026,cup26_portrait_16.jpg
Lucas Almeida,19,ST,CD Litoral,2026,cup26_portrait_12.jpg
Rafael Duarte,14,RW,Sporting Calvario,2026,cup26_portrait_15.jpg
Bruno Ferraz,23,CB,Sporting Calvario,2026,cup26_portrait_07.jpg
Marco Ferraz,7,CM,Sporting Calvario,2026,cup26_portrait_07.jpg
Omar Haddad,18,RB,Union Atlas,2026,cup26_portrait_14.jpg
Viktor Halic,4,CB,HNK Primorje,2026,cup26_portrait_04.jpg
Nikolai Ivanic,5,CB,HNK Primorje,2026,cup26_portrait_05.jpg
Ivan Kraljic,,CB,HNK Primorje,2026,
Emil Larsson,3,LB,IF Nordvik,2026,cup26_portrait_03.jpg
Hugo Marchand,2,RB,Olympique Rivenne,2026,cup26_portrait_02.jpg
Andre Mensah,8,CM,Kingsbridge United,2026,cup26_portrait_08.jpg
Pavel Novak,6,DM,SK Dunaj,2026,cup26_portrait_06.jpg
Samuel Okoye,9,ST,Kingsbridge United,2026,cup26_portrait_09.jpg
Luka Petrov,10,AM,FC Zoria Est,2026,cup26_portrait_10.jpg
Theo Rocher,11,LW,Olympique Rivenne,2026,cup26_portrait_11.jpg
Mateo Rossi,20,CM,AC Ferrovia,2026,cup26_portrait_13.jpg
Diego Solano,1,GK,Club Atletico Verano,2026,cup26_portrait_01.jpg
Yuki Tanaka,21,AM,Sagami FC,2026,cup26_portrait_17.jpg
Tomas Vidal,,ST,CD Litoral,2026,
