City,Venue,Address,Date,Host Name,Host Title,Seat Tier,Picture
Minneapolis,The Halvorsen Assembly Room,"318 Marquette Ave, Minneapolis, MN 55402","March 3, 2026",Elise Marchetti,Founder & CEO,Founding-customer tier — 40 seats,norvant_venue_minneapolis.jpg
Chicago,Fulton Market Loft (Third Floor),"1360 W Fulton Market, Chicago, IL 60607","March 5, 2026",Dana Okafor,Head of Customer,General admission — 60 seats,norvant_venue_chicago.jpg
New York,The Williamsburg Foundry Event Space at Kent Avenue,"88 Kent Ave, Brooklyn, NY 11249",10 March 2026,Priya Raman,VP Operations,General admission — 80 seats,norvant_venue_newyork.jpg
Boston,Seaport Analog Hall,"121 Northern Ave, Boston, MA 02210","March 12, 2026",Marcus Bell,Solutions Lead,General admission — 60 seats,norvant_venue_boston.jpg
Denver,The Ironwood Alley Loft,"1455 Wazee St, Denver, CO 80202","March 17, 2026",Sam Whitfield,Account Director,Founding-customer tier — 45 seats,norvant_venue_denver.jpg
Denver,The Cooperage Freight Room,"1524 Wynkoop St, Denver, CO 80202","March 17, 2026",Sam Whitfield,Account Director,Founding-customer tier — 45 seats,norvant_venue_denver_02.jpg
Austin,East Sixth Warehouse,"1601 E 6th St, Austin, TX 78702","March 19, 2026",Tomas Delgado,Field Marketing,General admission — 70 seats,norvant_venue_austin.jpg
Seattle,Pioneer Square Ironworks Assembly Hall and Mezzanine,"1122 Western Ave, Seattle, WA 98104","March 24, 2026",Grace Lin,Customer Success,General admission — 60 seats,norvant_venue_seattle.jpg
Atlanta,The Old Fourth Ward Loft,"580 Angier Ave NE, Atlanta, GA 30308","March 26, 2026",Rahul Menon,Sales Engineer,General admission — 55 seats,norvant_venue_atlanta.jpg
Dallas,Deep Ellum Brickworks,"3218 Main St, Dallas, TX 75226","March 28, 2026",Hannah Cross,Account Director,General admission — 60 seats,norvant_venue_dallas.jpg
San Francisco,The Jackson Square Studio,"212 Jackson St, San Francisco, CA 94111","March 31, 2026",Wei Zhang,Head of Partnerships,Founding-customer tier — 50 seats,norvant_venue_sanfrancisco.jpg
Columbus,Franklinton Makers Hall,"232 W Rich St, Columbus, OH 43215","March 30, 2026",Owen Pratt,Regional Lead,General admission — 50 seats,norvant_venue_columbus.jpg
