Store,Town,Ember Skillet Hash,Kettle Roast Chicken,Braised Short Rib,Smoked Trout Plate,Winter Squash Toast,Maple Pork Belly,Spiced Pear Tart,House Drip,Cortado,Cold Brew,Maple Oat Latte,Emberwell Stout,Spiced Chai
Portsmouth,Portsmouth,16,23,26,19,15,21,9,4.50,5,5.50,6.50,7,5.50
Burlington,Burlington,16,22,26,20,15,21,9,4.50,5,5.50,6.50,7,5.50
Old Port,Portland,15,22,,18,14,20,8.50,4.50,5,5.50,6,7,5
Munjoy Hill,Portand,15,21,25,,14,20,8.50,4.50,5,5.50,6,7,5
Concord ,Concord,15,21,24,17,14,,8,4.50,4.50,5,6,6.50,5
Brattleboro,Brattleboro,14,20,,17,14,19,,4,4.50,5,6,6.50,4.50
Camden ,Camden,16,22,26,19,,20,9,5,5.50,6,7,7,6
Northampton,Northampton,15,21,25,18,14,,8.50,4.50,5,5.50,6.50,7,5.50
Nashua,Nashua,,,,,,,,4.50,5,5.50,6,6.50,5
Keene,Keene,,,,,,,,4,4.50,5,5.50,6.50,5
Montpelier,Montpelier,,,,,,,,4.50,5,5.50,6,7,5.50
Mystic,Mystic,,,,,,,,5,5.50,6,6.50,7,6
Salem,Salem,16,22,26,19,,21,9,5,5.50,6,7,7,6
Providence,Providence,16,23,26,,15,21,9,5,5.50,6,7,7,6
