Piece Name,Glaze,Size,Price,Collaboration Credit,Picture
Ember Mug,Ember,Standard,$42,,marlo_autumn_month_02.jpg
Sprig Bowl,Sprig Green,Standard,38.00,,marlo_autumn_month_03.jpg
Kiln Tumbler,Kiln Clay,Short,46,,marlo_autumn_month_13.jpg
Kiln Tumbler,Kiln Clay,Tall,52.00,,marlo_autumn_month_13.jpg
Oat Side Plate,Oat,Set of two,54,,
Warm Ground Vase,Warm Ground,Standard,72.0,,marlo_autumn_month_14.jpg
Kiln Clay Serving Platter,Kiln Clay,Large,88,,marlo_autumn_month_17.jpg
Bench Pour-over Set,Kiln Clay,Two-piece,90,In collaboration with Fernhollow Coffee. Beans roasted on Alder Street.,marlo_autumn_month_09.jpg
Morning Mug,Kiln Clay,Standard,34,,marlo_autumn_month_01.jpg
Sprig Cereal Bowl,Sprig Green,Standard,30,,marlo_autumn_month_18.jpg
Ember Tumbler,Ember,Standard,28.00,,
Bench Spoon Rest,Oat,Small,18,,
Kiln Bud Vase,Warm Ground,Small,26,,marlo_autumn_month_14.jpg
Studio Pour-over Dripper,Kiln Clay,Standard,48,,marlo_autumn_month_10.jpg
Market Berry Bowl,Sprig Green,Standard,22,,marlo_autumn_month_12.jpg
