Piece Name,Reference,Metal,Stone,Price,Care Variant,Status,Picture
Serault Signet,SER-R-014-YG,18ct Yellow Gold,None,"$1,850",gold,Current,serault_signet.jpg
Serault Signet,SER-R-014-WG,18ct White Gold,None,1850,gold,Current,serault_signet.jpg
Roussel Band,SER-R-021,18ct Yellow Gold,None,940,gold,Current,roussel_band.jpg
Camille Solitaire,SER-R-033,18ct White Gold,Old-cut diamond,3200,gold,Current,camille_solitaire.jpg
Orfevres Pendant,SER-P-008,18ct Yellow Gold,Green tourmaline,"2,400.00",gold,Current,orfevres_pendant.jpg
Atelier Hoops,SER-E-017,18ct Yellow Gold,None,760,gold,Current,atelier_hoops.jpg
Petite Serault Studs,SER-E-004,18ct White Gold,Freshwater pearl,680,gold,Current,
Verline Locket,SER-P-026,Brass,None,620,brass,Current,verline_locket.jpg
Serault Eternity Band,SER-R-041,18ct Yellow Gold,Diamond,"$2,950.00",gold,Current,
Ruelle Chain,SER-N-012,18ct Yellow Gold,None,1290,gold,Archived,ruelle_chain.jpg
Serault Cuff,SER-B-019,Brass,None,"$740",brass,Current,serault_cuff.jpg
Roussel Signet,SER-R-002,Brass,None,640,brass,Current,
Verdure Ring,SER-R-037,18ct Yellow Gold,Sapphire,3850,gold,Current,verdure_ring.jpg
Serault Drop Earrings,SER-E-022,18ct White Gold,Grey pearl,1450,gold,Current,serault_drops.jpg
Camille Signet,SER-R-045,18ct Yellow Gold,Onyx,1650,gold,Current,camille_signet.jpg
Boutique Chain,SER-N-030,18ct Yellow Gold,None,"1,120",gold,Current,boutique_chain.jpg
