Task code,Task name,Family,Verifier type,Verifier ID,Output ID,Deliverable,Output file,Pass condition,Evidence,K question,Answer (Yes/No)
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r002/A001,pdp-r002,Skincare product-page image - Clarity Vitamin C Serum,deliverables/pdp-r002.png,“Skincare product-page image - Clarity Vitamin C Serum” (pdp-r002.png) is present in the delivery package.,Automatic check: file is present.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r002/A002,pdp-r002,Skincare product-page image - Clarity Vitamin C Serum,deliverables/pdp-r002.png,“Skincare product-page image - Clarity Vitamin C Serum” (pdp-r002.png) opens as a valid PNG file with no errors or corruption.,Automatic check: file opens correctly.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r002/A003,pdp-r002,Skincare product-page image - Clarity Vitamin C Serum,deliverables/pdp-r002.png,“Skincare product-page image - Clarity Vitamin C Serum” (pdp-r002.png) is exactly 1440 pixels wide.,Automatic check: measured image width.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r002/A004,pdp-r002,Skincare product-page image - Clarity Vitamin C Serum,deliverables/pdp-r002.png,“Skincare product-page image - Clarity Vitamin C Serum” (pdp-r002.png) is exactly 1800 pixels tall.,Automatic check: measured image height.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r003/A001,pdp-r003,Skincare product-page image - Even Niacinamide Serum,deliverables/pdp-r003.png,“Skincare product-page image - Even Niacinamide Serum” (pdp-r003.png) is present in the delivery package.,Automatic check: file is present.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r003/A002,pdp-r003,Skincare product-page image - Even Niacinamide Serum,deliverables/pdp-r003.png,“Skincare product-page image - Even Niacinamide Serum” (pdp-r003.png) opens as a valid PNG file with no errors or corruption.,Automatic check: file opens correctly.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r003/A003,pdp-r003,Skincare product-page image - Even Niacinamide Serum,deliverables/pdp-r003.png,“Skincare product-page image - Even Niacinamide Serum” (pdp-r003.png) is exactly 1440 pixels wide.,Automatic check: measured image width.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r003/A004,pdp-r003,Skincare product-page image - Even Niacinamide Serum,deliverables/pdp-r003.png,“Skincare product-page image - Even Niacinamide Serum” (pdp-r003.png) is exactly 1800 pixels tall.,Automatic check: measured image height.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r004/A001,pdp-r004,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),deliverables/pdp-r004.png,“Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted)” (pdp-r004.png) is present in the delivery package.,Automatic check: file is present.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r004/A002,pdp-r004,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),deliverables/pdp-r004.png,“Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted)” (pdp-r004.png) opens as a valid PNG file with no errors or corruption.,Automatic check: file opens correctly.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r004/A003,pdp-r004,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),deliverables/pdp-r004.png,“Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted)” (pdp-r004.png) is exactly 1440 pixels wide.,Automatic check: measured image width.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r004/A004,pdp-r004,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),deliverables/pdp-r004.png,“Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted)” (pdp-r004.png) is exactly 1800 pixels tall.,Automatic check: measured image height.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r005/A001,pdp-r005,Skincare product-page image - Renew Retinol Night Oil,deliverables/pdp-r005.png,“Skincare product-page image - Renew Retinol Night Oil” (pdp-r005.png) is present in the delivery package.,Automatic check: file is present.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r005/A002,pdp-r005,Skincare product-page image - Renew Retinol Night Oil,deliverables/pdp-r005.png,“Skincare product-page image - Renew Retinol Night Oil” (pdp-r005.png) opens as a valid PNG file with no errors or corruption.,Automatic check: file opens correctly.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r005/A003,pdp-r005,Skincare product-page image - Renew Retinol Night Oil,deliverables/pdp-r005.png,“Skincare product-page image - Renew Retinol Night Oil” (pdp-r005.png) is exactly 1440 pixels wide.,Automatic check: measured image width.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r005/A004,pdp-r005,Skincare product-page image - Renew Retinol Night Oil,deliverables/pdp-r005.png,“Skincare product-page image - Renew Retinol Night Oil” (pdp-r005.png) is exactly 1800 pixels tall.,Automatic check: measured image height.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r006/A001,pdp-r006,Skincare product-page image - Barrier Peptide Moisturizer,deliverables/pdp-r006.png,“Skincare product-page image - Barrier Peptide Moisturizer” (pdp-r006.png) is present in the delivery package.,Automatic check: file is present.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r006/A002,pdp-r006,Skincare product-page image - Barrier Peptide Moisturizer,deliverables/pdp-r006.png,“Skincare product-page image - Barrier Peptide Moisturizer” (pdp-r006.png) opens as a valid PNG file with no errors or corruption.,Automatic check: file opens correctly.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r006/A003,pdp-r006,Skincare product-page image - Barrier Peptide Moisturizer,deliverables/pdp-r006.png,“Skincare product-page image - Barrier Peptide Moisturizer” (pdp-r006.png) is exactly 1440 pixels wide.,Automatic check: measured image width.,,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r006/A004,pdp-r006,Skincare product-page image - Barrier Peptide Moisturizer,deliverables/pdp-r006.png,“Skincare product-page image - Barrier Peptide Moisturizer” (pdp-r006.png) is exactly 1800 pixels tall.,Automatic check: measured image height.,,
