CORDWAIN OVERLAND -- PRINTER STOCKED INK LIST
(He will substitute if we ask for something he does not stock; we would rather he did not.)

Ink name                          | Discharge | Plastisol | Works on garment colours
----------------------------------|-----------|-----------|--------------------------
Bone White                        | Yes       | Yes       | all
Basalt Black                      | No        | Yes       | light, sand, dark
Trail Sand                        | Yes       | Yes       | light, dark
Pine Shadow Green                 | No        | Yes       | light only
Rust Ridge Orange                 | No        | Yes       | light only
Heather Grey Discharge Base       | Yes       | No        | dark
Weathered Oatmeal Discharge       | Yes       | No        | dark, pine
Deep Water Navy Plastisol         | No        | Yes       | light, sand

Note: on DARK garments only discharge inks print clean. Pine Shadow Green and Rust Ridge Orange are plastisol-only and are not stocked as discharge, so they have no clean equivalent on dark garments.
