Dish Name ,Description ,Allergens ,Provenance ,PRICE ,"Photo "
"Burnt Butter Gnocchi","Hand-rolled potato gnocchi, sage, burnt butter","Gluten, dairy, egg","Gnocchi rolled in-house daily",19,gnocchi.jpg
"Roast Squash & Farro Bowl","Roast squash, farro, pumpkin seed, soft herbs","Gluten. Vegan.","Squash from Blackbird Farm",17,squash_bowl.jpg
"Braised Short Rib Sandwich","Braised short rib, pickled onion, ciabatta","Gluten, dairy, mustard, celery","Braised overnight",20,shortrib.jpg
"Charred Broccolini & Anchovy","Charred broccolini, anchovy, lemon, chilli","Fish","Anchovy from the Cantabrian coast",14,broccolini.jpg
"Chicken Milanese","Crumbed chicken, dressed rocket, lemon","Gluten, dairy, egg","Free-range chicken",21,milanese.jpg
"Spring Pea & Mint Risotto","Spring pea, mint, parmesan risotto","Dairy. Vegetarian.","Peas shelled to order",18,risotto.jpg
"Grilled Hake & Salsa Verde","Grilled hake, salsa verde, new potatoes","Fish","Day-boat hake",24,hake.jpg
"House Burger & Aged Cheddar","House patty, aged cheddar, soft bun, fries","Gluten, dairy, mustard, sesame","Beef ground in-house",21,burger.jpg
"Whipped Ricotta & Honey","Whipped ricotta, honey, thyme, sourdough","Gluten, dairy, nuts (walnut)","Ricotta made weekly",12,ricotta.jpg
"Roast Carrots & Dukkah","Roast carrots, dukkah, labneh","Dairy, nuts (almond). Vegetarian.","Carrots from Blackbird Farm",13,carrots.jpg
"Winter Bean & Kale Ribollita","White bean, kale, good bread ribollita","Gluten, celery. Vegan.","A winter regular",16,ribollita.jpg
