Common Name,Botanical Name,Department,Care Line,Pot Size,Price,Photo
Coneflower,Echinacea purpurea,PER,"Full sun. Leave the seedheads for the finches.",1 gal,$22,ferncroft_variety_01.jpg
English Lavender 'Hidcote',Lavandula angustifolia,HRB,"Sun and sharp drainage. Never wet feet.",#1,19,ferncroft_variety_07.jpg
Bee Balm,Monarda didyma,PER,"Sun to part shade. Give it room to breathe.",,21,ferncroft_variety_01.jpg
Siberian Iris,Iris sibirica,PER,"Sun, damp ground, patient the first year.",1 gal,19.00,ferncroft_variety_02.jpg
Common Thyme,Thymus vulgaris,HRB,"Poor soil, full sun, clip it hard.",4in,18,ferncroft_variety_08.jpg
Oakleaf Hydrangea,Hydrangea quercifolia,SHR,"Part shade. The autumn leaf is the whole point.",3 gal,46,ferncroft_variety_12.jpg
Lady's Mantle,Alchemilla mollis,PER,"Part shade. Catches the rain like beads.",1 gal,18,ferncroft_variety_03.jpg
Greek Oregano,Origanum vulgare hirtum,HRB,"Hot, dry, full sun. Flavour follows drought.",4in,18,ferncroft_variety_09.jpg
French Tarragon,Artemisia dracunculus,HRB,"Sun, light soil, divide it every third spring.",,20,ferncroft_variety_07.jpg
Bearded Iris 'Litchfield Gold',Iris germanica,PER,"Bake the rhizome in full sun. Do not mulch it.",#1,24.00,ferncroft_variety_04.jpg
Japanese Maple 'Bloodgood',Acer palmatum,SPC,"Dappled shade, shelter from wind. Slow and worth it.",7 gal,$95,ferncroft_variety_16.jpg
Garden Sage,Salvia officinalis,HRB,"Full sun, dry feet, woody with age and better for it.",4in,18,ferncroft_variety_10.jpg
Mockorange 'Litchfield',Philadelphus coronarius,SHR,"Sun. Prune right after the scent fades.",3 gal,42,ferncroft_variety_13.jpg
Hardy Geranium,Geranium sanguineum,PER,"Sun or part shade. Shear it flat at midsummer.",1 gal,21,ferncroft_variety_05.jpg
Summersweet,Clethra alnifolia,SHR,"Damp part shade. The bees find it before you do.",,39,ferncroft_variety_12.jpg
Star Magnolia,Magnolia stellata,SPC,"Full sun, shelter the early flower from late frost.",7 gal,72,ferncroft_variety_17.jpg
Sweet Bay,Laurus nobilis,HRB,"Sun, shelter, a pot it can come indoors in.",#2,26,ferncroft_variety_11.jpg
Doublefile Viburnum,Viburnum plicatum,SHR,"Sun to part shade. Tiered like a wedding cake.",3 gal,48,ferncroft_variety_14.jpg
Peony 'Old Bench',Paeonia lactiflora,PER,"Full sun. Plant the eyes shallow or it sulks for years.",2 gal,38,ferncroft_variety_06.jpg
Weeping Katsura,Cercidiphyllum japonicum 'Pendulum',SPC,"Sun to light shade. Smells of burnt sugar in fall.",10 gal,88,ferncroft_variety_18.jpg
Fothergilla,Fothergilla gardenii,SHR,"Sun for the best fall colour. Honey-scented in spring.",2 gal,44,ferncroft_variety_15.jpg
