family,category,task_type,title,feasibility,note,source,date,vertical,url,mcp_workflow,input_assets,brief
Video & Audio,Video Cut & Reframe,YouTube Educational Video — auto highlight cut + reframe,YouTube Video Editor,partial,"Connector auto-cuts highlights, reframes per platform and cleans audio; a human does the informative-style narrative fine-cut, on-screen graphics/B-roll sequencing and final captions.",freelancer,2026-06-05,Education & Children,https://www.freelancer.com/projects/adobe-premiere-pro/YouTube-Video-Editor-40494006,asset_add_file (client raw footage) -> media_summarize (transcript to find key segments) -> video_create_quick_cut (auto highlight cut) -> video_resize (reframe to 16:9 YouTube + 9:16 Shorts) -> media_enhance_speech (clean narration audio) -> asset_preview_file,Client's raw educational footage (file/URL) | Target length per video — confirm; brief doesn't state | Deliverable specs (1080p H.264 MP4) — confirm | Channel intro/outro + lower-third text if any,"I'm looking for a skilled video editor to create informative and educational content for my YouTube channel. The videos are intended for social media and should be polished and professional.  Key Requirements: - Edit social media content for YouTube - Informative/educational style - Professional and polished final product  Ideal Skills and Experience: - Proficient in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro) - Experience with YouTube content - Strong understanding of informative/educational video styles - Ability to meet deadlines and communicate effectively"
Video & Audio,Video Cut & Reframe,Instagram Reels + carousel from raw assets (FR healthy-snack brand),Grow AERI Makhana Instagram France,partial,"Connector produces the Reels (auto-cut+reframe) and template carousels; the growth strategy, French trending-audio choice, influencer outreach and community management are human/non-design work outside the connector.",freelancer,2026-06-05,"Food, Restaurant & Beverage",https://www.freelancer.com/projects/adobe-premiere-pro/Grow-AERI-Makhana-Instagram-France,asset_add_file (raw product images + raw video footage) -> video_create_quick_cut (auto highlight cut for Reels) -> video_resize (reframe to 9:16 1080x1920) -> search_design (Express IG carousel template) -> fill_text (French copy) -> image_crop_and_resize (1080x1080 carousel frames) -> asset_preview_file,Brand's raw product images + raw video footage (supplied) | Brand colours + guidelines (supplied) | French post copy / captions per slide (client to provide) | AERI Makhana logo file | Targets: IG Reels 1080x1920 + carousel 1080x1080,"Instagram Growth Manager: Launch & Scale Healthy Snack Brand (France)  Project Overview  We are launching a brand-new Instagram account for AERI Makhana (a premium, healthy popped water lily seed snack) targeting the French market. We need an aggressive, creative growth expert to take this account from 0 to a target milestone of 100k genuine French followers. The strategy must balance hyper-growth with community building. We want real engagement, not empty bot numbers. Because we are a new brand, we are operating on a tight startup budget. We need someone who can maximize organic reach, viral loops, and low-cost/barter collaborations.  Scope of Work (What You Will Do) 1. Profile Setup & Optimization: Complete optimization for the French market (bio, highlights, localized SEO, geo-tagging). 2. Content Creation & Management: Develop a 30-day content calendar. Edit/repurpose our raw assets into highly shareable, viral-potential Reels using trending French audio, aesthetic carousel posts, and interactive Stories. 3. Low-Cost Influencer Outreach: Identify, pitch, and secure barter deals (product in exchange for content) with micro-creators in the French food, fitness, and healthy lifestyle niches. 4. Organic Growth Strategy: Implement high-yield growth tactics (giveaways, community management, viral hooks, and heavy engagement with French healthy-snacking communities). 5. Analytics: Provide weekly reports tracking follower growth, reach, engagement rate, and bio-link clicks.  We will supply: Raw product images, brand colors, guidelines, and raw video footage.  Acceptance Criteria 1. Target Audenced Location: 90%+ of gained followers must be located in France. 2. High Engagement: Maintain a strong engagement rate (saves, shares, comments) to ensure the algorithm favors our content. 3. Brand Integrity: All content must be high-quality, professional, in fluent French, and perfectly aligned with our healthy-snacking identity.  How to Apply (Proposal Requirements) To be considered, please keep your proposal brief and directly answer the following questions: 1. Going from 0 to 100k is a massive mountain to climb on a budget. What is your specific, realistic strategy to achieve explosive, organic growth for a food brand in France within the first 30–60 days? 2. What style of Reels or content hooks do you find perform best right now in the French healthy-food niche? 3. Do you have an existing network or a proven script for getting French micro-influencers to agree to barter deals? 4. What is your all-inclusive flat monthly rate for this project? (Keep our startup budget constraints in mind)."
Express Template Design,Social Media Graphics,IG/FB post set + catalogue product graphics,Social Media Graphics Creation,template,fill_text swaps copy only; exact brand font/colour/layout tweaks and the separate video-shoot/edit need a human (Express template + a human in Express for precise brand styling).,freelancer,2026-06-05,"Technology, SaaS & Startups",https://www.freelancer.com/projects/adobe-photoshop/Social-Media-Graphics-Creation-40493060,"search_design (Express IG/FB post template) -> fill_text (client copy) -> asset_add_file (brand logo + product photos) -> image_remove_background (catalogue product cut-outs) -> image_crop_and_resize (per platform: 1080x1080 IG, FB feed) -> asset_preview_file","Brand logo + brand guidelines | Product photos for catalogue graphics | Post copy/headlines per graphic | Brand colour palette + fonts (to confirm) | Targets: Instagram, Facebook, website","I'm seeking a skilled graphic designer to create social media graphics for Instagram, Facebook, and our website. The designer will need to create:  Post Images Video shoot and editing  Catalogue Picture Designs  Ideal Skills and Experience: - Proficiency in graphic design software (e.g., Adobe Photoshop, Illustrator) - Experience creating engaging social media graphics - Strong portfolio showcasing similar work - Ability to adhere to brand guidelines and deadlines  Please provide samples of previous work with your bids."
Express Template Design,Flyers & Posters,Brand-awareness flyer/poster + FB/IG social versions,Brand Awareness Flyers & Social Posts,template,The requested AI-generated hero image cannot be made (no text-to-image); supply it from Stock or client. Template fill_text changes copy only; precise brand font/colour need a human in Express.,freelancer,2026-06-05,"Technology, SaaS & Startups",https://www.freelancer.com/projects/ai-art-creation/Brand-Awareness-Flyers-Social-Posts,search_design (Express flyer/poster template) -> fill_text (client copy + CTA) -> asset_add_file (logo + hero image) -> document_convert_pdf (print-ready hi-res PDF) -> image_crop_and_resize (FB/IG feed + story ratios) -> asset_preview_file,"Existing colour palette (hex) + fonts | Logo files | Copy + CTA text | Hero image — client-supplied or licensed via Adobe Stock (asset_search); connector cannot generate the AI hero image | Targets: print PDF, FB + IG feed and story sizes","I’m putting together a cohesive set of visual assets to boost brand awareness and I want them to look equally sharp in print and online. The scope covers three core items:   • Print-ready flyers and posters that follow my existing colour palette and fonts.   • AI-generated hero images that align with the overall concept.   • Social-media-optimised versions of the artwork for Facebook and Instagram, sized correctly for feeds and stories.  You’re free to choose your preferred design software or AI tool (Midjourney, DALL-E, Photoshop Generative Fill, etc.) as long as the final work feels consistent across every format. I’ll supply the brief, logo files and any copy as soon as we start; you’ll handle layout, image generation and final export.  Deliverables I expect at hand-off:   • High-resolution PDF files ready for print.   • Layered source files (AI/PSD).   • Optimised PNG/JPG sets for Facebook and Instagram, including story ratios.  Before sign-off, I’ll need a quick round of revisions to fine-tune colours, placement and any CTA text. If this fits your wheelhouse, let’s talk timing and get rolling."
Express Template Design,Social Media Graphics,Real-estate Facebook listing post graphics,Lead-Generating Real Estate Facebook Posts,template,"Connector produces the post graphics via template; the 4-week content calendar, caption copywriting, hashtag strategy and Meta Business Suite scheduling are human/non-connector work. fill_text changes copy only.",freelancer,2026-06-04,"Real Estate, Construction & Property",https://www.freelancer.com/projects/social-media-management/Lead-Generating-Real-Estate-Facebook,asset_add_file (property photos + agent logo) -> search_design (Express real-estate FB post template) -> fill_text (listing details + CTA) -> image_crop_and_resize (Facebook feed 1200x630) -> asset_preview_file,"Raw listing photos + property details (price, beds, address) | Agent/brokerage logo + brand colours | CTA copy funnelling to website/Messenger | Recent market stats for insight posts | Target: Facebook feed size","I’m looking for someone who can take over my Facebook feed and turn it into a steady source of qualified real-estate leads. Every week I want to publish a balanced mix of:  • Fresh property listings written in buyer-friendly language and paired with eye-catching images or short reels   • Bite-sized market insights and trends that position me as the local expert   • Practical home-improvement tips that keep homeowners engaged until they’re ready to sell or buy    Your posts should be optimized for Facebook’s current algorithm, include clear calls to action, and reflect a consistent brand voice. Captions, hashtags, basic graphic design, and scheduling in Meta Business Suite are all part of the job. I’ll supply raw listing details, recent stats, and any brand assets you need; you handle the creative spin, formatting, and timely publication.  Acceptance criteria:   1. A 4-week content calendar (12–15 posts) delivered in Google Sheets.   2. All graphics sized correctly for Facebook feed.   3. Captions free of grammar errors and containing at least one CTA that funnels leads to my website or Messenger.   4. Scheduled posts visible in my Meta queue at least 48 hours before they go live.  If this sounds like something you can execute smoothly, let’s talk timing and next steps."
Video & Audio,Video Cut & Reframe,Humorous YouTube montage — auto highlight cut,Humorous Video Editing for YouTube,partial,"Connector auto-assembles a highlight/montage cut and cleans audio; a human does the comedic timing, meme effects/transitions and sound design that make it 'funny'.",freelancer,2026-06-04,"Technology, SaaS & Startups",https://www.freelancer.com/projects/adobe-premiere-pro/Humorous-Video-Editing-for-YouTube,asset_add_file (raw clips) -> video_create_quick_cut (auto montage of best/funny moments) -> video_resize (16:9 YouTube master) -> media_enhance_speech (clean dialogue audio) -> asset_preview_file,Client's raw clip library (files/URLs) | Target length — confirm; brief doesn't state | Any specific must-include moments/jokes | Music/SFX preferences (client to supply licensed audio),"I'm seeking an experienced video editor to create a funny video for YouTube. The primary purpose of this video is to engage viewers and gain traction on social media.  Key Requirements: - Edit a funny montage of clips. - Tailor content for YouTube's format and audience. - Enhance video with effects, transitions, and sound.  Ideal Skills: - Proficiency in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro). - Strong understanding of YouTube trends and audience. - Creative mindset with a good sense of humor. - Experience with social media content creation and optimization.  Please share your portfolio with relevant work!"
Express Template Design,Social Media Graphics,Social posts + posters/banners + business cards bundle,Social & Print Graphics Bundle,template,"Delivered from Express templates; a 'versatile scalable logo' beyond a simple wordmark, and exact brand font/colour matching, need a human in Express/Illustrator. fill_text changes copy only.",freelancer,2026-06-04,General / Cross-Industry Branding & Graphics,https://www.freelancer.com/projects/adobe-illustrator/Social-Print-Graphics-Bundle,search_design (Express social post / poster / banner / business-card templates) -> fill_text (brand copy) -> asset_add_file (logo + photos) -> document_convert_pdf (press-ready PDF with bleed) -> image_crop_and_resize (IG/FB/LinkedIn sizes) -> asset_preview_file,"Brand logo (or simple wordmark to build from template) | Brand colours + fonts | Copy for each piece | Photos to place | Business card details (name, title, contact) | Targets: IG/FB/LinkedIn + large-format print PDF with bleed","I’m refreshing my visual presence and need a designer who can take care of everything from online posts to offline collateral. Specifically, I’m looking for:  • Social media graphics that are eye-catching and sized correctly for Instagram, Facebook, and LinkedIn   • Posters and banners ready for both large-format print and digital display   • Business cards and a versatile, scalable logo that will anchor the whole look    All artwork should align to one cohesive style, supplied in editable source files (AI/PSD), plus high-resolution PNG, JPG, and press-ready PDF with bleed where relevant. If you normally work in Illustrator, Photoshop, or even Figma for layout previews, that’s perfect—just let me know your process.  Once we agree on a design direction, I’ll need the first round of concepts within a week and final, polished files shortly after revisions. If this sounds like your kind of project, I’m ready to get started right away."
Express Template Design,Social Media Graphics,Product-sales social posts (IG/FB/Twitter) with CTA,Drive Product Sales via Social Media,template,"Connector produces the post graphics; the content calendar, scheduling, reply management, ROI/analytics tracking and copywriting are human work. fill_text changes copy only.",freelancer,2026-06-04,"Health, Wellness & Medical",https://www.freelancer.com/projects/content-creation/Drive-Product-Sales-via-Social,"asset_add_file (product photos + logo) -> image_remove_background (clean product cut-outs) -> search_design (Express promo post template) -> fill_text (CTA / offer copy) -> image_crop_and_resize (IG 1080x1080, FB, Twitter) -> asset_preview_file","Product photos | Brand guidelines + logo | Offer/CTA copy per post (link to checkout/DM) | Audience insights (informs copy) | Targets: Instagram, Facebook, Twitter","I’m ready to scale up sales for my product and need someone who can take full control of the social channels that matter most to my audience—Instagram, Facebook, and Twitter. The priority is clear: every piece of work you do should push followers closer to a purchase.  Here’s what I have in mind. You’ll develop a consistent stream of content—images, short-form videos, and sharp text posts—planned around an agreed calendar. Each post should carry a clear call-to-action that directs people to my checkout page or DMs for quick conversions, and you’ll optimise captions, hashtags, and timing so we squeeze the most out of every impression.  I’ll provide product photos, brand guidelines, and current audience insights. From there, I expect you to:   • Build out a weekly content schedule   • Design and write the posts (Adobe Suite, Canva, or tools of your choice)   • Publish at optimal times and manage replies or basic queries within 24 hours   • Track link clicks, add-to-cart events, and sales so we can see real ROI   • Refine the approach every week based on performance data pulled from native platform analytics and, if you prefer, Google Analytics or a similar dashboard    Success looks like a sustained uptick in conversions alongside healthy engagement rates. If you’re confident you can turn social attention into sales, let’s talk strategy and timelines."
Video & Audio,Video Cut & Reframe,Podcast/Reels edits + social posts + brochures (ongoing),Full-Time Video and Social Media Editor,partial,"Connector auto-cuts/reframes the video and templates the social posts; the long-form podcast narrative edit, intro/outro graphics and the multi-page brochure layout need a human.",freelancer,2026-06-04,"Music, Film, Publishing & Media",https://www.freelancer.com/projects/social-media-marketing/Full-Time-Video-Social-Media,asset_add_file (podcast footage / raw clips) -> media_summarize (find clip-worthy moments) -> video_create_quick_cut (short reel cut) -> video_resize (9:16 reels + 16:9 master) -> media_enhance_speech (clean podcast audio) -> search_design (Express IG/FB post template) -> fill_text (copy) -> asset_preview_file,"Raw podcast video + reel footage | Brand logo + colours | Post copy for IG/FB | Brochure content + page count (for the brochure portion) | Targets: IG/FB posts, reels 9:16, podcast master 16:9","I'm seeking a full-time editor to handle a mix of video content and social media posts.   Key Responsibilities: - Edit video content including podcasts and reels. - Create and manage engaging social media posts for Instagram and Facebook. - Design and edit brochures.  Ideal Skills: - Proficiency in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro). - Strong understanding of Instagram and Facebook algorithms. - Creative design skills for brochures and social media graphics. - Experience with content creation for social media platforms.  Looking forward to collaborating with a creative professional!"
Express Template Design,Social Media Graphics,"Reality-show creatives pack (posters, voting/elimination, banners, thumbnails)",Reality Show Graphic Designer,template,Bulk creatives via templates with contestant photos/copy filled in; bespoke show logo design and unique brand-identity art need a human. fill_text changes copy only.,freelancer,2026-06-04,"Music, Film, Publishing & Media",https://www.freelancer.com/projects/social-media-marketing/Reality-Show-Graphic-Designer,"search_design (Express poster / social / banner / YouTube-thumbnail templates) -> fill_text (contestant names, episode/voting copy) -> asset_add_file (contestant photos + show logo + sponsor logos) -> image_remove_background (contestant cut-outs) -> image_crop_and_resize (IG/FB/YouTube + banner/standee sizes) -> asset_preview_file","Show logo ('The Lock House') + brand colours | Contestant photos | Sponsor logos | Copy: contestant intros, voting/elimination text, episode details | Counts: 20-30 creatives | Targets: IG/FB/YouTube posts, thumbnails, event banners + standees (print sizes)","Graphic Designer Needed for Reality Show Branding & Social Media Content Description: We are launching a new reality show called The Lock House and are looking for a creative graphic designer to work with us on an ongoing basis. Scope of Work: Social media post designs (Instagram, Facebook, YouTube) Contestant introduction posters Elimination and voting creatives Teaser and promotional graphics Sponsor branding creatives Event banners and standees Logo refinements and brand identity materials Thumbnails and digital marketing creatives Requirements: Strong portfolio in social media and promotional design Experience with Photoshop, Illustrator, Canva, or similar tools Ability to create modern, attention-grabbing designs Quick turnaround and good communication Hindi/Indian audience understanding is a plus Project Details: Reality Show: The Lock House Initial requirement: 20–30 creatives Potential for long-term collaboration throughout the season Please share your portfolio and expected pricing (per design or monthly basis). When Applying, Please Mention: Your portfolio link Previous entertainment/event-related work (if any) Your pricing structure Turnaround time for urgent creatives We are looking for someone who can help build a strong and exciting visual identity for the show from launch to finale."
