Address,Town,Price,Beds,Baths,SqFt,School District,Open House Window,Agent Line
14 Gingerbread Hill Lane,Marblehead,"$1,225,000",4,2.5,2840,Marblehead Public Schools,"Sat Sep 19, 11:00-1:00",Sable & Finch Realty
119 Preston Beach Crossing at Marblehead Neck,Marblehead,"$1,875,000",5,3.5,3960,Marblehead Public Schools,"Sun Sep 20, 12:00-2:00",Sable & Finch Realty
6 Blaney Street,Swampscott,"$985,000",3,2,1980,Swampscott Public Schools,"Sat Sep 19, 1:00-3:00",Sable & Finch Realty
31 Puritan Road,Swampscott,"$1,340,000",4,3,2610,Swampscott Public Schools,"Sun Sep 20, 11:00-1:00",Sable & Finch Realty
8 Eastern Point Boulevard at Niles Beach Reservation,Gloucester,"$1,150,000",4,2.5,2740,Gloucester Public Schools,"Sat Sep 19, 2:00-4:00",Sable & Finch Realty
27 Hesperus Avenue by Rafe's Chasm Reservation,Gloucester,"$2,395,000",5,4,4180,Gloucester Public Schools,"Sun Sep 20, 1:00-3:00",Sable & Finch Realty
22 Mill Street,Manchester-by-the-Sea,"$1,690,000",4,3.5,3120,Manchester Essex Regional,"Sat Sep 19, 11:30-1:30",Sable & Finch Realty
5 Norman Avenue,Beverly Farms,"$1,195,000-$1,275,000",4,2.5,2560,Beverly Public Schools,"Sun Sep 20, 12:30-2:30",Sable & Finch Realty
40 Atlantic Avenue,Rockport,"$1,050,000",3,2,1870,Rockport Public Schools,"Sat Sep 19, 10:00-12:00",Sable & Finch Realty
12 Argilla Road,Ipswich,"$1,420,000",4,3,2980,Ipswich Public Schools,"Sun Sep 20, 2:00-4:00",Sable & Finch Realty
18 Nahant Road,Nahant,"$1,310,000",4,2.5,2450,Swampscott Public Schools,"Sat Sep 19, 1:30-3:30",Sable & Finch Realty
9 Chebacco Lane,Essex,"$1,090,000",3,2.5,2210,Manchester Essex Regional,"Sun Sep 20, 11:00-1:00",Sable & Finch Realty
