act_name,stage,night,set_time,portrait
The Herring Gulls,Quay Stage,Friday,19:00,wharfside_act_portrait_01.jpg
Maren Ashcroft,Shed Stage,Friday,20:15,wharfside_act_portrait_02.jpg
Colm & the Tidelines,Net Loft,Friday,21:30,wharfside_act_portrait_03.jpg
Saltmarsh Sisters,Net Loft,Saturday,14:00,wharfside_act_portrait_04.jpg
The Coldwater Ramblers,Shed Stage,Saturday,15:00,wharfside_act_portrait_05.jpg
Bramble Ford,Quay Stage,Saturday,16:00,wharfside_act_portrait_06.jpg
Éamonn Reilly,Quay Stage,Saturday,16:00,wharfside_act_portrait_07.jpg
The Weathervanes,Shed Stage,Saturday,18:00,
Hollow Pines String Band,Net Loft,Saturday,19:30,wharfside_act_portrait_08.jpg
Ferry Cross Collective,Quay Stage,Sunday,13:00,
Ida Bell,Shed Stage,Sunday,14:30,wharfside_act_portrait_09.jpg
The Marrowbone Ceilidh Band of Fairhaven Harbour,Quay Stage,Sunday,16:00,wharfside_act_portrait_10.jpg
Emberfall,Net Loft,Sunday,17:30,wharfside_act_portrait_11.jpg
Juniper Lane,Shed Stage,Sunday,19:00,
