employer_name,plan_tier,benefits_contact,contact_email,contact_phone,logo
Northbanks Logistics,Palewell Core,Dana Ruiz,benefits@northbanks.example,(503) 555-0142,logo_northbanks.png
"Verrow Manufacturing, Incorporated",Palewell Plus,Sam Okafor,hr@verrow.example,(503) 555-0177,logo_verrow.png
Tealight Studios,Palewell Core,Priya Menon,people@tealight.example,(971) 555-0110,logo_tealight.png
Bramble & Fox Grocers,Palewell Plus,Chris Yoon,benefits@bramblefox.example,(503) 555-0198,logo_bramble_fox.png
"Cedarline Health Systems, a Limited Liability Company",Palewell Premium,Morgan Ellis,hr@cedarline.example,(503) 555-0163,logo_cedarline.png
Pinnacle Freight,Palewell Core,Alex Tran,benefits@pinnaclefreight.example,(503) 555-0121,logo_pinnacle.png
Oakhaven Community Bank,Palewell Plus,Rowan Blake,people@oakhaven.example,(503) 555-0155,logo_oakhaven.png
Marrowfield Foods,Palewell Core,Jamie Cole,hr@marrowfield.example,(971) 555-0188,logo_marrowfield.png
"Highspur Technologies Corporation",Palewell Premium,Nadia Farah,benefits@highspur.example,(503) 555-0134,logo_highspur.png
Little River Schools,Palewell Core,Pat Nguyen,hr@littleriver.example,(503) 555-0109,logo_little_river.png
Anvil & Ash Fabrication,Palewell Plus,Terry Lund,people@anvilash.example,(503) 555-0176,logo_anvil_ash.png
Sundale Retail Group,Palewell Core,Robin Vega,benefits@sundale.example,(971) 555-0150,logo_sundale.png
Copperline Utilities,Palewell Plus,Lee Barros,hr@copperline.example,(503) 555-0128,logo_copperline.png
Westmere Care Partners,Palewell Premium,Casey Dorn,benefits@westmere.example,(503) 555-0193,logo_westmere.png
