stock_number,registration,marque,model,derivative,year,mileage,colour,transmission,fuel,spec_block,price,monthly,status,image
4021,YJ19 KMX,Aldermayne,Corsair,SE,2019,42150,Silver,Automatic,Petrol,Full service history | One owner | Heated front seats | Satellite navigation | Rear parking sensors | 18in alloy wheels | Cruise control | DAB radio | Bluetooth,18500,289,Available,D:\StockPro\Media\Export\lot_photo_01.jpg
4108,YK68 RTV,Vantorre,Ellison,Estate 2.0d Lux,2018,55420,White,Automatic,Diesel,Full service history | Two owners | Panoramic roof | Leather upholstery | Reversing camera | 19in alloys | Adaptive cruise | Keyless entry | Heated steering wheel,21950,329,Available,D:\StockPro\Media\Export\lot_photo_02.jpg
3960,YM20 PLD,Crestmoor,Sovereign GT,Sovereign GT 3.0 V6 Twin-Turbo Executive Premium Plus Panoramic Cold-Climate Pack Comfort Seat Package Technology Pack,2020,28900,Midnight Blue,Automatic,Petrol,Full service history | One owner | Nappa leather | Head-up display | 360 camera | 21in forged alloys | Adaptive air suspension | Premium sound | Soft-close doors,64950,879,Available,D:\StockPro\Media\Export\lot_photo_03.jpg
4210,YN69 WBC,Halverson,Vireo,S,2019,31200,Signal Red,Manual,Petrol,Service history | One owner | Smartphone connectivity | Rear sensors | 17in alloys | Air conditioning | Lane assist | LED headlights | Cruise control,18995,279,Available,D:\StockPro\Media\Export\lot_photo_04.jpg
887,YH67 GDA,Bramwell,Marque,3.0 SE,2017,61800,Black,Automatic,Diesel,Full service history | Two owners | Ventilated leather | Night vision | 20in alloys | Adaptive dampers | Heated rear seats | Premium audio | Digital dashboard,34950,449,Available,D:\StockPro\Media\Export\lot_photo_05.jpg
4155,YP20 HRT,Aldermayne,Corsair,SE Plus,2020,24500,Grey,Automatic,Petrol,Full service history | One owner | Heated seats | Satellite navigation | Reversing camera | 18in alloys | Cruise control | DAB radio | Wireless charging,22950,339,Available,D:\StockPro\Media\Export\lot_photo_06.jpg
4090,YL18 XSN,Vantorre,Consort,2.0 Lux,2018,47300,White,Automatic,Petrol,Service history | Two owners | Leather upholstery | Panoramic roof | Parking sensors | 18in alloys | Heated seats | Keyless entry | Bluetooth,23950,349,Available,D:\StockPro\Media\Export\lot_photo_07.jpg
3921,YG19 QME,Crestmoor,Sovereign,SE,2019,33900,Silver,Automatic,Diesel,Full service history | One owner | Leather upholstery | Head-up display | 360 camera | 19in alloys | Adaptive cruise | Premium sound | Heated seats,41950,559,Available,D:\StockPro\Media\Export\lot_photo_08.jpg
4260,YR69 TKV,Halverson,Vireo,GT,2019,,Racing Green,Manual,Petrol,Service history | One owner | Sports seats | Satellite navigation | Rear sensors | 18in alloys | Limited-slip differential | LED headlights | Cruise control,26950,389,Available,D:\StockPro\Media\Export\lot_photo_09.jpg
4033,YF67 BNP,Bramwell,Grand Tourer,5.0 V8,2017,38200,Black,Automatic,Petrol,Full service history | One owner | Nappa leather | Head-up display | Carbon trim | 21in alloys | Adaptive suspension | Premium sound system | Soft-close doors,78950,1049,Available,D:\StockPro\Media\Export\lot_photo_10.jpg
4177,YD20 LSC,Aldermayne,Meridian,Meridian 2.0 TFSI Quattro S-Line Black Edition Comfort and Sound Pack Technology Pack Winter Pack Assistance Pack,2020,19800,Silver,Automatic,Petrol,Full service history | One owner | Virtual cockpit | Matrix headlights | 20in alloys | Heated seats | Premium sound | Adaptive cruise | Wireless charging,44950,599,Available,D:\StockPro\Media\Export\lot_photo_11.jpg
3998,YC18 VRM,Vantorre,Ellison,2.0d SE,2018,52100,Dark Grey,Automatic,Diesel,Service history | Two owners | Leather upholstery | Satellite navigation | Reversing camera | 18in alloys | Cruise control | DAB radio | Heated seats,22450,335,Available,D:\StockPro\Media\Export\lot_photo_12.jpg
4212,YB69 NHF,Crestmoor,Sovereign GT,SE,2020,21400,White,Automatic,Petrol,Full service history | One owner | Nappa leather | Head-up display | 360 camera | 20in alloys | Adaptive air suspension | Premium sound | Soft-close doors,68950,929,Available,D:\StockPro\Media\Export\lot_photo_13.jpg
4055,YA67 KDX,Halverson,Vireo,S,2017,44900,Blue,Manual,Petrol,Service history | One owner | Rear sensors | 17in alloys | Air conditioning | Cruise control | LED headlights | Bluetooth | Smartphone connectivity,18995,285,Available,D:\StockPro\Media\Export\lot_photo_14.jpg
4001,YW19 SDC,Crestmoor,Sovereign,SE,2019,36000,Silver,Automatic,Diesel,Full service history | One owner | Leather upholstery | Head-up display | 19in alloys | Adaptive cruise | Premium sound | Heated seats | Reversing camera,39950,529,Sold,D:\StockPro\Media\Archive\VG04001.jpg
3880,YV18 LPT,Bramwell,Marque,3.0 SE,2018,49500,Grey,Automatic,Diesel,Full service history | Two owners | Ventilated leather | 20in alloys | Adaptive dampers | Heated rear seats | Premium audio | Digital dashboard | Night vision,32950,429,Reserved,D:\StockPro\Media\Archive\VG03880.jpg
4300,YX69 MRC,Aldermayne,Corsair,SE,2020,22750,Blue,Automatic,Petrol,Full service history | One owner | Heated seats | Satellite navigation | Reversing camera | 18in alloys | Cruise control | DAB radio | Bluetooth,21950,325,Sold,D:\StockPro\Media\Archive\VG04300.jpg
