stall_number,vendor_name,category,zone
1,Green Mountain Produce,Produce,Gateway
2,Willowbrook Bakery,Bakery,Gateway
3,Two Ponds Flowers,Flowers,Gateway
4,Cabot Ridge Cheese,Cheese,Gateway
5,Sunfield Eggs,Eggs,Gateway
6,Maple Hollow Sugarworks,Maple,Gateway
7,Birch & Bramble Preserves,Preserves,Greenway
8,Stone Meadow Dairy,Dairy,Greenway
9,Little Otter Coffee,Coffee,Greenway
10,Ferncliff Mushrooms,Mushrooms,Greenway
11,Red Wagon Vegetables,Produce,Greenway
12,Highfield Heritage Orchard & Cider Cooperative of Vermont,Cider,Greenway
13,Clover Lane Honey,Honey,Greenway
14,Trillium Herb Farm,Herbs,Greenway
15,North Star Breads,Bakery,Greenway
16,Painted Hills Pottery,Crafts,Green Way
17,Quiet Brook Soap,Crafts,Green Way
18,Alder Creek Meats,Meat,Green Way
19,Meadowlark Flowers,Flowers,Green Way
20,Windfall Apples,Produce,Green Way
21,Sap Bucket Confections,Prepared Food,Orchard Walk
22,Rolling Thyme Kitchen,Prepared Food,Orchard Walk
23,Hollowback Farmstead,Produce,Orchard Walk
23,Duxbury Wildflowers,Flowers,Orchard Walk
24,Cornerstone Cheesemongers,Cheese,Orchard Walk
25,Blue Heron Fish,Seafood,Orchard Walk
26,Sugarhouse Sweets,Prepared Food,Orchard Walk
27,Bright Acre Greens,Produce,Orchard Walk
28,Timber Line Woodcraft,Crafts,Orchard Walk
29,Foothill Berry Farm,Produce,Orchard Walk
30,Wren's Nest Baking,Bakery,Riverside
31,Silver Maple Syrup Co,Maple,Riverside
32,Stonewall Preserves,Preserves,Riverside
33,Harvest Moon Flowers,Flowers,Riverside
34,Otter Run Herbs,Herbs,Riverside
35,Pine Barn Eggs,Eggs,Riverside
36,Riverbend Roasters,Coffee,Riverside
37,Golden Fields Grain,Produce,Riverside
38,Beaver Pond Honey,Honey,Riverside
39,Copper Kettle Kitchen,Prepared Food,Riverside
40,Thistle & Vine Flowers,Flowers,Riverside
41,Long Meadow Lamb,Meat,Riverside
42,Cedar Swamp Cranberries,Produce,Riverside
43,Morningside Mushrooms,Mushrooms,Riverside
