Task code,Task name,Client brief,Deliverables,Auto verifiers,Human verifiers,Assets,Review page,S3 folder
SB3-081-MOT,Ember and Oak - Restaurant launch reel system,"We are opening the second room at Ember and Oak and need a launch package that makes people hungry before they read a word. The food should lead: real char, visible texture and a room that feels alive. Please build a deliberate short edit from the service footage, then make the upright and square versions feel composed in their own right. The booking message needs a proper ending, not a logo dropped over the last available frame. We also need the cover, window poster and dish cards to look like the same launch. This campaign is deliberately silent.

Deliverables
1. Restaurant launch reel: 1 named export. The opening makes the food recognisable. The final card identifies Ember and Oak. The booking action is readable.
2. Restaurant vertical reel: 1 named export. The food stays legible through reframing. The final booking action stays within the safe area.
3. Restaurant square reel: 1 named export. The restaurant identity is visible. The edit has a deliberate beginning and ending.
4. Restaurant reel cover: 1 named export. The restaurant name is readable.
5. Restaurant launch poster: 1 named export. The booking action is readable. The char retains visible texture.
6. Dish callout card: 3 named exports. The callout matches the pictured dish.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Restaurant launch reel: 1 registered output
Restaurant vertical reel: 1 registered output
Restaurant square reel: 1 registered output
Restaurant reel cover: 2 registered outputs
Restaurant launch poster: 2 registered outputs
Dish callout card: 4 registered outputs",60,16,15,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-01,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-081-MOT__ember-and-oak-restaurant-launch-reel-system/
SB3-082-MOT,Ironwood Kitchen - Product launch video package,"Ironwood Kitchen is introducing its lunch range. We need a short launch film for the website, an upright social cut, and product collateral that makes the eight bowls easy to recognise and compare. Keep the appetite appeal bright and honest; this is food for a working lunch, not a tasting-menu commercial. Use the same bowl names and cleared product information across the film, product modules and range sheet. The present short source clip is insufficient on its own for the revised film commission, so the completed source pack must include the missing coverage and cleared music before a designer starts.

Please prepare
- Lunch-range launch film: 1 named export. The feature sequence shows the actual bowls. The final card identifies Ironwood Kitchen.
- Lunch launch vertical cut: 1 named export. The bowl remains recognisable throughout the reframe.
- Lunch bowl product module: 8 named exports. The pictured bowl matches its approved menu name. The reference card is absent. The crop preserves the complete bowl.
- Lunch range line sheet: 1 named export. The bowl names match the SKU register. The offer is easy to compare.
- Lunch launch film cover: 1 named export. The range name is readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Lunch-range launch film: 1 registered output
Lunch launch vertical cut: 1 registered output
Lunch bowl product module: 9 registered outputs
Lunch range line sheet: 2 registered outputs
Lunch launch film cover: 2 registered outputs",72,35,14,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-02,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-082-MOT__ironwood-kitchen-product-launch-video-package/
SB3-083-MOT,Halden Greens - Creator ad and social cutdowns,"We need three creator-led ads for Halden Greens, each with a genuinely different opening hook. They should feel like someone explaining a daily habit in their own kitchen, while still landing the product and subscription action clearly. Please preserve the approved claims exactly. Do not turn a qualified statement into a promised result. The pack must contain the authorised spoken takes before editing begins; silent footage is not evidence of what the creator said. Give each ad a matching hook card and use one coherent end-card treatment.

Final handoff

 Creator-led ad: 3 named exports. The hook introduces the approved product benefit. The spoken claim matches the cleared copy. The product packaging is consistent.

 Creator ad hook card: 3 named exports. The hook copy matches its corresponding ad.

 Creator ad end card: 1 named export. The call to action is clear.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Creator-led ad: 3 registered outputs
Creator ad hook card: 4 registered outputs
Creator ad end card: 2 registered outputs",55,17,20,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-03,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-083-MOT__halden-greens-creator-ad-and-social-cutdowns/
SB3-084-MOT,Sable and Finch Realty - Property listing tour package,"For Sable and Finch, the tour needs to help a buyer understand the house, not simply admire a sequence of rooms. Please establish the property, move through the rooms in a plausible order and end with the viewing action. The short upright version can be more selective, but must not imply that two different properties are one home. Keep the broker's wording tied to the listing facts. The open-house cards belong to the same package and must use the correct details for each listing.

Scope
1. Property listing tour: 1 named export. The room sequence is spatially understandable. The narration does not invent property features.
2. Vertical property tour: 1 named export. The key rooms remain recognisable.
3. Listing open-house card: 13 named exports. The listing details agree with the supplied facts.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Property listing tour: 1 registered output
Vertical property tour: 1 registered output
Listing open-house card: 14 registered outputs",184,16,25,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-04,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-084-MOT__sable-and-finch-realty-property-listing-tour-package/
SB3-085-MOT,Sterling Row - Residence launch film and viewing package,"Sterling Row is a nine-residence warehouse conversion. We are looking for a restrained launch film and viewing brochure, with a shorter upright teaser for the broker's channel. The interiors should stay warm against the blue-hour glazing, without drifting into a different colour world from shot to shot. Use the broker's supplied read where it supports the sequence. Please keep the building and residence details truthful. The eight prepared hero photographs, brochure and film cover should feel like a considered property presentation, not unrelated exports from a video edit.

What we need back
- Residence launch film: 1 named export. The room progression describes the supplied residences. The narration completes its intended message.
- Residence vertical teaser: 1 named export. The development identity is clear. The teaser ends on the approved viewing action.
- Blue-hour residence hero: 8 named exports. The photograph remains faithful to the actual residence. The interior warmth is consistent with the approved blue-hour look.
- Residence viewing brochure: 1 named export. The development facts match the specification sheet. The brochure makes the viewing action clear.
- Residence film cover: 1 named export. The development name is readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Residence launch film: 1 registered output
Residence vertical teaser: 1 registered output
Blue-hour residence hero: 8 registered outputs
Residence viewing brochure: 2 registered outputs
Residence film cover: 2 registered outputs",69,18,17,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-05,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-085-MOT__sterling-row-venue-opening-film-and-teaser/
SB3-086-MOT,Meridian Academy - Lesson video package,"We are preparing a worked lesson excerpt from Meridian Academy's Operations Analytics programme. Choose a complete teaching unit: the learner should see the setup, follow the example and reach the conclusion. Removing pauses is useful only if it does not remove the thinking time needed to understand the screen. The spoken explanation, board or interface and captions must agree. Deliver a proper lesson video and its cover. The release pack must contain a complete authorised explanation; a silent five-second visual cannot stand in for a lesson.

The commission

 Worked lesson excerpt: 1 named export. The worked example reaches its stated conclusion. The board or screen text is readable. The captions follow the spoken explanation.

 Lesson cover: 1 named export. The lesson number is correct. The topic is readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Worked lesson excerpt: 1 registered output
Lesson cover: 2 registered outputs",18,7,10,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-06,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-086-MOT__meridian-academy-lesson-video-package/
SB3-087-MOT,Norvant - Product explainer motion system,"Norvant needs an explainer for its March release that a finance or operations buyer can follow without a sales call. Set up the problem, show the actual product behaviour, and close on the approved next step. The interface must remain readable, including in the short upright adaptation. Please avoid decorative motion that makes the demonstration harder to understand. Use the cleared script and real product states supplied in the pack, not invented capabilities. We also need a cover that describes the same product story.

Deliverables
1. Product explainer: 1 named export. The demonstration supports the stated product claim. The setup is understandable before the demonstration. The ending gives the approved next action.
2. Explainer platform cut: 1 named export. The product function remains understandable.
3. Explainer cover: 1 named export. The product is identified accurately.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Product explainer: 1 registered output
Explainer platform cut: 1 registered output
Explainer cover: 2 registered outputs",29,6,18,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-07,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-087-MOT__norvant-product-explainer-motion-system/
SB3-088-MOT,SentinelMesh - Product demo and narration package,"SentinelMesh is presenting its product to security buyers. We need a narrated demonstration, a shorter square cut and the accompanying website panels. Precision matters more than spectacle: each screen state should support what the narration is saying at that moment. Do not introduce a metric or security promise that is not in the approved messaging. The website panels should use the same product evidence and hierarchy as the film. Please leave enough time for someone to read the meaningful interface details.

Please prepare
- Product demo master: 1 named export. The shown UI state supports the narration. The claim wording matches approved messaging. The closing action is clear.
- Product demo feed cut: 1 named export. The feature demonstration remains readable.
- Product website band: 1 named export. The UI content remains faithful to the supplied capture. The product identity is clear.
- Website feature panel: 1 named export. The benefit uses approved messaging.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Product demo master: 1 registered output
Product demo feed cut: 1 registered output
Product website band: 2 registered outputs
Website feature panel: 2 registered outputs",36,11,19,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-08,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-088-MOT__sentinelmesh-product-demo-and-narration-package/
SB3-089-MOT,Voltcast - Podcast short and audio treatment,"Please turn a complete spoken idea from the Voltcast episode into wide, upright and square excerpts. We want people to recognise the conversation, not see isolated reactions edited to suggest a different opinion. Keep the correct speaker attribution and accurate captions, and give the episode a readable cover. A source recording with intelligible speech and enough conversational context is required before this commission can be released. There is no licence to manufacture a quote from silent footage.

Final handoff

 Podcast excerpt: 1 named export. The excerpt contains one complete spoken idea. The speaker identity is correct. Captions preserve the spoken wording.

 Podcast upright excerpt: 1 named export. The active speaker remains visible.

 Podcast square excerpt: 1 named export. The speaker labels remain readable.

 Podcast episode cover: 1 named export. The episode number is correct.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Podcast excerpt: 1 registered output
Podcast upright excerpt: 1 registered output
Podcast square excerpt: 1 registered output
Podcast episode cover: 2 registered outputs",40,7,21,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-09,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-089-MOT__voltcast-podcast-short-and-audio-treatment/
SB3-090-MOT,DAYDRIFT - Vertical interview short series,"DAYDRIFT needs three interview shorts that still feel like our unhurried show. Each one should express a complete idea, with a natural beginning and a finish that does not cut the guest off. Use pacing and framing to help attention rather than adding effects over every pause. The captions must preserve the guest's wording. Pair each short with its own cover topic. The source conversation, speaker permissions and transcript need to be present in the pack; the editor is not being asked to invent the interview.

Scope
1. Interview short: 3 named exports. The excerpt expresses a complete idea. The caption wording matches the speech. The speaker attribution is accurate.
2. Interview short cover: 3 named exports. The cover topic matches its short.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.
- Video delivery means a playable MP4, not a storyboard, still montage PDF or editing log. Audio expectations are stated on each film. Speech-led work requires supplied or explicitly authorised synthetic speech; do not invent documentary speech.
- Authored animation can exceed the duration of still source images. Live-action edits require adequate distinct footage; looping a short clip is not a substitute for the missing coverage.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Interview short: 3 registered outputs
Interview short cover: 4 registered outputs",48,11,8,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#MOTION-10,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-090-MOT__daydrift-vertical-interview-short-series/
