reference,name,alloy,finish,weight,lead_time,image
IL-108,Warehouse Bracket,Cast iron,Blackened and waxed,12 kg,8 weeks,floor_frames_03.jpg
IL-114,Newel Cap,Cast iron,Shot-blast and lacquered,3.2kg,8 weeks,floor_frames_07.jpg
IL-120,Stair Baluster,Cast iron,Blackened,6 kg,10 wks,floor_frames_02.jpg
IL-126,Gate Hinge,Cast iron,Blackened and waxed,4.5 kg,8-10 weeks,floor_frames_08.jpg
IL-132,Door Pull,Cast bronze,Patinated,1.8 kg,6 weeks,floor_frames_09.jpg
IL-140,Lamp Bracket,Cast bronze,Patinated and waxed,2 kg,10 weeks,floor_frames_12.jpg
IL-146,Ridge Finial,Cast iron,Blackened,9.0 kg,12 weeks,floor_frames_11.jpg
IL-152,Boot Scraper,Cast iron,Shot-blast and lacquered,14 kg,8 weeks,floor_frames_13.jpg
IL-158,Balustrade Panel Section,Cast bronze,Hand-finished patina,22 kg,12-14 weeks,floor_frames_04.jpg
IL-164,Exterior Balcony Rail Section,Cast iron,Blackened and waxed,31kg,14 weeks,floor_frames_12.jpg
IL-170,Bench End,Cast iron,Blackened,18 kg,10 weeks,floor_frames_14.jpg
IL-176,Column Base,Cast iron,Shot-blast and lacquered,26 kg,12 weeks,floor_frames_14.jpg
