sku,product_name,dimensions,materials,care_line,price,picture_filename
TH-001,Oatmeal Breakfast Mug,H 95 x Dia 85 mm,Glazed stoneware,Dishwasher safe.,$45,autumn_shoot_01.jpg
TH-002,Indigo Cereal Bowl,H 70 x Dia 150 mm,Glazed stoneware,Hand wash only.,$52,autumn_shoot_02.jpg
TH-003,Oatmeal Pitcher,H 220 x Dia 120 mm,Glazed stoneware,"Hand wash to keep the glaze bright, and avoid sudden changes in temperature.",$96,autumn_shoot_03.jpg
TH-004,Soft Clay Dinner Plate,Dia 270 mm,Glazed stoneware,Dishwasher and microwave safe.,$58,autumn_shoot_05.jpg
TH-005,Charcoal Milk Jug,H 180 x Dia 100 mm,Glazed stoneware,Hand wash only.,$74,autumn_shoot_06.jpg
TH-006,Oatmeal Bud Vase,H 240 x Dia 110 mm,Glazed stoneware,Wipe clean.,$110,autumn_shoot_09.jpg
TH-007,Indigo Serving Bowl,H 110 x Dia 280 mm,Glazed stoneware,"Hand wash with a soft cloth. Do not use abrasive scourers, which dull the glaze over time.",$128,autumn_shoot_14.jpg
TH-008,Stoneware Tumbler,H 100 x Dia 75 mm,Glazed stoneware,Dishwasher safe.,$46,autumn_shoot_10.jpg
TH-009,Soft Clay Soup Bowl,H 80 x Dia 160 mm,Glazed stoneware,Hand wash only.,$56,autumn_shoot_11.jpg
TH-010,Charcoal Side Plate,Dia 210 mm,Glazed stoneware,Dishwasher safe.,$48,autumn_shoot_05.jpg
TH-011,Oatmeal Teapot,H 160 x W 220 mm,Glazed stoneware,Hand wash only. Rinse and air-dry after each use to keep the inside from staining.,$150,autumn_shoot_06.jpg
TH-012,Indigo Mug,H 95 x Dia 85 mm,Glazed stoneware,Dishwasher safe.,$45,autumn_shoot_02.jpg
TH-013,Soft Clay Serving Platter,L 340 x W 220 mm,Glazed stoneware,Hand wash only.,$132,autumn_shoot_14.jpg
TH-014,Charcoal Vase,H 300 x Dia 130 mm,Glazed stoneware,Wipe clean with a damp cloth.,$165,autumn_shoot_04.jpg
TH-015,Oatmeal Pasta Bowl,H 55 x Dia 230 mm,Glazed stoneware,Dishwasher safe.,$62,autumn_shoot_11.jpg
TH-016,Indigo Pitcher,H 220 x Dia 120 mm,Glazed stoneware,Hand wash to protect the glaze.,$98,autumn_shoot_08.jpg
TH-017,Soft Clay Espresso Cup,H 60 x Dia 60 mm,Glazed stoneware,Dishwasher safe.,$45,autumn_shoot_01.jpg
TH-018,Charcoal Serving Bowl,H 120 x Dia 300 mm,Glazed stoneware,"Hand wash with a soft cloth. Avoid soaking for long periods, which can mark the foot.",$138,autumn_shoot_14.jpg
TH-019,Oatmeal Tumbler Set,H 100 x Dia 75 mm,Glazed stoneware,Dishwasher safe.,$88,autumn_shoot_07.jpg
TH-020,Indigo Dinner Plate,Dia 270 mm,Glazed stoneware,Dishwasher and microwave safe.,$58,autumn_shoot_05.jpg
TH-021,Soft Clay Vase,H 260 x Dia 120 mm,Glazed stoneware,Wipe clean.,$120,autumn_shoot_09.jpg
TH-022,Charcoal Mug,H 95 x Dia 85 mm,Glazed stoneware,Dishwasher safe.,$45,autumn_shoot_01.jpg
TH-023,Oatmeal Wool Throw,130 x 180 cm,Handwoven wool,Dry clean only.,$180,textile_flatlay_01.jpg
TH-024,Indigo Wool Throw,130 x 180 cm,Handwoven wool,Dry clean only. This piece may shed a little when new; a gentle shake outdoors is all it needs.,$180,textile_flatlay_02.jpg
TH-025,Soft Clay Table Runner,40 x 200 cm,Linen and cotton,Machine wash cold on a gentle cycle and lay flat to dry. Warm iron on the reverse; do not bleach or tumble dry.,$68,textile_flatlay_03.jpg
TH-026,Charcoal Wool Throw,130 x 180 cm,Handwoven wool,Dry clean only.,$175,textile_flatlay_04.jpg
TH-027,Striped Table Runner,40 x 200 cm,Linen and cotton,Machine wash cold. Lay flat to dry.,$72,textile_flatlay_05.jpg
TH-028,Indigo Table Runner,40 x 200 cm,Linen and cotton,Machine wash cold on a gentle cycle and lay flat to dry.,$66,textile_flatlay_06.jpg
TH-029,Oatmeal Cushion Cover,50 x 50 cm,Handwoven wool,Dry clean only.,$58,textile_flatlay_01.jpg
TH-030,Indigo Cushion Cover,50 x 50 cm,Handwoven wool,Dry clean only.,$58,textile_flatlay_02.jpg
TH-031,Soft Clay Napkin Set,45 x 45 cm,Linen,"Machine wash warm and tumble dry low. A hot iron brings back the crispness, and the linen softens with every wash.",$54,textile_flatlay_03.jpg
TH-032,Charcoal Placemat Set,33 x 45 cm,Linen and cotton,Machine wash cold and lay flat to dry.,$60,textile_flatlay_04.jpg
