task_id,task,full_title,description,family,difficulty,expected_tool_calls,distinct_tools,num_inputs,num_outputs,output_types,output_breakdown,price
AO-01,Premium Clinical Skincare Brand,"Premium Clinical Skincare Brand — Product-Shot Finishing, Logo Vectorization, Per-SKU Label Merge & Print-Ready Packaging Export","Take our raw skincare hero shot, flat logo mark, texture plate and SKU copy sheet and produce a clinically clean white-background product image set, an editable vector logo, a recommended type system, a packaging-safe wide landscape reframe of the hero (cropped from the pure-white-sweep master), a clinical monochrome variant, per-SKU print labels merged from our label template, and a print-ready packaging PDF — all assembled on one presentation board.",Photo & Image,T3_complex,18,17,6,9,5,"image×4, PDF×2, vector(SVG)×1, link/board×1, data/file×1",~$60 est.
AO-02,Performance-ready Meta ad product creatives,"Performance-ready Meta ad product creatives: white-bg clean-up, brand color grade, multi-ratio reframe set, and vectorized logo for paid-social testing","Turn the client's raw product shot and logo into a performance-ready Meta ad creative kit: a retouched pure-white-bg hero, a brand-graded variant, three platform-ratio frames (1:1 / 4:5 / 9:16) built by honestly cropping/reframing the graded hero to each ratio, a vectorized logo, and a Firefly review board.",Photo & Image,T2_moderate,20,16,3,8,3,"image×5, data/file×2, vector(SVG)×1",~$60 est.
AO-03,E-commerce white-background product retouch suite…,E-commerce white-background product retouch suite + vectorized brand mark,"Turn a client's raw, messy-background product photo into a pure-white-background marketplace catalog image and convert their rough hand-drawn logo sketch into a clean, brand-colored, scalable vector logo — then package everything for delivery.",Photo & Image,T1_simple,17,15,2,4,2,"image×2, vector(SVG)×2",~$55 est.
AO-04,Silver Jewelry iPhone Shots to White-Background…,Silver Jewelry iPhone Shots to White-Background E-commerce Set (JPEG + transparent PNG),"Turn a handheld iPhone shot of a silver jewellery piece into a clean, colour-accurate, uniform-white e-commerce set: a 3000x3000 sRGB JPEG plus a matching transparent PNG, ready to slot straight into the online store.",Photo & Image,T1_simple,16,16,1,4,2,"image×2, data/file×2",~$50 est.
AO-06,White-Background Catalog Cleanup for a…,White-Background Catalog Cleanup for a Firearms/Optics/Outdoor Shopify Store,"Take a batch of inconsistent distributor-supplied product photos for a firearms/optics/outdoor Shopify store and turn them into clean, straightened, color-corrected, pure-white-background, square marketplace hero images (plus transparent-PNG tile variants and a vectorized listing badge), all organized into a review board and a tidy asset folder.",Photo & Image,T2_moderate,16,15,2,8,3,"image×4, data/file×3, vector(SVG)×1",~$60 est.
AO-07,Men's pendant line,Men's pendant line: vectorize the 2D spec sketch + retouch and catalog-prep the sample studio shots,"From the industrial designer's raster pendant sketch and two mixed-lighting workbench photos of a stainless-steel sample pendant and chain, produce a clean factory-ready vector spec asset plus retouched, isolated, color-accurate catalog hero shots (one expanded to a catalog canvas, one duotone print-screen variant) and gather everything on a Firefly board for the design team.",Photo & Image,T2_moderate,24,15,3,5,3,"image×3, vector(SVG)×1, link/board×1",~$65 est.
AO-08,Signature Bracelet Launch,"Signature Bracelet Launch: Studio Retouch, White-Background E-Comm Set, Graded Hero, Expanded Social Banner & Vectorized Mark","Turn the brand's raw studio prototype shots, wordmark, and lifestyle frame into a launch image kit: a clean white-background e-commerce set, a color-graded close-up hero, an expanded social banner, and a vectorized wordmark — then assemble everything on a Firefly board for sign-off.",Photo & Image,T2_moderate,21,17,3,6,3,"image×4, vector(SVG)×1, data/file×1",~$60 est.
AO-10,Modern Silver Rosary Necklace,Modern Silver Rosary Necklace — Commercial Product Package (Hero Retouch + Vector Spec + Screen-Print Tech Graphic + Data-Merge Spec Sheet),"Turn the client's raw studio shot of a modern silver rosary necklace into a full commercial product package: a retouched hero image on a clean sweep, a vector line-art spec, a screen-print-style halftone tech graphic, and a print-ready data-merged spec sheet — all assembled into a review board for revision rounds.",Photo & Image,T2_moderate,17,16,5,7,4,"image×4, vector(SVG)×1, PDF×1, data/file×1",~$55 est.
AO-11,Sterling-Silver Ruby Pendant,"Sterling-Silver Ruby Pendant — Retouched Hero Shots, Color-Matched Set, Vectorized Calligraphy Mark, Moodboard & Spec-Sheet Export","Turn the client's raw photos of a finished Sterling-Silver 925 ruby pendant into a retouched, color-consistent hero product-photo set with a clean white-background cut-out, an reframe-cropped banner, a vectorized Arabic-calligraphy hallmark, a Firefly moodboard, and an exported lookbook/spec sheet.",Photo & Image,T3_complex,22,19,5,8,4,"image×5, vector(SVG)×1, PDF×1, data/file×1",~$65 est.
AO-12,Bright-and-Airy Lightroom Grade for a 38-Shot Food…,"Bright-and-Airy Lightroom Grade for a 38-Shot Food Photography Set (Flat-Lay, 45°, Side)","Take a client's 38-frame food shoot (flat-lay / 45° / side of one dish) that is close to the mark and grade it to a cohesive bright-and-airy look — white balance, exposure, highlight/shadow, gentle color — then deliver straightened, correctly-sized final files.",Photo & Image,T2_moderate,20,15,3,6,2,"image×5, data/file×1",~$60 est.
