Task code,Task name,Client brief,Deliverables,Auto verifiers,Human verifiers,Assets,Review page,S3 folder
SB3-046-LAY,Kantyna Nova - Private dining menu and campaign system,"Private-dining cards, menu and opening materials for Kantyna Nova

We set one table a night at Kantyna Nova: one tasting, one wine flight. The plates were photographed during service, and now the private-dining bookings, menu and opening materials need to look as considered as the room.

Please prepare
- Tasting and wine menu: 1 named export. The fourteen approved courses appear in order on page 1. The forty-two wine entries are present on page 2. The wine grouping supports the pour sequence.
- Private-dining partner deck: 1 named export. The deck explains the private-dining offer. The price build-up follows approved copy.
- Reservations information sheet: 1 named export. The reservation wording is reproduced accurately.
- Opening feed post: 1 named export. Kantyna Nova is visibly identified. The approved booking action is readable.
- Opening story: 1 named export. The booking action remains in the safe area. The restaurant name is legible.
- Opening announcement banner: 1 named export. The opening information is accurate. The food remains the focal point.
- Guest pairing card: 14 named exports. The photograph shows the guest's assigned course. The complete wine designation fits at trim.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Tasting and wine menu: 2 registered outputs
Private-dining partner deck: 2 registered outputs
Reservations information sheet: 2 registered outputs
Opening feed post: 2 registered outputs
Opening story: 2 registered outputs
Opening announcement banner: 2 registered outputs
Guest pairing card: 15 registered outputs",192,49,20,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-01,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-046-LAY__kantyna-nova-private-dining-menu-and-campaign-system/
SB3-047-LAY,Corner and Cure - Cold-case label system,"Cold-case labels and ordering tiles from our cafe's existing materials

Our sign is painted on a board screwed to the wall. Most of the food photographs were taken on a phone over the counter. Corner & Cure needs someone who can work carefully with those materials and turn them into a practical, consistent set.

Final handoff

 Cold-case label: 39 named exports. The allergen wording agrees with the approved item record. The item name is readable at label size.

 Marketplace item tile: 38 named exports. The photograph shows the named item. The restaurant identity does not obscure the dish.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Cold-case label: 40 registered outputs
Marketplace item tile: 39 registered outputs",538,305,41,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-02,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-047-LAY__corner-and-cure-cold-case-label-system/
SB3-048-LAY,Lumora Laboratories - Retail launch and paid social system,"Six-product retail launch: one image standard across store and paid social

Lumora Laboratories is preparing six products for specialty retail and a rebuilt store page. The photographs currently do not read as one line. We need the image foundations corrected and carried into editable launch material.

Scope
1. Retail product-page module: 6 named exports. The pack matches the named SKU. The approved benefit is readable.
2. Retail launch carousel: 6 named exports. The sequence differentiates the products. The brand appears on the opening page.
3. Paid social creative: 3 named exports. The approved product claim is unchanged. The shopping action is clear.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Retail product-page module: 7 registered outputs
Retail launch carousel: 7 registered outputs
Paid social creative: 4 registered outputs",69,60,11,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-03,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-048-LAY__lumora-laboratories-retail-launch-and-paid-social-system/
SB3-049-LAY,Northgrove - Wholesale lookbook and hang-tag system,"A ten-look wholesale hang-tag run with properly matched product photography

Northgrove's fall capsule is heading to stockists. Our immediate need is a dependable hang-tag pack: the correct piece, its own image and the full make note on every card. The photography comes from two mornings that do not yet look like the same collection.

What we need back
- Wholesale capsule lookbook: 1 named export. Styles are identified accurately. The page sequence supports wholesale selection.
- Garment hang tag: 11 named exports. The garment facts match this style. The care wording remains readable at tag size.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Wholesale capsule lookbook: 2 registered outputs
Garment hang tag: 12 registered outputs",134,25,18,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-04,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-049-LAY__northgrove-wholesale-lookbook-and-hang-tag-system/
SB3-050-LAY,Maison Valcere - Brand story deck and campaign document,"An appointment-season story deck with a consistent jewellery image library

Maison Valcere needs its house-story and campaign documents ready for the autumn appointment season. The bench photography spans two sittings, and it does not yet sit together as a collection.

The commission

 House-story presentation: 1 named export. The sequence communicates the house's approved story. The packaging shown matches the supplied artwork.

 House campaign poster: 1 named export. The campaign identifies Maison Valcere. The product remains recognisable.

 House campaign feed ad: 1 named export. The approved message is readable. The brand treatment reflects the stated price position.

 House campaign story: 1 named export. The action line remains inside the safe area.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","House-story presentation: 2 registered outputs
House campaign poster: 2 registered outputs
House campaign feed ad: 2 registered outputs
House campaign story: 2 registered outputs",30,13,25,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-05,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-050-LAY__maison-valcere-brand-story-deck-and-campaign-document/
SB3-051-LAY,Nordheim Atelier - Showroom line-card system,"Showroom line cards for twelve looks, with a controlled editorial treatment

Nordheim Atelier is preparing for buyer appointments. Twelve looks were photographed over two days, including two outside as the light changed. We need one grey editorial treatment, but wool, shearling and gabardine must still read as different materials.

Deliverables
1. Showroom line card: 13 named exports. The pictured style matches this record. The photographed garment uses the fabric named in the Fabric Composition field. Material information is readable. The trade price is easy to locate.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",Showroom line card: 14 registered outputs,138,38,19,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-06,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-051-LAY__nordheim-atelier-showroom-line-card-system/
SB3-052-LAY,Harbor Crest Realty - Open-house card campaign,"Listing photography and six agent cards for 14 Marlowe Crescent

Harbor Crest Realty needs the house to look consistent across the listing and the open-house cards. The shooter has returned the rooms as captured; wall colour and window handling now vary from room to room.

Please prepare
- Agent open-house card: 7 named exports. The agent portrait matches the record. The property details match the fact sheet. The contact line is readable.
- Open-house property presentation: 1 named export. The rooms are shown truthfully. The enquiry information is unambiguous.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Agent open-house card: 8 registered outputs
Open-house property presentation: 2 registered outputs",80,24,28,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-07,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-052-LAY__harbor-crest-realty-open-house-card-campaign/
SB3-053-LAY,Verranza Coastal Retreats - In-villa seasonal collateral,"Twelve seasonal villa cards and a coherent three-property image set

Looking at our Verranza photographs together, you could believe they describe three different holidays. Two trips, two photographers and a batch already edited elsewhere have left the collection inconsistent.

Final handoff

 In-villa seasonal card: 13 named exports. The season label matches this record. The villa information is unambiguous. The rate conditions are readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.",In-villa seasonal card: 14 registered outputs,138,38,32,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-08,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-053-LAY__verranza-coastal-retreats-in-villa-seasonal-collateral/
SB3-054-LAY,Nimbadesk - B2B sell-sheet system,"Nimbadesk launch collateral using the current product build

We need the sell sheets, pitch deck and launch social to look like one product. There are eleven product captures in the pack, but the first job is to establish which belong to the current build and how they should be presented consistently.

Scope
1. B2B product sell sheet: 4 named exports. The stated metric preserves its qualification. The UI is a faithful supplied capture.
2. Product pitch deck: 1 named export. The narrative explains the customer problem before the offer. The claims follow approved copy.
3. Product launch post: 3 named exports. The product name is clear. The request-demo action is visible.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","B2B product sell sheet: 5 registered outputs
Product pitch deck: 2 registered outputs
Product launch post: 4 registered outputs",53,26,29,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-09,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-054-LAY__nimbadesk-b2b-sell-sheet-system/
SB3-055-LAY,Alderwood Scholars Fund - Multi-center appeal campaign,"Five-centre appeal banners with accurate local details and a recovered crest

Alderwood Scholars Fund needs one coordinated banner run for its five centres. The office must be able to trust each centre's name, address, hours and coordinator, not proofread five designs assembled independently from memory.

What we need back
- Recovered Alderwood crest master: 1 named export. The crest geometry matches eastgate_crest_sign.jpg. The complete crest remains inside the SVG viewBox.
- Centre appeal banner: 5 named exports. The beneficiary story matches the named centre. The programme amount agrees with the reconciled funding table. The donation action is readable.

Use the supplied approved copy and factual records. Permission restrictions in the owner's notes take precedence over inclusion in a source table.

Use the attached brand identity and the source files listed in the asset manifest. The output register defines exact filenames, pages, sizes and record bindings. Supporting previews are welcome but cannot replace those files.","Recovered Alderwood crest master: 1 registered output
Centre appeal banner: 6 registered outputs",27,34,46,https://dhigdec.github.io/creative-ai-benchmark/gatsby-v5/#LAYOUT-10,s3://annotationprod/creative-ai-benchmark/v3.1/tasks/SB3-055-LAY__alderwood-scholars-fund-multi-center-appeal-campaign/
