Piece Code,Name,Dimensions,Capacity,Glaze,Firing Note,Care Note,Lead Time,Carton Qty,Trade Price,Retail Guide,Last Order Date,Photograph
MRL-101,Ashfield Serving Bowl,280 mm dia x 110 mm,2.4 L,Reactive Oatmeal,Reduction fired to cone 10,"Dishwasher safe. Wipe the pooled rings dry to keep them bright.",In stock,6,62,150,2026-08-19,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_01.jpg
MRL-102,Ashfield Dinner Plate,265 mm dia,—,Matte Slate,Oxidation fired to cone 6,"Hand wash to keep the matte surface even.",In stock,12,44,105,2026-08-02,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_02.jpg
MRL-103,Eddy Milk Jug,140 mm h,500 ml,Gloss Celadon,Reduction fired to cone 10,"Dishwasher safe.",4-5 weeks,6,58.0,140.0,2026-07-28,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_03.jpg
MRL-104,Eddy Beaker,95 mm h,350 ml,Matte Slate,Oxidation fired to cone 6,"Hand wash. Not for direct flame.",In stock,12,38,100,2026-08-11,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_04.jpg
MRL-105,Larder Storage Jar,200 mm h x 120 mm,1.5 L,Reactive Oatmeal,Reduction fired to cone 10,"Season before first use by rinsing in warm water and drying the jar overnight upside down; the reactive oatmeal glaze pools thickly in the throwing rings and holds moisture, so for the first fortnight store the jar with the lid off and let it breathe. Dishwasher safe once seasoned, though hand washing keeps the pooled brown from dulling over time. Not for oven, freezer or direct flame, and never subject it to a sudden change of temperature, which will craze the interior.",4-5 weeks,4,$96,$230,2026-06-30,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_05.jpg
MRL-106,Ashfield Cereal Bowl,160 mm dia x 70 mm,600 ml,Gloss Celadon,Reduction fired to cone 10,"Dishwasher and microwave safe.",In stock,12,42,100,2026-08-05,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_06.jpg
MRL-107,Coombe Tall Vase,320 mm h,—,Matte Slate,Oxidation fired to cone 6,"Hand wash. Not watertight for long standing displays; use a liner.",6-8 weeks,2,$210,$490,2026-07-15,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_07.jpg
MRL-108,Larder Colander,240 mm dia,—,Gloss Celadon,Reduction fired to cone 10,"Dishwasher safe.",6-8 weeks,4,88.0,210.0,2026-08-22,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_08.jpg
MRL-109,Eddy Mug,90 mm h,300 ml,Reactive Oatmeal,Reduction fired to cone 10,"Dishwasher and microwave safe.",In stock,12,44,105,2026-08-18,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_09.jpg
MRL-110,Ashfield Serving Platter,380 x 240 mm,—,Gloss Celadon,Reduction fired to cone 10,"Hand wash to protect the gloss.",4-5 weeks,2,132.0,320.0,2026-07-09,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_10.jpg
MRL-111,Coombe Teapot,180 mm h,900 ml,Matte Slate,Oxidation fired to cone 6,"Warm the pot with a little hot water before brewing so the matte slate body is not shocked; empty and swill it after every use rather than leaving the leaf to stand, as tannin stains the unglazed rim of the lid seat. Hand wash only, never in the dishwasher, and never place it on a hob or in a microwave; the spout is thrown thin and will chip if it is knocked against a hard tap. Dry it fully before storing, and store it with the lid set ajar so the inside can air.",Made to order,1,,,2026-05-12,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_11.jpg
MRL-112,Larder Ramekin,90 mm dia x 45 mm,180 ml,Reactive Oatmeal,Reduction fired to cone 10,"Dishwasher, microwave and oven safe to 180C.",In stock,24,38,100,2026-08-14,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_12.jpg
MRL-113,Coombe Carafe,240 mm h,1 L,Gloss Celadon,Reduction fired to cone 10,"Dishwasher safe.",4-5 weeks,4,74.0,175.0,2026-07-31,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_13.jpg
MRL-114,Ashfield Pouring Bowl,180 mm dia,800 ml,Matte Slate,Oxidation fired to cone 6,"Hand wash to keep the matte even.",In stock,6,52,125,2026-08-08,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_14.jpg
MRL-115,Coombe Footed Compote,200 mm dia x 130 mm,—,Reactive Oatmeal,Reduction fired to cone 10,"Hand wash. The foot is thrown narrow; do not lift by the rim.",Made to order,2,,,2026-04-20,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_15.jpg
MRL-116,Coombe Bud Vase,150 mm h,—,Matte Slate,Oxidation fired to cone 6,"Hand wash. Watertight for cut stems.",In stock,6,$46,$110,2026-07-22,/Users/hr-studio/Pictures/Marlow_SS26/marlow_shot_16.jpg
MRL-088,Eddy Tumbler,100 mm h,300 ml,Gloss Celadon,Reduction fired to cone 10,"Dishwasher safe.",4-5 weeks,12,40,95,2024-09-30,/Users/hr-studio/Pictures/Marlow_SS25/marlow_shot_ss25_088.jpg
MRL-093,Ashfield Salad Bowl,300 mm dia,3.2 L,Reactive Oatmeal,Reduction fired to cone 10,"Dishwasher safe. Wipe the rings dry.",In stock,6,56,135,2025-01-17,/Users/hr-studio/Pictures/Marlow_SS25/marlow_shot_ss25_093.jpg
MRL-CTN-STARTER,Marlow Starter Carton (mixed 6),—,—,Mixed,—,"Assorted; see individual pieces for care.",2-3 weeks,1,$180,$420,2026-08-01,/Users/hr-studio/Pictures/Marlow_SS26/marlow_range_group.jpg
