Catalogue,Artist,Title,Year,Medium,Dimensions,Credit Line,Accession,Room
C-001,Marisol Enback,"Weir, First Light",2023,Oil on linen,168 x 137 cm,,2016.084,The Front Room
C-002,Marisol Enback,"Weir, Second Light",2023,Oil on linen,168 x 137 cm,,2016.085,The Front Room
C-003,Marisol Enback,The Long Field,2022,Oil and wax on linen,152 x 122 cm,Courtesy of the artist and the Rittenhouse Trust,2015.213,The Front Room
C-004,Tomás Grieve,Study for a Standing Figure,2024,Charcoal and chalk on paper,76 x 56 cm,,2021.007,The Front Room
C-005,Tomás Grieve,Study for a Seated Figure,2024,Charcoal and chalk on paper,76 x 56 cm,,2021.008,The Front Room
C-006,Tomás Grieve,Night Studio,2023,"Charcoal, chalk and pastel on paper",104 x 74 cm,,2020.155,The Front Room
C-007,Ilse Vanterpool,Reliquary I,2021,"Egg tempera, gouache and 23-karat gold leaf on gessoed oak panel in the artist's frame",61 x 46 cm,,2013.041,The Front Room
C-008,Ilse Vanterpool,Reliquary II,2022,"Egg tempera and gold leaf on oak panel, framed under glass",61 x 46 cm,,2013.042,The Front Room
C-009,Ilse Vanterpool,Small Annunciation,2020,Egg tempera on panel,38 x 30 cm,,2012.198,The Front Room
C-010,Marisol Enback,Riverbed,2019–2021,Oil on linen,198 x 168 cm,,2014.077,The Front Room
C-011,Tomás Grieve,The Sitter,2024,Charcoal on paper,92 x 66 cm,,2021.030,The Front Room
C-012,Marisol Enback,"Weir, Evening",2023,Oil on linen,168 x 137 cm,,2016.086,The Front Room
C-013,Ilse Vanterpool,Gilding Study,2023,Gold leaf and gesso on panel,30 x 24 cm,,2013.101,The Front Room
C-014,Marisol Enback,The Weir at Night,2022,Oil and wax on linen,168 x 137 cm,,1994.112,The Front Room
C-015,Petra Volková,Two Fields (Diptych),2023,"Oil, wax and rabbit-skin glue on linen mounted on aluminium, in two parts","182.9 x 121.9 cm each, overall 182.9 x 243.8 cm, in two parts",,2018.220,The Cabinet
C-016,Petra Volková,Ground,2022,Oil and wax on linen,203 x 168 cm,,2018.101,The Cabinet
C-017,Cyrus Mbeki,Standing Figure,2021,"Bronze, edition 2 of 6",145 x 40 x 40 cm,,2017.009,The Cabinet
C-018,Cyrus Mbeki,Head V,2020,"Bronze, unique",44 x 26 x 28 cm,,2016.301,The Cabinet
C-019,Della Hartley,Tidal (I),2023,"Archival pigment print, framed under glass",152 x 102 cm,,2022.044,The Cabinet
C-020,Della Hartley,Tidal (II),2023,"Archival pigment print, framed under glass",152 x 102 cm,,2022.045,The Cabinet
C-021,Petra Volková,Small Ground,2022,Oil on linen,61 x 51 cm,,2018.150,The Cabinet
C-022,Cyrus Mbeki,Torso,2019,"Bronze, edition 1 of 6",96 x 38 x 30 cm,,2015.088,The Cabinet
C-023,Della Hartley,Shorewall,2022,Archival pigment print,102 x 76 cm,,2021.260,The Cabinet
C-024,Petra Volková,"Two Fields, Study",2022,Oil and wax on paper,56 x 76 cm,,2018.221,The Cabinet
C-025,Cyrus Mbeki,Maquette for Standing Figure,2020,"Bronze, edition 3 of 9",52 x 16 x 16 cm,"Promised gift of a private collection, Philadelphia",2016.302,The Cabinet
C-026,Della Hartley,Tideline,2023,Archival pigment print,102 x 76 cm,,2022.120,The Cabinet
C-027,Petra Volková,Field Notes,2021,Oil on linen,152 x 122 cm,,2017.211,The Cabinet
C-028,Junot Sarraf,Plywood Field I,2023,"Pigmented beeswax encaustic and oil on birch plywood over an underdrawing in silverpoint",122 x 122 cm,,2019.017,The Long Gallery
C-029,Cyrus Mbeki,Walking Figure,2022,"Bronze, edition 1 of 6",190 x 52 x 60 cm,,2019.140,The Long Gallery
C-030,Junot Sarraf,Plywood Field II,2023,Encaustic and oil on birch plywood,122 x 122 cm,,2019.018,The Long Gallery
C-031,Wilhelmina Roa,Silverpoint Hours (I),2022,Silverpoint on prepared paper,46 x 38 cm,,2020.061,The Long Gallery
C-032,Wilhelmina Roa,Silverpoint Hours (II),2022,Silverpoint on prepared paper,46 x 38 cm,,2020.062,The Long Gallery
C-033,Aksel Norr,Assembly (Red),2024,"Acrylic, paper and thread on canvas",168 x 137 cm,,2023.011,The Long Gallery
C-034,Aksel Norr,Assembly (Grey),2024,Acrylic and paper on canvas,168 x 137 cm,,2023.012,The Long Gallery
C-035,Junot Sarraf,Plywood Study,2022,Encaustic on plywood,61 x 61 cm,,2019.090,The Long Gallery
C-036,Wilhelmina Roa,Night Sheet,2023,Silverpoint and white gouache on prepared paper,56 x 46 cm,,2020.140,The Long Gallery
C-037,Aksel Norr,Long Assembly,2023,"Acrylic, paper and thread on canvas","203 x 152 cm and 203 x 76 cm, in two parts",,2022.230,The Long Gallery
C-038,Junot Sarraf,Plywood Field III,2024,Encaustic and oil on plywood,122 x 122 cm,,2023.055,The Long Gallery
C-039,Aksel Norr,Assembly (Pale),2024,Acrylic and paper on canvas,137 x 112 cm,,2023.013,The Long Gallery
C-040,Wilhelmina Roa,Silverpoint Hours (III),2023,Silverpoint on prepared paper,46 x 38 cm,,2020.141,The Long Gallery
C-041,Junot Sarraf,Plywood Field IV,2024,Encaustic and oil on birch plywood,122 x 122 cm,,2023.056,The Long Gallery
