serial,reference,caliber,case_metal,dial_finish,regulator_initials,timing_result,date,image
LC-25-0101,Meridian,LM-01,Steel,Silver sunburst,J.M.,+2 s/day,2025-08-04,lunara_pdp_meridian.jpg
LC-25-0102,Selene,LM-02,Steel,Grained cream,J.M.,-1 s/day,2025-08-05,lunara_pdp_selene.jpg
LC-25-0103,Ardent,LM-01,Steel,Lacquered oxblood,J.M.,+3 s/day,2025-08-06,lunara_pdp_ardent.jpg
LC-25-0104,Halcyon,LM-03,Steel,Silver,J.M.,0 s/day,2025-08-07,lunara_pdp_halcyon.jpg
LC-25-0105,Vesper,LM-02,Steel,Deep blue sunray,J.M.,+1 s/day,2025-08-08,lunara_pdp_vesper.jpg
LC-25-0106,Meridian,LM-01,Rose gold,Silver sunburst,J.M.,+2 s/day,2025-08-11,lunara_pdp_meridian.jpg
LC-25-0107,Selene,LM-02,Steel,Grained cream,J.M.,-2 s/day,2025-08-12,lunara_pdp_selene.jpg
LC-25-0108,Ardent,LM-01,Steel,Lacquered oxblood,J.M.,+4 s/day,2025-08-13,lunara_pdp_ardent.jpg
LC-25-0109,Halcyon,LM-03,Titanium,Silver,J.M.,-1 s/day,2025-08-14,lunara_pdp_halcyon.jpg
LC-25-0110,Vesper,LM-02,Steel,Deep blue sunray,J.M.,+2 s/day,2025-08-15,lunara_pdp_vesper.jpg
LC-25-0111,Meridian,LM-01,Steel,Silver sunburst,J.M.,+1 s/day,2025-08-18,lunara_pdp_meridian.jpg
LC-25-0112,Selene,LM-02,Steel,Grained cream,J.M.,0 s/day,2025-08-19,lunara_pdp_selene.jpg
LC-25-0113,Ardent,LM-01,Steel,Lacquered oxblood,J.M.,+3 s/day,2025-08-20,lunara_pdp_ardent.jpg
LC-25-0114,Halcyon,LM-01,Steel,Silver,J.M.,+2 s/day,2025-08-21,lunara_pdp_halcyon.jpg
LC-25-0114,Halcyon,LM-02,Steel,Silver,J.M.,-1 s/day,2025-08-21,lunara_pdp_halcyon.jpg
LC-25-0115,Vesper,LM-02,Steel,Deep blue sunray,J.M.,+1 s/day,2025-08-22,lunara_pdp_vesper.jpg
LC-25-0116,Meridian,LM-01,Steel,Silver sunburst,J.M.,+2 s/day,2025-08-25,lunara_pdp_meridian.jpg
LC-25-0117,Selene,LM-03,Steel,Grained cream,J.M.,-2 s/day,2025-08-26,lunara_pdp_selene.jpg
LC-25-0118,Ardent,LM-01,Rose gold,Lacquered oxblood,J.M.,+3 s/day,2025-08-27,lunara_pdp_ardent.jpg
LC-25-0119,Meridian,LM-01,Steel,Silver sunburst,J.M.,+1 s/day,2025-08-28,lunara_pdp_meridian.jpg
LC-25-0120,Halcyon,LM-03,Steel,Silver,J.M.,0 s/day,2025-08-29,lunara_pdp_halcyon.jpg
LC-25-0121,Vesper,LM-02,Titanium,Deep blue sunray,J.M.,+2 s/day,2025-09-01,lunara_pdp_vesper.jpg
LC-25-0122,Meridian,LM-01,Steel,Silver sunburst,J.M.,-1 s/day,2025-09-02,lunara_pdp_meridian.jpg
LC-25-0123,Ardent,LM-01,Steel,Lacquered oxblood,J.M.,+4 s/day,2025-09-03,lunara_pdp_ardent.jpg
