model,serial,build_year,voltage,phase,shipping_weight_kg,note
RB-40,RMW-261101,2026,480,3,2100,Domestic — Ohio
RB-60,RMW-261108,2026,480,3,3250,Domestic — Illinois
RB-90,RMW-261115,2026,400,3,4600,Export — Netherlands
RB-135-XLT-TANDEM-SYNC-CE,RMW-261122,2026,400,3,8800,Special build — tandem CE-marked export Germany
HP-80,RMW-261129,2026,480,3,3900,Domestic — Wisconsin
HP-160,RMW-261134,2026,480,3,6100,Domestic — Michigan
HP-250,RMW-261140,2026,400,3,9200,Export — Sweden
RB-60,RMW-261142,2026,480,3,3250,Order split — plate 1 of 2
RB-60,RMW-261142,2026,480,3,3250,Order split — plate 2 of 2
RB-40,RMW-261148,2026,480,3,2100,Domestic — Ohio
RB-90,RMW-261151,2026,400,3,4600,Export — Norway
HP-80,RMW-261155,2026,480,3,3900,Domestic — Indiana
RB-135,RMW-261160,2026,400,3,8600,Export — Denmark
HP-160,RMW-261166,2025,480,3,6100,Domestic — carryover build
