Plate No,Title,Caption,Credit,Picture
I,Above Sennet Cove,"The shed above Sennet Cove, an hour before the light turns.",Photograph: Perrin Doyle,lumen_autumn_essay_01.jpg
II,By Hand,"A single unbroken shaving; the plane is sharp or it is nothing.",Photograph: Perrin Doyle,lumen_autumn_essay_04.jpg
3,Emory Vaughn,"Emory Vaughn, seventy-one, in the shed his father built.",Photo: Perrin Doyle,lumen_autumn_essay_07.jpg
IV,The Hull,"Lapped cedar, spiled plank by plank so each edge lands sweet on the last.",Photograph: Perrin Doyle,lumen_autumn_essay_03.jpg
IV,The Double End,"The double end, where the planks meet and the boat becomes symmetrical.",Perrin Doyle,lumen_autumn_essay_06.jpg
06,The Hull,"Inside the hull, the run of the ribs against the planking.",Photograph: Perrin Doyle,lumen_autumn_essay_12.jpg
VII,Steam,"An oak rib clamped home hot from the steam box, still giving off steam.",,lumen_autumn_essay_09.jpg
8,The Joint,"Cutting a joint by mallet and chisel, the way it has always been cut.",Photograph: Perrin Doyle,lumen_autumn_essay_13.jpg
09,His Father's Tools,"Chisels and gouges, each ground to Vaughn's own hand.",Photo: Perrin Doyle,lumen_autumn_essay_05.jpg
X,Laid By,"Cedar and oak air-drying on the sticks, some of it older than the apprentices.",Photograph: Perrin Doyle,lumen_autumn_essay_11.jpg
11,Sighting the Line,"Sighting down a plank for the fair line no rule can measure.",Photograph: Perrin Doyle,lumen_autumn_essay_08.jpg
XII,Day's End,"The floor at day's end; a swept floor is a day done properly.",Photograph: Perrin Doyle,lumen_autumn_essay_10.jpg
13,Late Sun,"Late sun off the cove, and the day's work cooling on the trestles.",Photograph: Perrin Doyle,lumen_autumn_essay_14.jpg
XIV,North Light,"North light through the old window, where the day begins and ends.",Photograph: Perrin Doyle,
